Date,BIIB,CCL,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2016-08-01,278.03,44.262,15.433,49.46,92.61399999999999,78.543,16.96,17.956,28.837,40.766,32.974000000000004,108.49,112.56,80.797,23.057,23.405,188.98,54.018,38.811,25.201999999999998,69.764,37.05,29.616,40.266,43.388000000000005,38.928000000000004,139.22,77.145,124.45,133.73,47.342,106.32,46.598,48.751999999999995,73.39399999999999
2016-08-02,304.07,42.89,15.333,48.57,92.1,78.461,17.6,17.764,27.574,40.983000000000004,32.699,106.96,111.47,80.027,22.965999999999998,23.055,190.42,53.538999999999994,39.668,24.968000000000004,71.539,36.54,29.715999999999998,39.762,43.343,38.91,138.88,77.165,122.53,133.34,46.916000000000004,105.38,46.474,48.453,73.113
2016-08-03,295.68,43.238,15.683,48.3,93.147,78.084,17.27,18.128,27.86,40.568000000000005,32.650999999999996,107.56,112.01,79.793,23.263,23.377,192.0,53.375,41.391999999999996,25.185,73.89699999999999,36.58,29.924,39.413000000000004,42.951,38.891999999999996,138.6,77.59100000000001,122.97,132.66,47.342,105.81,46.589,48.141999999999996,72.90899999999999
2016-08-04,289.74,43.74100000000001,15.783,49.01,92.24600000000001,78.166,16.75,18.041,27.951999999999998,40.611999999999995,32.966,107.63,112.66,80.393,23.124000000000002,23.623,191.34,53.415,41.177,24.994,72.845,37.3,29.416999999999998,38.928000000000004,43.656000000000006,38.839,138.43,78.348,122.87,133.02,47.245,105.99,46.781000000000006,48.126000000000005,72.803
2016-08-05,291.03,44.585,15.875,50.46,92.895,77.23899999999999,14.73,18.711,28.375999999999998,40.44,33.347,109.19,113.95,83.448,23.430999999999997,23.86,191.52,54.446999999999996,41.095,25.263,73.54,38.1,29.671,39.150999999999996,43.263999999999996,38.91,138.71,78.999,123.97,133.38,48.04600000000001,107.13,46.937,47.423,72.97800000000001
2016-08-08,288.91,44.045,15.8,50.91,92.81700000000001,77.707,14.41,18.549,28.45,40.01,33.395,109.7,113.96,83.411,23.482,23.775,191.96,54.574,41.71,25.228,73.821,37.91,30.151,39.433,43.202,38.704,137.87,78.812,123.82,133.25,48.095,107.18,47.031000000000006,47.405,72.359
2016-08-09,289.62,42.68899999999999,15.408,50.95,93.71,77.7,14.34,18.549,28.624000000000002,40.001,33.289,109.8,114.25,84.37799999999999,23.524,23.756,193.12,54.367,41.416000000000004,25.069000000000003,72.075,38.1,29.789,39.529,42.977,38.839,137.56,78.919,123.54,133.59,48.153,107.16,46.888000000000005,47.395,72.531
2016-08-10,284.5,43.059,14.857999999999999,50.75,94.863,77.619,13.91,18.250999999999998,28.791,40.203,32.918,110.53,113.82,83.975,23.443,23.718000000000004,192.51,53.745,41.168,25.089000000000002,72.29,38.07,29.468000000000004,39.354,42.898,38.946999999999996,137.93,78.547,123.67,134.08,47.854,107.06,46.898,47.405,72.28399999999999
2016-08-11,289.68,43.513999999999996,14.8,50.9,94.775,77.73100000000001,14.46,18.394000000000002,29.250999999999998,40.44,33.06,110.81,114.29,84.059,23.443,23.831999999999997,193.45,55.305,42.195,25.355999999999998,73.428,38.46,29.826,39.141,42.476000000000006,39.117,138.35,78.979,124.98,134.01,47.843999999999994,107.72,47.128,47.516999999999996,72.686
2016-08-12,289.17,43.628,14.357999999999999,51.18,93.87299999999999,77.342,14.36,18.271,29.085,40.242,32.955999999999996,109.76,114.24,84.17200000000001,23.326999999999998,23.614,192.1,55.031000000000006,42.872,25.416,74.038,38.51,28.558000000000003,39.062,42.24,39.019,138.6,78.88,124.93,134.37,47.766000000000005,107.36,46.598,47.573,72.521
