Date,BIIB,CCL,CEIX,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2016-12-01,272.45,47.942,,16.833,49.33,95.90899999999999,68.161,12.38,25.44,33.965,34.499,32.429,111.37,114.18,76.705,26.232,23.31,141.26,49.693000000000005,50.428000000000004,25.469,81.09100000000001,38.34,35.236999999999995,42.797,38.361,35.478,157.46,74.64399999999999,126.0,123.88,56.386,116.23,48.328,43.726000000000006,66.445
2016-12-02,273.75,48.442,,17.408,50.1,95.48299999999999,68.788,12.56,24.909000000000002,33.013000000000005,34.747,32.812,111.26,114.68,77.10600000000001,26.109,23.396,141.74,49.507,50.678000000000004,25.269000000000002,80.997,38.62,35.853,42.19,38.518,35.231,157.26,74.929,125.21,124.73,55.891000000000005,116.21,48.348,44.122,66.601
2016-12-05,267.32,49.623999999999995,,17.975,51.84,96.899,68.96600000000001,13.0,25.101999999999997,32.929,34.719,33.032,112.88,115.84,76.507,26.250999999999998,23.51,143.16,50.871,52.281000000000006,25.598000000000003,81.531,38.99,36.285,42.748000000000005,39.843,35.249,154.22,76.503,126.62,125.03,56.552,116.27,48.725,44.18,66.485
2016-12-06,268.19,50.536,,18.008,54.44,97.57700000000001,69.20100000000001,13.2,25.323,33.053000000000004,34.739000000000004,33.35,112.52,116.22,76.202,26.498,23.548000000000002,143.56,49.615,52.004,25.726999999999997,81.02600000000001,38.98,36.065,43.041000000000004,40.486999999999995,35.907,153.94,76.306,127.18,125.43,57.144,116.89,48.783,44.093999999999994,66.668
2016-12-07,262.79,51.096000000000004,,18.375,55.6,98.865,69.958,13.62,25.543000000000003,34.21,34.608000000000004,34.098,114.55,118.23,79.06,26.714000000000002,24.069000000000003,139.83,51.11600000000001,52.902,26.160999999999998,83.029,39.45,38.16,43.041000000000004,41.638000000000005,36.91,155.96,78.482,129.41,127.2,57.96,118.83,49.481,44.669,66.095
2016-12-08,266.39,50.864,,18.15,58.17,100.99,70.017,13.84,25.958000000000002,34.324,34.461,34.291,115.59,118.82,78.439,26.918000000000003,24.448,141.52,50.577,53.662,26.423000000000002,83.62100000000001,39.61,38.702,43.773999999999994,41.905,36.875,155.88,78.452,129.79,126.87,58.621,118.59,49.809,44.746,66.222
2016-12-09,265.07,51.269,,17.75,57.36,102.44,71.03699999999999,13.69,25.872,35.493,34.829,34.349000000000004,114.92,119.64,79.842,26.97,24.23,144.4,50.742,52.828,26.409000000000002,83.171,39.65,37.811,44.977,41.887,36.846,156.67,78.313,130.01,128.59,58.716,119.02,49.818000000000005,45.217,67.031
2016-12-12,263.89,50.105,,16.592,57.66,101.65,71.655,13.32,25.535,34.965,34.857,34.551,113.99,119.06,80.242,26.97,24.155,144.64,50.567,53.013000000000005,25.996,83.306,39.43,38.133,45.516999999999996,41.15,37.523,156.05,77.68,128.78,129.06,58.083999999999996,118.37,49.596000000000004,45.688,67.34899999999999
2016-12-13,264.71,50.123000000000005,,16.275,57.64,101.44,72.442,13.32,25.746,35.211,35.438,35.348,115.71,120.64,80.947,27.01,24.04,146.11,51.313,53.532,26.313000000000002,84.137,39.43,37.516999999999996,45.478,41.583,37.741,157.07,78.373,129.78,129.53,58.184,118.15,49.516999999999996,46.158,67.895
2016-12-14,263.67,50.375,,15.942,57.04,101.64,70.766,13.07,25.89,33.88,34.986,35.108000000000004,115.59,120.27,80.39399999999999,26.815,23.633000000000003,141.55,50.812,53.152,26.301,82.46700000000001,39.55,36.79,44.997,41.085,37.503,156.41,78.303,128.93,128.25,57.835,116.96,48.928000000000004,45.208,67.547
