Date,Open,High,Low,Close,Volume
1983-04-06,2.8014,2.8014,2.8014,2.8014,214890
1983-04-07,2.8226,2.8226,2.7794,2.8014,577572
1983-04-08,2.8014,2.8226,2.8014,2.8014,274070
1983-04-11,2.8014,2.8664,2.8014,2.8226,483580
1983-04-12,2.8664,2.8664,2.8226,2.8664,331665
1983-04-13,2.8226,2.8664,2.8226,2.8664,1291551
1983-04-14,2.8226,2.8664,2.8014,2.8664,164883
1983-04-15,2.8664,2.8664,2.8226,2.8664,583272
1983-04-18,2.8664,2.8664,2.8226,2.8664,403508
1983-04-19,2.8664,2.8664,2.8226,2.8226,247173
1983-04-20,2.8664,2.8878,2.8664,2.8878,840252
1983-04-21,2.8878,2.8878,2.8226,2.8226,533899
1983-04-22,2.8226,2.8664,2.8014,2.8664,1649488
1983-04-25,2.8664,2.8664,2.8226,2.8664,181661
1983-04-26,2.8664,2.8664,2.8226,2.8664,654477
1983-04-27,2.8664,2.8878,2.8226,2.8226,1006405
1983-04-28,2.8226,2.8664,2.8014,2.8226,1978310
1983-04-29,2.8226,2.8226,2.8014,2.8014,1195976
1983-05-02,2.8014,2.8014,2.7794,2.8014,665240
1983-05-03,2.8014,2.8226,2.8014,2.8226,1433018
1983-05-04,2.8226,2.8664,2.8226,2.8664,240206
1983-05-05,2.8664,2.8664,2.8226,2.8664,1263064
1983-05-06,2.8878,2.8878,2.8664,2.8878,457626
1983-05-09,2.8664,2.8878,2.7144,2.8664,975386
1983-05-10,2.8664,2.8664,2.8226,2.8664,1429852
1983-05-11,2.8664,2.8878,2.8664,2.8664,2196677
1983-05-12,2.8664,2.8878,2.8226,2.8664,760497
1983-05-13,2.8664,2.8664,2.8226,2.8226,3001799
1983-05-16,2.8226,2.8226,2.8226,2.8226,2293206
1983-05-17,2.8226,2.8226,2.8014,2.8226,508897
1983-05-18,2.8226,2.8226,2.8226,2.8226,527254
1983-05-19,2.8226,2.8226,2.8226,2.8226,320273
1983-05-20,2.8226,2.8226,2.8226,2.8226,404463
1983-05-23,2.8226,2.8226,2.8014,2.8226,634857
1983-05-24,2.8446,2.8878,2.8446,2.8878,582636
1983-05-25,2.8878,2.8878,2.8226,2.8226,869051
1983-05-26,2.8226,2.8878,2.8226,2.8446,441805
1983-05-27,2.8446,2.8664,2.8446,2.8664,156022
1983-05-31,2.8446,2.8664,2.8226,2.8446,1328894
1983-06-01,2.8446,2.8446,2.8226,2.8226,785501
1983-06-02,2.8446,2.8446,2.8226,2.8446,928550
1983-06-03,2.8664,2.8664,2.8226,2.8446,511113
1983-06-06,2.8446,2.8446,2.8226,2.8226,536428
1983-06-07,2.8446,2.8446,2.8226,2.8226,424082
1983-06-08,2.8226,2.8226,2.8014,2.8014,1076029
1983-06-09,2.8226,2.8226,2.7579,2.7794,924435
1983-06-10,2.7794,2.8014,2.7794,2.8014,259194
1983-06-13,2.8226,2.8226,2.7794,2.8226,92726
1983-06-14,2.8014,2.8226,2.7794,2.8014,381990
1983-06-15,2.8226,2.8226,2.7579,2.8226,197485
1983-06-16,2.8226,2.8226,2.8014,2.8226,481678
1983-06-17,2.8226,2.8446,2.8014,2.8226,415219
1983-06-20,2.8226,2.8226,2.7794,2.8014,423763
1983-06-21,2.8014,2.8226,2.6707,2.8014,1045329
1983-06-22,2.8226,2.8226,2.8014,2.8226,850694
1983-06-23,2.8014,2.8226,2.7794,2.8014,298122
1983-06-24,2.8014,2.8226,2.7794,2.7794,180078
1983-06-27,2.7794,2.8014,2.7579,2.8014,241793
1983-06-28,2.7579,2.8014,2.7579,2.8014,740877
1983-06-29,2.8014,2.8226,2.7794,2.8014,591184
1983-06-30,2.8014,2.8226,2.8014,2.8226,243688
1983-07-01,2.8226,2.8226,2.7794,2.7794,332622
1983-07-05,2.7579,2.8014,2.7579,2.7794,1952357
1983-07-06,2.8014,2.8226,2.7794,2.8014,132290
1983-07-07,2.8226,2.8226,2.8014,2.8226,431673
1983-07-08,2.8226,2.8226,2.8226,2.8226,467438
1983-07-11,2.8226,2.8878,2.8226,2.8878,167732
1983-07-12,2.8446,2.8878,2.8226,2.8446,174695
1983-07-13,2.8226,2.8878,2.8226,2.8664,348127
1983-07-14,2.8878,2.8878,2.8664,2.8664,896585
1983-07-15,2.8664,2.8664,2.8446,2.8446,726635
1983-07-18,2.8446,2.8878,2.8446,2.8878,262359
1983-07-19,2.8664,2.9095,2.8664,2.8878,593079
1983-07-20,2.9095,2.9532,2.9095,2.9095,579789
1983-07-21,2.9095,2.9095,2.8878,2.9095,129122
1983-07-22,2.9095,2.9095,2.8878,2.9095,1077924
1983-07-25,2.8878,2.9095,2.8878,2.8878,237675
1983-07-26,2.8878,2.8878,2.8878,2.8878,667771
1983-07-27,2.8878,2.8878,2.8664,2.8664,1509287
1983-07-28,2.8878,2.8878,2.8014,2.8014,149061
1983-07-29,2.8226,2.8226,2.7794,2.8226,2630256
1983-08-01,2.8014,2.8226,2.7579,2.8014,328186
1983-08-02,2.8226,2.8878,2.8226,2.8446,1690628
1983-08-03,2.8446,2.8664,2.8226,2.8446,1192178
1983-08-04,2.8226,2.8664,2.8226,2.8226,1660250
1983-08-05,2.8446,2.8446,2.8014,2.8226,1209265
1983-08-08,2.8014,2.8226,2.7794,2.8014,715245
1983-08-09,2.7794,2.8226,2.7794,2.8014,353192
1983-08-10,2.7794,2.8878,2.7579,2.7794,150009
1983-08-11,2.7794,2.8014,2.7579,2.7794,1431117
1983-08-12,2.7794,2.8226,2.7794,2.8014,1503277
1983-08-15,2.8014,2.8226,2.8014,2.8014,4176254
1983-08-16,2.8014,2.8014,2.7794,2.8014,419970
1983-08-17,2.7794,2.8014,2.7579,2.8014,2603673
1983-08-18,2.8014,2.8014,2.7794,2.7794,550355
1983-08-19,2.8014,2.8014,2.7579,2.7794,536116
1983-08-22,2.7794,2.8014,2.7794,2.8014,666186
1983-08-23,2.8014,2.8014,2.7794,2.7794,220586
1983-08-24,2.8014,2.8014,2.7794,2.7794,234194
1983-08-25,2.7794,2.8014,2.7579,2.7794,1129829
1983-08-26,2.8014,2.8014,2.7794,2.8014,189889
1983-08-29,2.7794,2.8014,2.7579,2.7794,896585
1983-08-30,2.7794,2.8014,2.7579,2.7794,744044
1983-08-31,2.7794,2.8014,2.7579,2.8014,428195
1983-09-01,2.8014,2.8014,2.7794,2.8014,350343
1983-09-02,2.8014,2.8014,2.8014,2.8014,445918
1983-09-06,2.8226,2.8226,2.8014,2.8226,270274
1983-09-07,2.8226,2.8664,2.8014,2.8446,818096
1983-09-08,2.8446,2.8664,2.8226,2.8446,107605
1983-09-09,2.8664,2.8878,2.8446,2.8878,575992
1983-09-12,2.9095,2.9312,2.8878,2.9095,1469410
1983-09-13,2.9095,2.9312,2.9095,2.9312,186090
1983-09-14,2.9312,2.9532,2.8664,2.9312,143049
1983-09-15,2.9312,2.9312,2.9095,2.9095,147481
1983-09-16,2.9095,2.9755,2.9095,2.9755,665873
1983-09-19,2.9755,2.9755,2.9312,2.9755,211410
1983-09-20,2.9755,2.9968,2.9755,2.9755,913357
1983-09-21,2.9755,2.9968,2.8664,2.9968,323126
1983-09-22,2.9968,2.9968,2.9755,2.9755,169000
1983-09-23,2.9968,2.9968,2.9532,2.9755,518394
1983-09-26,2.9755,3.0399,2.9755,3.0399,223122
1983-09-27,3.0184,3.0399,2.9968,3.0184,460476
1983-09-28,3.0399,3.0399,3.0184,3.0399,711759
1983-09-29,3.0184,3.0399,3.0184,3.0184,635490
1983-09-30,3.0399,3.0617,3.0184,3.0617,503199
1983-10-03,3.0617,3.1051,3.0399,3.1051,312361
1983-10-04,3.1051,3.2135,3.1051,3.2135,1368138
1983-10-05,3.2135,3.2135,3.1703,3.2135,2029896
1983-10-06,3.2135,3.257,3.1703,3.257,1222559
1983-10-07,3.2358,3.2358,3.1703,3.2135,2113443
1983-10-10,3.1921,3.2135,3.1921,3.2135,80070
1983-10-11,3.1921,3.2135,3.127,3.1488,969690
1983-10-12,3.127,3.1488,3.0833,3.1051,351925
1983-10-13,3.1051,3.1051,3.0833,3.1051,158240
1983-10-14,3.127,3.1488,3.1051,3.1051,609223
1983-10-17,3.1488,3.1488,3.1051,3.1488,503199
1983-10-18,3.1488,3.1703,3.1488,3.1488,854178
1983-10-19,3.1488,3.1703,3.1488,3.1703,438641
1983-10-20,3.1703,3.2135,3.1703,3.1921,632326
1983-10-21,3.2135,3.2135,3.1703,3.2135,855440
1983-10-24,3.1921,3.2135,3.1703,3.2135,1040263
1983-10-25,3.2135,3.2358,3.2135,3.2358,105069
1983-10-26,3.2358,3.2786,3.2358,3.2786,287678
1983-10-27,3.2786,3.3222,3.257,3.2786,1614359
1983-10-28,3.2786,3.3007,3.2786,3.3007,880758
1983-10-31,3.3007,3.3007,3.2786,3.3007,1382379
1983-11-01,3.3007,3.3439,3.2786,3.3222,1063685
1983-11-02,3.3222,3.3439,3.3007,3.3439,948486
1983-11-03,3.366,3.366,3.3222,3.366,3571460
1983-11-04,3.3222,3.3439,3.3007,3.3007,360153
1983-11-07,3.3007,3.3222,3.3007,3.3222,412058
1983-11-08,3.3007,3.3007,3.257,3.2786,624095
1983-11-09,3.2786,3.3439,3.2786,3.3439,867464
1983-11-10,3.3439,3.3439,3.3007,3.3007,182605
1983-11-11,3.3007,3.3222,3.3007,3.3222,826009
1983-11-14,3.3007,3.3439,3.1921,3.3007,582950
1983-11-15,3.3007,3.3222,3.2786,3.3007,776957
1983-11-16,3.3222,3.3439,3.3007,3.3222,488012
1983-11-17,3.3007,3.3222,3.3007,3.3007,1781143
1983-11-18,3.3007,3.3222,3.3007,3.3007,229767
1983-11-21,3.3007,3.3222,3.3007,3.3007,206977
1983-11-22,3.3222,3.366,3.3007,3.366,626312
1983-11-23,3.366,3.366,3.3439,3.366,322811
1983-11-25,3.366,3.366,3.3439,3.366,86716
1983-11-28,3.366,3.366,3.3222,3.3222,110770
1983-11-29,3.3007,3.3222,3.2786,3.3007,1398835
1983-11-30,3.3007,3.3222,3.3007,3.3007,211093
1983-12-01,3.3007,3.3007,3.2358,3.2358,2040971
1983-12-02,3.2135,3.257,3.2135,3.2358,695620
1983-12-05,3.2358,3.257,3.2135,3.2358,826326
1983-12-06,3.2358,3.257,3.2358,3.257,425665
1983-12-07,3.257,3.3007,3.257,3.3007,443702
1983-12-08,3.2786,3.3007,3.2786,3.2786,346227
1983-12-09,3.257,3.3007,3.257,3.257,749421
1983-12-12,3.257,3.3007,3.1488,3.2786,177860
1983-12-13,3.257,3.2786,3.257,3.2786,741512
1983-12-14,3.2786,3.3007,3.257,3.2786,387999
1983-12-15,3.257,3.2786,3.257,3.257,82602
1983-12-16,3.257,3.2786,3.257,3.257,761763
1983-12-19,3.257,3.2786,3.257,3.257,465222
1983-12-20,3.257,3.3007,3.257,3.2786,749421
1983-12-21,3.2786,3.2786,3.257,3.2786,1162744
1983-12-22,3.2786,3.2786,3.257,3.2786,748159
1983-12-23,3.257,3.257,3.2358,3.2358,328504
1983-12-27,3.2358,3.257,3.2358,3.257,452879
1983-12-28,3.257,3.2786,3.257,3.257,317430
1983-12-29,3.257,3.2786,3.257,3.2786,259514
1983-12-30,3.257,3.2786,3.2358,3.257,816199
1984-01-03,3.257,3.2786,3.257,3.257,385785
1984-01-04,3.257,3.3222,3.257,3.3007,211093
