Date,Open,High,Low,Close,Volume
1990-03-26,2.9698,3.0116,2.9698,3.0116,87148
1990-03-27,2.9864,3.0116,2.9698,3.0116,283226
1990-03-28,3.0116,3.0535,2.9698,3.0116,276872
1990-03-29,3.0116,3.0535,3.0116,3.028,123457
1990-03-30,3.0116,3.0535,2.9196,2.9698,779788
1990-04-02,2.9446,2.9864,2.9446,2.9698,42665
1990-04-03,2.9196,2.9698,2.9196,2.9196,25418
1990-04-04,2.9196,2.9363,2.8776,2.8858,160674
1990-04-05,2.9196,2.9196,2.8274,2.8274,117106
1990-04-06,2.8608,2.8608,2.7687,2.8023,607300
1990-04-09,2.7941,2.8608,2.7941,2.8608,76252
1990-04-10,2.8776,2.9028,2.8356,2.9028,647248
1990-04-11,2.9028,2.9196,2.8608,2.8776,144335
1990-04-12,2.8776,2.9196,2.8776,2.9109,290490
1990-04-16,2.9196,2.9196,2.8776,2.9196,226944
1990-04-17,2.9196,2.9446,2.9028,2.9446,148876
1990-04-18,2.9529,2.9698,2.8776,2.8776,257809
1990-04-19,2.9196,2.9196,2.8608,2.9028,34494
1990-04-20,2.8356,2.8776,2.8107,2.8776,294120
1990-04-23,2.7941,2.8608,2.7941,2.8107,153417
1990-04-24,2.8107,2.8776,2.8107,2.8608,175201
1990-04-25,2.8107,2.8776,2.8107,2.8608,54467
1990-04-26,2.8107,2.8608,2.7941,2.7941,143427
1990-04-27,2.8608,2.8608,2.7941,2.8107,167035
1990-04-30,2.7941,2.8107,2.7521,2.7521,298659
1990-05-01,2.7521,2.7687,2.7521,2.7687,1076624
1990-05-02,2.7687,2.7941,2.7521,2.7941,716239
1990-05-03,2.7687,2.7687,2.7521,2.7521,717142
1990-05-04,2.7521,2.7941,2.7272,2.7521,817910
1990-05-07,2.7521,2.7941,2.7521,2.7521,175201
1990-05-08,2.7941,2.7941,2.7272,2.7941,207879
1990-05-09,2.7272,2.7687,2.6936,2.7354,2195012
1990-05-10,2.7021,2.7687,2.7021,2.7606,328615
1990-05-11,2.7941,2.8107,2.7272,2.8107,104394
1990-05-14,2.7941,2.8608,2.7941,2.8107,704437
1990-05-15,2.7941,2.8356,2.7687,2.8356,187911
1990-05-16,2.8608,2.8608,2.7941,2.8608,66267
1990-05-17,2.8608,2.9028,2.8356,2.8356,130719
1990-05-18,2.8356,2.8776,2.8356,2.8356,214236
1990-05-21,2.8356,2.8776,2.8356,2.8356,331338
1990-05-22,2.8356,2.8776,2.7941,2.8107,256905
1990-05-23,2.8356,2.8356,2.7941,2.7941,702623
1990-05-24,2.7941,2.8107,2.7687,2.7687,110749
1990-05-25,2.7687,2.8107,2.7687,2.7941,137980
1990-05-29,2.7941,2.7941,2.7521,2.7521,126183
1990-05-30,2.7941,2.7941,2.7521,2.7521,63545
1990-05-31,2.7521,2.7941,2.7272,2.7521,436642
1990-06-01,2.7521,2.8107,2.7272,2.7941,291397
1990-06-04,2.7687,2.7941,2.7521,2.7941,281413
1990-06-05,2.7687,2.8776,2.7687,2.8608,672664
1990-06-06,2.8608,2.8608,2.8107,2.8608,108933
1990-06-07,2.8107,2.8444,2.8107,2.8444,1535056
1990-06-08,2.8107,2.8608,2.7941,2.8274,161584
1990-06-11,2.7941,2.7941,2.7272,2.7354,494738
1990-06-12,2.7272,2.7941,2.7272,2.7773,216053
1990-06-13,2.7521,2.7941,2.7521,2.7687,191541
1990-06-14,2.7606,2.7687,2.7272,2.7687,78069
1990-06-15,2.7521,2.7521,2.7021,2.7272,73531
1990-06-18,2.7521,2.7521,2.6602,2.7021,209698
1990-06-19,2.6602,2.7021,2.6602,2.6852,199716
1990-06-20,2.6852,2.7272,2.6852,2.7272,122549
1990-06-21,2.7521,2.7941,2.6852,2.7521,257809
1990-06-22,2.7941,2.8776,2.7687,2.7687,885086
1990-06-25,2.8356,2.8356,2.7941,2.8107,276872
1990-06-26,2.8107,2.8608,2.7941,2.7941,150687
1990-06-27,2.7941,2.8608,2.7941,2.8608,20880
1990-06-28,2.8608,2.8608,2.7941,2.7941,42665
1990-06-29,2.8356,2.8356,2.7941,2.7941,198802
1990-07-02,2.8023,2.8107,2.7687,2.8107,680837
1990-07-03,2.7941,2.7941,2.7272,2.7272,79882
1990-07-05,2.7687,2.7687,2.6602,2.6602,203343
1990-07-06,2.6602,2.7021,2.6602,2.6936,57187
1990-07-09,2.6852,2.7272,2.6852,2.6852,517432
1990-07-10,2.6852,2.7272,2.6852,2.6852,255084
1990-07-11,2.6852,2.7272,2.6852,2.7021,164309
1990-07-12,2.7272,2.7272,2.7021,2.7272,44482
1990-07-13,2.7272,2.7439,2.7021,2.7021,116196
1990-07-16,2.7439,2.8107,2.7272,2.7687,1849146
1990-07-17,2.7941,2.9196,2.7941,2.9109,607300
1990-07-18,2.9028,2.9864,2.9028,2.9864,496556
1990-07-19,2.9446,2.9864,2.9446,2.9698,1702997
1990-07-20,2.9446,2.9864,2.9363,2.9363,241471
1990-07-23,2.9446,2.9698,2.8608,2.8608,268701
1990-07-24,2.8608,2.9028,2.8608,2.8776,305014
1990-07-25,2.8776,2.9196,2.8608,2.8608,135259
1990-07-26,2.8776,2.8776,2.8608,2.8608,311370
1990-07-27,2.8608,2.8776,2.7439,2.7439,280504
1990-07-30,2.7272,2.7687,2.7272,2.7687,483847
1990-07-31,2.7272,2.7687,2.7272,2.7687,264162
1990-08-01,2.7021,2.7687,2.7021,2.7272,695359
1990-08-02,2.6602,2.7272,2.6518,2.6852,517432
1990-08-03,2.6518,2.6518,2.5934,2.6014,662678
1990-08-06,2.6014,2.6266,2.5684,2.6266,541037
1990-08-07,2.5934,2.6602,2.5934,2.5934,67175
1990-08-08,2.6353,2.6602,2.5934,2.5934,127996
1990-08-09,2.6353,2.6353,2.5934,2.5934,171572
1990-08-10,2.5934,2.5934,2.5263,2.5263,157047
1990-08-13,2.5515,2.5515,2.5011,2.5263,334970
1990-08-14,2.5684,2.5684,2.5263,2.5684,136167
1990-08-15,2.5684,2.5934,2.5515,2.5515,39945
1990-08-16,2.5684,2.5845,2.5263,2.5263,427565
1990-08-17,2.5684,2.5684,2.5263,2.5263,53558
1990-08-20,2.5263,2.5684,2.5263,2.5684,133444
1990-08-21,2.5011,2.5263,2.4846,2.4929,196989
1990-08-22,2.4846,2.5263,2.4594,2.4762,268701
1990-08-23,2.4594,2.4594,2.4176,2.4176,418486
1990-08-24,2.3924,2.4176,2.3757,2.3757,46297
1990-08-27,2.4594,2.4594,2.4092,2.4428,48109
1990-08-28,2.4428,2.4428,2.3757,2.4176,65365
1990-08-29,2.4428,2.4846,2.4176,2.4594,273244
1990-08-30,2.5011,2.5263,2.4594,2.5011,275056
1990-08-31,2.4594,2.5011,2.4594,2.4594,2094251
1990-09-04,2.4594,2.5011,2.4594,2.4846,191541
1990-09-05,2.4594,2.5515,2.4594,2.5515,203343
1990-09-06,2.5011,2.5263,2.4594,2.4762,89872
1990-09-07,2.5011,2.5011,2.4594,2.4594,83513
1990-09-10,2.5011,2.5011,2.4846,2.4846,199716
1990-09-11,2.5011,2.5011,2.4428,2.4762,410317
1990-09-12,2.4594,2.4846,2.4428,2.4428,323168
1990-09-13,2.4846,2.4846,2.4176,2.4594,160674
1990-09-14,2.4176,2.4176,2.3088,2.3422,794309
1990-09-17,2.284,2.3507,2.284,2.3507,54467
1990-09-18,2.3507,2.3757,2.3088,2.3253,371282
1990-09-19,2.3757,2.3757,2.3253,2.3757,249635
1990-09-20,2.3253,2.3757,2.284,2.284,360390
1990-09-21,2.3088,2.3088,2.2168,2.284,346771
1990-09-24,2.242,2.284,2.0664,2.0914,283226
1990-09-25,2.0914,2.242,2.0914,2.2087,486572
1990-09-26,2.242,2.242,2.1333,2.1333,175201
1990-09-27,2.1748,2.1748,2.1082,2.1581,248732
1990-09-28,2.1082,2.242,2.0664,2.242,343140
1990-10-01,2.242,2.3507,2.2001,2.3088,199716
1990-10-02,2.3507,2.4008,2.3088,2.3757,511080
1990-10-03,2.3757,2.3757,2.3088,2.3422,69898
1990-10-04,2.3338,2.3757,2.3338,2.3338,66267
1990-10-05,2.3088,2.3338,2.284,2.284,184281
1990-10-08,2.3338,2.3507,2.284,2.284,95315
1990-10-09,2.284,2.3338,2.2001,2.2001,102579
1990-10-10,2.242,2.2671,2.1748,2.2168,200620
1990-10-11,2.2168,2.2168,2.0914,2.1082,546486
1990-10-12,2.1748,2.2001,2.1082,2.2001,391250
1990-10-15,2.1581,2.2671,2.1581,2.2671,132535
1990-10-16,2.284,2.3507,2.242,2.3088,1324448
1990-10-17,2.3088,2.4008,2.3088,2.3507,873285
1990-10-18,2.3507,2.4008,2.3338,2.3757,322263
1990-10-19,2.4428,2.4846,2.4008,2.4846,392158
1990-10-22,2.4846,2.5765,2.4428,2.5515,167937
1990-10-23,2.5515,2.5515,2.4428,2.5095,311370
1990-10-24,2.4846,2.4846,2.4428,2.4846,206068
1990-10-25,2.4428,2.4846,2.4428,2.4509,225130
1990-10-26,2.4428,2.4846,2.4428,2.4677,237840
1990-10-29,2.4509,2.4846,2.4176,2.4176,729853
1990-10-30,2.4428,2.4677,2.4008,2.4008,368559
1990-10-31,2.4428,2.4846,2.4176,2.4846,508358
1990-11-01,2.4677,2.4846,2.4428,2.4846,340416
1990-11-02,2.4846,2.5765,2.4846,2.5345,127090
1990-11-05,2.5765,2.6014,2.5345,2.5515,157047
1990-11-06,2.5515,2.6683,2.5515,2.6683,228762
1990-11-07,2.6434,2.6434,2.5345,2.5345,500187
1990-11-08,2.5515,2.5765,2.5095,2.5515,56282
1990-11-09,2.5765,2.7354,2.5345,2.6683,696267
1990-11-12,2.6852,2.7521,2.6768,2.7021,412133
1990-11-13,2.7103,2.7521,2.6852,2.6852,309548
1990-11-14,2.6852,2.7354,2.6852,2.6852,139797
1990-11-15,2.6852,2.7354,2.6434,2.6852,169753
1990-11-16,2.6683,2.6683,2.5515,2.6014,139797
1990-11-19,2.5515,2.6434,2.5515,2.6186,157047
1990-11-20,2.5765,2.6014,2.5515,2.5515,193356
1990-11-21,2.5515,2.5515,2.4846,2.5345,204248
1990-11-23,2.5765,2.5765,2.5095,2.5765,59005
1990-11-26,2.5095,2.5515,2.5095,2.5095,68993
1990-11-27,2.5515,2.5515,2.5095,2.543,112565
1990-11-28,2.5515,2.6014,2.5345,2.6014,305014
1990-11-29,2.6186,2.6434,2.5765,2.6434,137980
1990-11-30,2.6014,2.6852,2.6014,2.6683,177924
1990-12-03,2.6852,2.6852,2.6186,2.6683,347677
1990-12-04,2.6186,2.6852,2.6186,2.6768,687187
1990-12-05,2.6852,2.7521,2.6683,2.7439,169753
1990-12-06,2.7773,2.7941,2.7103,2.7521,489292
1990-12-07,2.7354,2.7521,2.7021,2.7103,147966
1990-12-10,2.7521,2.7521,2.7103,2.7521,432104
1990-12-11,2.7521,2.7521,2.6852,2.7354,312274
1990-12-12,2.7354,2.7941,2.7103,2.7941,232392
1990-12-13,2.7941,2.8444,2.7521,2.819,165216
1990-12-14,2.7773,2.819,2.7354,2.7773,365836
1990-12-17,2.7103,2.7521,2.7103,2.7439,125273
1990-12-18,2.7103,2.7521,2.7103,2.7439,187911
1990-12-19,2.7103,2.8608,2.7103,2.7941,424841
1990-12-20,2.7941,2.9109,2.7941,2.9109,291397
1990-12-21,2.8444,2.9529,2.8444,2.9529,52651
1990-12-24,2.9109,2.978,2.9109,2.978,13616
1990-12-26,2.9109,2.978,2.9109,2.9109,55371
1990-12-27,2.9109,3.0369,2.9109,2.978,262349
1990-12-28,2.9363,3.0031,2.9363,3.0031,157953
1990-12-31,2.9363,2.9529,2.9363,2.9529,94406
1991-01-02,2.9109,2.9529,2.9109,2.9363,194265
1991-01-03,2.9109,2.9529,2.8692,2.8858,423934
1991-01-04,2.8858,2.9028,2.8692,2.8858,445719
1991-01-07,2.8692,2.8692,2.7521,2.7773,1216426
1991-01-08,2.7773,2.8023,2.7103,2.7103,698989
1991-01-09,2.7773,2.819,2.7354,2.7521,111657
1991-01-10,2.7521,2.7773,2.7521,2.7773,58099
1991-01-11,2.7354,2.7773,2.7354,2.7773,59005
1991-01-14,2.7354,2.7773,2.6434,2.7103,599137
1991-01-15,2.6602,2.7103,2.6602,2.7021,301385
1991-01-16,2.7103,2.7521,2.6602,2.7521,418486
1991-01-17,2.8444,2.9529,2.7773,2.9363,255992
1991-01-18,2.8692,2.9529,2.8692,2.9529,244191
1991-01-21,2.8692,2.9363,2.8692,2.8858,189724
1991-01-22,2.8692,2.9363,2.8692,2.8692,196082
1991-01-23,2.819,2.8858,2.8023,2.8444,580072
1991-01-24,2.9109,2.9363,2.8444,2.9363,392158
1991-01-25,2.8692,2.9529,2.8692,2.9446,194265
1991-01-28,2.8858,2.9529,2.7773,2.8692,718052
1991-01-29,2.8692,2.9109,2.819,2.9109,294120
1991-01-30,2.8692,2.978,2.8692,2.978,481121
1991-01-31,2.978,3.0031,2.9363,3.0031,471137
1991-02-01,3.0199,3.1369,2.978,3.1369,694451
1991-02-04,3.0866,3.3544,3.0866,3.3544,851498
1991-02-05,3.3544,3.3797,3.3124,3.3544,2638007
