Date,Open,High,Low,Close,Volume
2005-02-25,32.558,32.799,32.5,32.765,1153470
2005-02-28,32.745,32.779,32.232,32.484,2280064
2005-03-01,32.873,33.31,32.866,33.155,1855787
2005-03-02,33.087,33.324,33.056,33.062,1570172
2005-03-03,34.088,34.241,33.897,34.019,2783760
2005-03-04,34.853,34.976,32.551,32.945,19873622
2005-03-07,32.84,33.041,32.657,32.879,2860058
2005-03-08,33.041,33.141,32.738,32.994,2158334
2005-03-09,32.847,32.885,32.282,32.287,2355773
2005-03-10,32.994,32.994,32.638,32.738,2057238
2005-03-11,32.772,32.866,32.657,32.657,1847774
2005-03-14,32.334,32.679,32.334,32.638,1820015
2005-03-15,33.224,33.224,32.611,32.805,1684328
2005-03-16,32.805,32.92,32.409,32.569,1418750
2005-03-17,32.631,32.698,32.132,32.226,2450041
2005-03-18,31.634,31.863,31.465,31.693,3003617
2005-03-21,31.593,31.666,31.303,31.606,1846285
2005-03-22,31.612,31.755,31.35,31.385,1719955
2005-03-23,31.389,31.553,31.202,31.23,2619866
2005-03-24,31.18,31.282,30.892,30.892,3790706
2005-03-28,31.325,31.325,30.905,30.941,1929720
2005-03-29,30.752,30.819,30.618,30.622,2206431
2005-03-30,30.898,30.993,30.804,30.965,2915287
2005-03-31,31.009,31.096,30.826,30.935,2553810
2005-04-01,30.881,31.038,30.469,30.537,2082476
2005-04-04,30.408,30.509,30.321,30.441,3117031
2005-04-05,31.111,31.282,30.537,31.119,3486080
2005-04-06,31.102,31.244,31.017,31.102,3174926
2005-04-07,30.954,31.119,30.826,30.986,2705970
2005-04-08,31.027,31.155,30.873,31.009,2150467
2005-04-11,31.646,31.661,31.377,31.493,1666067
2005-04-12,31.176,31.406,31.038,31.325,2156851
2005-04-13,31.142,31.519,31.023,31.406,2101624
2005-04-14,31.423,32.125,31.412,31.998,4218686
2005-04-15,32.65,32.724,32.159,32.215,4457546
2005-04-18,32.287,32.409,31.796,31.91,2383830
2005-04-19,32.588,32.631,32.253,32.448,2167090
2005-04-20,31.983,32.146,31.747,31.747,1228882
2005-04-21,31.627,31.91,31.451,31.741,1770433
2005-04-22,31.457,31.627,31.343,31.511,1332202
2005-04-25,31.457,31.593,31.389,31.586,971909
2005-04-26,31.222,31.714,31.15,31.511,1375550
2005-04-27,32.029,32.064,31.727,31.938,1717284
2005-04-28,33.897,34.26,33.513,33.519,6157164
2005-04-29,34.274,34.342,33.661,34.05,2536738
2005-05-02,33.869,34.247,33.831,33.85,2108453
2005-05-03,34.254,34.409,34.073,34.389,2621354
2005-05-04,34.455,34.833,34.361,34.624,2243101
2005-05-05,34.424,34.491,34.247,34.315,2256019
2005-05-06,34.173,34.268,34.088,34.132,1145747
2005-05-09,34.139,34.334,33.982,34.294,1536177
2005-05-10,33.715,34.006,33.682,33.823,2312131
2005-05-11,33.608,33.782,33.499,33.702,1798190
2005-05-12,33.608,33.762,33.513,33.646,2129828
2005-05-13,33.478,33.513,33.17,33.35,1017485
2005-05-16,32.892,33.499,32.873,33.453,1934175
2005-05-17,33.432,33.682,33.4,33.565,2554698
2005-05-18,33.633,34.05,33.207,33.862,1394255
2005-05-19,33.557,33.608,33.439,33.58,1712832
2005-05-20,33.224,33.411,33.176,33.337,2134288
2005-05-23,33.102,33.35,33.087,33.283,1149014
2005-05-24,33.557,33.646,33.453,33.505,980223
2005-05-25,33.548,33.58,33.324,33.424,974437
2005-05-26,33.478,33.533,33.258,33.275,1513460
2005-05-27,33.491,33.54,33.378,33.533,1969950
2005-05-31,33.478,33.608,33.386,33.478,2609476
2005-06-01,33.258,33.702,33.23,33.62,1208394
2005-06-02,33.424,33.735,33.386,33.694,805945
2005-06-03,33.513,33.628,33.324,33.411,1270446
2005-06-06,33.646,33.782,33.565,33.735,1295383
2005-06-07,33.931,34.118,33.902,33.931,1002195
2005-06-08,33.931,33.946,33.661,33.682,1106556
2005-06-09,33.478,33.964,33.478,33.85,1328049
2005-06-10,33.446,33.468,32.954,33.095,2444847
2005-06-13,33.006,33.243,32.833,33.176,2343010
2005-06-14,32.926,33.224,32.885,33.123,1682696
2005-06-15,32.75,32.906,32.536,32.866,2102070
2005-06-16,32.954,33.013,32.712,32.994,1666663
2005-06-17,33.297,33.297,32.941,33.028,1414740
2005-06-20,32.981,33.135,32.914,33.135,1399300
2005-06-21,33.478,33.749,33.453,33.682,2588842
2005-06-22,33.682,33.715,33.54,33.548,1179445
2005-06-23,33.424,33.478,33.081,33.11,1035299
2005-06-24,33.203,33.23,32.988,33.176,1163411
2005-06-27,32.892,32.994,32.745,32.906,1834710
2005-06-28,32.704,32.945,32.704,32.92,1002644
2005-06-29,32.772,33.021,32.684,32.873,1052670
2005-06-30,32.853,33.006,32.623,32.679,1267476
2005-07-01,32.772,32.833,32.287,32.496,1245653
2005-07-05,32.154,32.381,32.016,32.365,1174402
2005-07-06,32.455,32.604,32.305,32.354,772097
2005-07-07,31.672,32.49,31.672,32.484,1368426
2005-07-08,32.132,32.623,32.098,32.496,1341706
2005-07-11,32.354,32.69,32.354,32.588,706184
2005-07-12,32.638,32.731,32.461,32.461,2078763
2005-07-13,32.496,32.86,32.441,32.745,1088295
2005-07-14,32.738,32.792,32.409,32.67,1838569
2005-07-15,32.173,32.49,32.098,32.328,1215371
2005-07-18,32.029,32.232,31.977,32.092,1370055
2005-07-19,31.661,31.789,31.5,31.654,3154736
2005-07-20,31.546,31.747,31.297,31.688,2317324
2005-07-21,31.511,31.789,31.331,31.661,1625837
2005-07-22,31.249,31.37,31.18,31.325,1975736
2005-07-25,31.444,31.627,31.357,31.546,1747123
2005-07-26,31.325,31.357,31.119,31.303,2118399
2005-07-27,31.525,31.627,31.325,31.612,1715207
2005-07-28,31.727,32.178,31.567,32.098,3351434
2005-07-29,32.159,32.3,31.888,31.955,1323149
2005-08-01,31.949,32.159,31.931,32.016,2567766
2005-08-02,32.072,32.282,32.058,32.232,1782897
2005-08-03,32.138,32.365,32.138,32.334,1918732
2005-08-04,32.389,32.416,32.191,32.287,1449477
2005-08-05,32.238,32.287,31.998,32.085,842312
2005-08-08,32.361,32.429,32.246,32.294,989574
2005-08-09,32.058,32.191,32.016,32.146,1534689
2005-08-10,32.116,32.305,32.078,32.085,1938328
2005-08-11,32.098,32.402,32.085,32.266,689410
2005-08-12,32.116,32.365,32.105,32.253,2814636
2005-08-15,32.178,32.381,32.11,32.226,2426585
2005-08-16,32.334,32.361,32.178,32.178,1152128
2005-08-17,32.461,32.536,32.238,32.274,1465360
2005-08-18,32.588,32.663,32.496,32.528,1767610
2005-08-19,32.469,32.704,32.461,32.477,1454376
2005-08-22,32.569,32.631,32.365,32.536,1266438
2005-08-23,32.253,32.294,32.051,32.051,2240724
2005-08-24,32.085,32.125,31.802,31.863,1030399
2005-08-25,32.238,32.365,32.098,32.215,939548
2005-08-26,32.132,32.154,31.91,31.955,839492
2005-08-29,31.661,32.116,31.661,32.072,648288
2005-08-30,32.206,32.389,32.165,32.365,1436859
2005-08-31,32.3,32.833,32.266,32.818,1260947
2005-09-01,32.981,33.378,32.981,33.31,1211214
2005-09-02,33.324,33.548,33.291,33.418,847360
2005-09-06,33.937,34.064,33.754,33.816,1439090
2005-09-07,33.915,34.112,33.85,34.013,1828771
2005-09-08,34.019,34.088,33.595,33.727,1892605
2005-09-09,33.964,34.16,33.946,34.05,3080068
2005-09-12,33.667,34.043,33.628,33.843,1307706
2005-09-13,33.667,33.667,33.364,33.4,1389207
2005-09-14,33.891,33.923,33.54,33.682,1416818
2005-09-15,33.513,33.519,33.337,33.424,1182713
2005-09-16,33.519,33.519,33.238,33.446,1400935
2005-09-19,33.754,33.801,33.62,33.682,1454082
2005-09-20,33.771,33.843,33.513,33.574,1286476
2005-09-21,33.62,33.655,33.371,33.446,995216
2005-09-22,33.468,33.62,33.331,33.519,868590
2005-09-23,34.088,34.22,33.991,34.132,1550574
2005-09-26,34.354,34.579,34.309,34.506,1941743
2005-09-27,34.361,34.394,34.079,34.228,1073451
2005-09-28,34.064,34.342,34.032,34.301,1006793
2005-09-29,34.026,34.286,33.964,34.268,1575810
2005-09-30,34.469,34.588,34.28,34.542,1518210
2005-10-03,34.841,34.91,34.424,34.535,1866482
2005-10-04,34.579,34.712,34.455,34.475,850331
2005-10-05,34.718,34.819,34.286,34.319,1093936
2005-10-06,34.879,34.947,34.449,34.624,2344640
2005-10-07,34.773,34.895,34.588,34.819,1724560
2005-10-10,34.415,34.498,34.241,34.342,1062469
2005-10-11,34.092,34.173,33.688,33.771,2043436
2005-10-12,34.389,34.482,34.073,34.173,1535878
2005-10-13,33.946,34.173,33.776,33.991,1729751
2005-10-14,34.718,34.926,34.528,34.807,1640240
2005-10-17,34.286,34.319,34.105,34.173,1507677
2005-10-18,34.294,34.692,34.132,34.482,1252333
2005-10-19,34.665,35.089,34.633,35.062,1742672
2005-10-20,34.424,34.424,34.026,34.037,1685662
2005-10-21,34.167,34.274,33.614,33.614,1549384
2005-10-24,34.013,34.348,34.013,34.348,1284550
2005-10-25,33.823,33.902,33.519,33.54,2040313
2005-10-26,33.721,33.721,33.215,33.25,1826398
2005-10-27,34.807,35.163,34.491,34.584,3902931
2005-10-28,35.498,35.534,35.109,35.291,4351405
2005-10-31,35.298,35.378,34.866,35.021,4375156
2005-11-01,35.006,35.05,34.794,34.947,3188736
2005-11-02,34.645,35.03,34.645,35.002,1487039
2005-11-03,35.263,35.566,35.094,35.316,2086483
2005-11-04,35.495,35.566,35.137,35.453,1466105
2005-11-07,35.796,36.004,35.728,35.936,1830408
2005-11-08,35.802,35.857,35.647,35.762,1245360
2005-11-09,35.615,35.877,35.52,35.829,1128083
2005-11-10,36.159,36.24,35.87,35.951,2132060
2005-11-11,36.152,36.214,35.981,36.06,1848514
2005-11-14,35.904,35.965,35.621,35.702,1455120
2005-11-15,35.438,35.566,35.23,35.243,1872116
2005-11-16,34.915,34.976,34.718,34.921,1211214
2005-11-17,34.91,35.156,34.799,35.062,1182266
2005-11-18,34.939,35.006,33.263,33.628,8455337
2005-11-21,32.866,33.31,32.866,33.116,7193208
2005-11-22,33.378,33.85,33.324,33.837,2334840
2005-11-23,33.982,34.073,33.85,33.982,1049254
2005-11-25,33.404,33.548,33.135,33.364,1183898
2005-11-28,33.513,33.528,33.141,33.31,2044767
2005-11-29,33.931,33.931,33.505,33.641,1690713
2005-11-30,33.424,33.58,33.305,33.392,2658617
2005-12-01,33.741,34.043,33.741,33.998,1758850
2005-12-02,34.247,34.436,34.167,34.382,1168758
2005-12-05,34.557,34.557,34.22,34.342,3491128
2005-12-06,34.118,34.247,33.952,34.013,1327006
2005-12-07,33.667,33.885,33.601,33.795,1206167
2005-12-08,33.869,34.319,33.513,34.139,2156402
2005-12-09,34.118,34.301,34.026,34.132,1252631
2005-12-12,34.367,34.415,34.105,34.376,1129713
2005-12-13,34.498,34.751,34.455,34.684,2566723
2005-12-14,34.638,34.826,34.522,34.684,1518803
2005-12-15,34.579,34.624,34.073,34.118,1596891
2005-12-16,34.692,35.03,34.692,34.765,2470972
2005-12-19,35.391,35.435,34.921,35.006,2809590
2005-12-20,35.298,35.316,34.794,34.921,1701844
2005-12-21,34.651,34.651,34.28,34.482,2077130
2005-12-22,34.361,34.436,34.268,34.334,1589470
2005-12-23,34.319,34.542,34.019,34.424,1874495
2005-12-27,34.522,34.557,34.167,34.173,855077
2005-12-28,34.528,34.528,34.118,34.286,1165639
2005-12-29,34.342,34.389,34.213,34.286,1010957
2005-12-30,34.118,34.179,33.969,34.006,877050
2006-01-03,33.969,34.415,33.702,34.328,2343749
2006-01-04,35.23,35.286,34.853,34.993,2376704
2006-01-05,35.507,35.562,34.887,34.993,2173919
2006-01-06,35.48,35.495,34.91,35.311,1537214
2006-01-09,35.702,35.736,35.311,35.548,2132500
2006-01-10,35.19,35.397,35.03,35.15,935095
2006-01-11,34.841,35.102,34.799,34.799,2261211
2006-01-12,34.751,34.751,34.469,34.602,2067630
2006-01-13,34.506,34.847,34.506,34.758,2949131
2006-01-17,34.491,34.579,34.376,34.424,2326530
2006-01-18,34.415,34.436,34.132,34.22,2832452
2006-01-19,33.998,34.274,33.952,34.187,1117099
2006-01-20,34.154,34.154,33.741,33.782,1563641
2006-01-23,34.099,34.286,34.037,34.16,1363822
2006-01-24,34.617,34.617,34.28,34.382,2172887
2006-01-25,34.624,34.67,34.382,34.542,1473974
2006-01-26,34.475,34.819,34.401,34.429,1236304
2006-01-27,35.413,35.48,35.021,35.137,1970987
2006-01-30,34.727,34.779,34.424,34.482,1154506
2006-01-31,34.522,34.557,34.294,34.516,1298947
2006-02-01,34.67,34.826,34.498,34.535,1430034
2006-02-02,34.475,34.638,34.228,34.286,1776221
2006-02-03,34.542,34.633,34.274,34.334,3338077
2006-02-06,34.198,34.301,33.789,34.019,1238380
2006-02-07,33.749,34.073,33.741,33.891,1570316
2006-02-08,34.348,34.498,34.118,34.319,2442322
2006-02-09,34.841,35.331,34.785,34.926,3720186
2006-02-10,35.298,35.331,34.596,34.704,1810362
2006-02-13,35.076,35.23,34.921,35.13,2642584
2006-02-14,34.557,34.859,34.491,34.819,1680026
2006-02-15,34.455,34.588,34.294,34.449,1574620
2006-02-16,34.167,34.584,34.154,34.573,1589617
2006-02-17,34.274,34.588,34.154,34.51,1270597
2006-02-21,34.698,34.746,34.361,34.367,1434930
2006-02-22,34.684,34.895,34.235,34.348,2380563
2006-02-23,34.645,35.054,34.535,34.841,2008989
2006-02-24,34.565,34.573,34.294,34.424,2267149
2006-02-27,34.073,34.535,34.073,34.475,1893202
2006-02-28,34.205,34.455,34.118,34.235,1673934
2006-03-01,34.67,34.704,34.506,34.617,2114390
2006-03-02,34.61,34.807,34.319,34.794,1643505
2006-03-03,34.962,35.331,34.887,35.042,1487332
2006-03-06,35.21,35.251,34.954,35.115,1469668
2006-03-07,34.794,35.345,34.794,35.256,1757367
2006-03-08,35.863,36.134,35.702,36.099,3090607
2006-03-09,36.444,36.808,36.275,36.375,2680732
2006-03-10,36.329,36.754,36.262,36.646,2499920
2006-03-13,36.711,36.869,36.428,36.814,2830222
2006-03-14,36.814,37.035,36.779,37.009,1954063
2006-03-15,36.902,36.955,36.611,36.834,1711494
2006-03-16,36.444,36.793,36.436,36.725,2421092
2006-03-17,36.616,36.693,36.457,36.693,1428549
2006-03-20,36.579,36.706,36.482,36.599,1546120
2006-03-21,36.071,36.262,35.944,36.134,1942932
2006-03-22,36.779,36.779,36.173,36.375,1641871
2006-03-23,35.973,36.024,35.588,35.707,1601496
2006-03-24,36.047,36.233,35.984,36.173,1378070
2006-03-27,35.958,36.04,35.756,35.837,1095868
2006-03-28,35.566,35.707,35.368,35.466,1481989
2006-03-29,35.271,35.298,35.076,35.204,1990139
2006-03-30,35.337,35.615,35.278,35.453,1668296
2006-03-31,35.588,35.593,35.197,35.236,1596148
2006-04-03,35.789,35.884,35.593,35.593,1599711
2006-04-04,35.52,35.608,35.291,35.435,1983161
2006-04-05,35.236,35.458,35.19,35.263,1501735
2006-04-06,35.03,35.089,34.807,34.939,2152102
2006-04-07,34.993,35.122,34.584,34.677,1455268
2006-04-10,35.368,35.48,35.021,35.13,1745789
2006-04-11,35.421,35.48,34.853,34.926,1197409
2006-04-12,35.331,35.353,34.91,35.05,1429439
2006-04-13,35.144,35.353,35.109,35.225,1212254
2006-04-17,35.298,35.495,35.243,35.286,1153171
2006-04-18,35.513,35.593,35.306,35.588,1928826
2006-04-19,35.534,35.904,35.534,35.877,1439090
2006-04-20,35.675,35.997,35.668,35.796,1463433
2006-04-21,35.811,35.984,35.66,35.707,1276832
2006-04-24,35.498,35.655,35.368,35.634,1341851
2006-04-25,35.958,35.981,35.668,35.682,1318100
2006-04-26,35.897,36.086,35.548,35.75,1690119
2006-04-27,37.179,37.576,36.974,37.352,5604186
2006-04-28,37.992,38.462,37.987,38.315,5458405
2006-05-01,38.091,38.417,38.078,38.128,2159670
2006-05-02,38.296,38.546,38.296,38.424,1794038
2006-05-03,38.153,38.49,38.147,38.327,1718771
2006-05-04,38.276,38.444,38.222,38.382,1885626
2006-05-05,38.68,38.741,38.424,38.658,1323591
2006-05-08,38.296,38.584,38.296,38.462,1326117
2006-05-09,39.069,39.23,38.928,38.989,1715207
2006-05-10,38.801,38.875,38.444,38.51,2088411
2006-05-11,38.504,38.686,38.357,38.389,1670226
2006-05-12,38.768,39.022,38.327,38.395,1795073
2006-05-15,38.303,38.733,38.21,38.449,1449181
2006-05-16,39.069,39.34,38.933,39.327,2843288
2006-05-17,38.826,39.212,38.21,38.377,2978381
2006-05-18,38.485,38.532,38.128,38.135,1241054
2006-05-19,37.857,38.122,37.59,38.018,1443091
2006-05-22,37.83,38.011,37.292,37.627,2304854
2006-05-23,37.452,37.803,37.312,37.635,2122406
2006-05-24,37.205,37.339,36.599,37.056,3093278
2006-05-25,37.359,37.508,37.083,37.501,1697394
2006-05-26,37.266,37.658,37.192,37.501,1617080
2006-05-30,37.385,37.671,36.988,37.069,1287519
2006-05-31,37.452,37.459,37.047,37.253,1598669
2006-06-01,36.906,37.725,36.894,37.71,1232743
2006-06-02,37.515,37.825,37.48,37.718,2409811
2006-06-05,37.718,37.96,37.52,37.59,2991888
2006-06-06,37.671,37.686,37.205,37.378,1402862
2006-06-07,37.906,38.165,37.68,37.725,3423433
2006-06-08,37.157,37.414,36.711,37.32,2597454
2006-06-09,37.029,37.222,36.793,36.814,1876575
2006-06-12,36.748,36.854,36.397,36.414,1352245
2006-06-13,36.39,36.725,36.267,36.611,1475014
2006-06-14,36.748,36.88,36.457,36.639,2011664
2006-06-15,36.537,36.773,36.22,36.773,3323382
2006-06-16,36.206,36.465,36.071,36.267,1571358
2006-06-19,36.39,36.469,36.099,36.403,1632814
2006-06-20,36.68,36.902,36.537,36.706,1082656
2006-06-21,37.029,37.157,36.887,36.988,2313466
2006-06-22,36.684,36.902,36.532,36.646,1127338
2006-06-23,36.227,36.611,36.187,36.465,868889
2006-06-26,36.187,36.403,36.009,36.362,1347938
2006-06-27,36.187,36.29,35.722,35.85,1071376
2006-06-28,35.973,36.152,35.87,36.108,775361
