Date,Open,High,Low,Close,Volume
1993-03-22,2.3217,2.3588,2.2101,2.2101,1883962
1993-03-23,2.2474,2.3588,2.1637,2.3588,2154023
1993-03-24,2.3217,2.3588,2.2474,2.3033,1086704
1993-03-25,2.3033,2.3033,2.2101,2.2101,1115130
1993-03-26,2.2474,2.2474,2.2101,2.2101,1427833
1993-03-29,2.2474,2.2845,2.1637,2.2008,558210
1993-03-30,2.2474,2.2474,2.1637,2.2101,699054
1993-03-31,2.2101,2.2101,2.1452,2.1452,1793509
1993-04-01,2.1452,2.2101,2.1268,2.1452,341127
1993-04-02,2.1452,2.1452,1.9966,2.0524,1960196
1993-04-05,2.071,2.1268,1.9966,2.0896,1562214
1993-04-06,2.1637,2.1637,2.0896,2.0896,1168109
1993-04-07,2.0524,2.1079,2.0153,2.0153,1310244
1993-04-08,1.9966,2.071,1.9501,1.969,1066029
1993-04-12,1.9318,1.969,1.913,1.9501,1327044
1993-04-13,1.9318,1.969,1.876,1.8946,2159191
1993-04-14,1.9318,1.969,1.8946,1.969,3254938
1993-04-15,1.969,1.969,1.913,1.913,444499
1993-04-16,1.913,1.969,1.913,1.913,202871
1993-04-19,1.9501,1.9501,1.8946,1.8946,677090
1993-04-20,1.8946,1.9318,1.8946,1.8946,231295
1993-04-21,1.9318,1.9318,1.8577,1.876,633157
1993-04-22,1.913,1.969,1.876,1.969,412198
1993-04-23,1.9966,1.9966,1.913,1.9966,127922
1993-04-26,1.9966,1.9966,1.913,1.913,201576
1993-04-27,1.9501,2.1268,1.8946,2.1268,1120297
1993-04-28,2.1268,2.1268,2.071,2.1079,374726
1993-04-29,2.071,2.071,2.0339,2.071,343713
1993-04-30,2.0524,2.1826,2.0524,2.1268,1285690
1993-05-03,2.1268,2.2474,2.1268,2.2474,537537
1993-05-04,2.2474,2.2474,2.1826,2.2474,261015
1993-05-05,2.1826,2.433,2.1826,2.3588,1308951
1993-05-06,2.3588,2.3958,2.266,2.3033,644787
1993-05-07,2.3033,2.3958,2.3033,2.3404,509110
1993-05-10,2.3404,2.4608,2.3404,2.3958,376019
1993-05-11,2.433,2.433,2.3776,2.3776,421243
1993-05-12,2.3776,2.4147,2.3776,2.3776,156351
1993-05-13,2.4147,2.4147,2.3588,2.3958,326912
1993-05-14,2.3958,2.4147,2.3588,2.3776,219667
1993-05-17,2.4147,2.433,2.3776,2.3958,153764
1993-05-18,2.433,2.433,2.3958,2.3958,864450
1993-05-19,2.433,2.4981,2.433,2.4796,1413619
1993-05-20,2.4608,2.5166,2.4608,2.5166,285567
1993-05-21,2.4608,2.4981,2.4608,2.4608,240338
1993-05-24,2.4796,2.4796,2.4608,2.4608,239050
1993-05-25,2.4796,2.4796,2.3958,2.433,400570
1993-05-26,2.3776,2.3958,2.3217,2.3495,909676
1993-05-27,2.3776,2.3776,2.3033,2.3033,215790
1993-05-28,2.3033,2.3217,2.2101,2.2474,728774
1993-06-01,2.2474,2.2474,2.2101,2.2101,102080
1993-06-02,2.2289,2.2474,2.2101,2.2474,487142
1993-06-03,2.2289,2.2474,2.2101,2.2474,722314
1993-06-04,2.2101,2.266,2.2101,2.2101,941980
1993-06-07,2.1826,2.2474,2.0896,2.1826,1231425
1993-06-08,2.1268,2.1637,2.0339,2.0896,1299905
1993-06-09,2.0339,2.0896,1.9966,2.0339,528492
1993-06-10,2.0339,2.1268,2.0339,2.071,631865
1993-06-11,2.1268,2.3958,2.1174,2.3588,2271608
1993-06-14,2.3776,2.433,2.3404,2.3776,1022092
1993-06-15,2.4147,2.4147,2.3404,2.3588,797260
1993-06-16,2.3404,2.3776,2.3404,2.3776,324329
1993-06-17,2.3588,2.3776,2.3404,2.3404,78822
1993-06-18,2.3776,2.3776,2.3404,2.3404,72360
1993-06-21,2.3776,2.4981,2.3404,2.4981,714559
1993-06-22,2.4981,2.4981,2.433,2.433,69775
1993-06-23,2.4147,2.4608,2.4147,2.4608,116296
1993-06-24,2.4796,2.6096,2.4147,2.5912,1363224
1993-06-25,2.5724,2.6468,2.5354,2.5354,1073779
1993-06-28,2.5354,2.5724,2.5354,2.5539,332083
1993-06-29,2.5354,2.5539,2.433,2.4796,285567
1993-06-30,2.433,2.5166,2.433,2.5166,107249
1993-07-01,2.4608,2.5166,2.4147,2.4147,418659
1993-07-02,2.4608,2.4796,2.4147,2.4796,311410
1993-07-06,2.433,2.4796,2.433,2.433,158936
1993-07-07,2.4796,2.4796,2.433,2.433,387648
1993-07-08,2.433,2.4981,2.3958,2.4796,985913
1993-07-09,2.5166,2.5166,2.4796,2.4796,54272
1993-07-12,2.5166,2.5166,2.4796,2.4796,1130634
1993-07-13,2.4796,2.5166,2.4796,2.5166,83990
1993-07-14,2.5166,2.5166,2.4608,2.4608,817932
1993-07-15,2.4608,2.5166,2.4608,2.5166,1066029
1993-07-16,2.4981,2.4981,2.4981,2.4981,439335
1993-07-19,2.433,2.5166,2.433,2.4608,746867
1993-07-20,2.433,2.4796,2.433,2.433,174440
1993-07-21,2.433,2.4608,2.3217,2.3404,549164
1993-07-22,2.3588,2.3588,2.1826,2.2474,798550
1993-07-23,2.2474,2.3033,2.2474,2.2474,347590
1993-07-26,2.2845,2.3033,2.2289,2.266,453548
1993-07-27,2.3033,2.3033,2.2289,2.266,589222
1993-07-28,2.1826,2.266,2.1826,2.1826,295902
1993-07-29,2.1826,2.266,2.1826,2.2289,595680
1993-07-30,2.266,2.2845,2.2289,2.2289,1805138
1993-08-02,2.266,2.266,2.2289,2.266,98203
1993-08-03,2.2289,2.266,2.2289,2.2289,361801
1993-08-04,2.2289,2.266,2.2289,2.2474,40056
1993-08-05,2.266,2.3404,2.2289,2.3404,1025969
1993-08-06,2.3404,2.3588,2.3033,2.3404,271353
1993-08-09,2.3958,2.4147,2.3588,2.4147,355342
1993-08-10,2.4147,2.4796,2.3588,2.4796,370849
1993-08-11,2.4796,2.4981,2.4608,2.4981,418659
1993-08-12,2.4608,2.4981,2.4608,2.4796,174440
1993-08-13,2.4981,2.5076,2.4608,2.5076,770123
1993-08-16,2.5166,2.5166,2.4796,2.4796,591807
1993-08-17,2.5166,2.5166,2.4796,2.4796,673210
1993-08-18,2.4981,2.5166,2.4796,2.5166,500065
1993-08-19,2.5076,2.5166,2.4796,2.4796,600850
1993-08-20,2.5166,2.5166,2.4796,2.4981,345002
1993-08-23,2.4796,2.5166,2.4796,2.5166,965239
1993-08-24,2.4796,2.5166,2.3958,2.4147,326912
1993-08-25,2.3958,2.4796,2.3958,2.4796,289442
1993-08-26,2.4796,2.4796,2.4147,2.4147,112417
1993-08-27,2.4796,2.4796,2.4147,2.433,173147
1993-08-30,2.4147,2.4796,2.4147,2.433,40056
1993-08-31,2.4147,2.4796,2.4147,2.4147,102080
1993-09-01,2.4147,2.4981,2.4147,2.4981,883833
1993-09-02,2.5354,2.5912,2.4608,2.4796,3294992
1993-09-03,2.4981,2.4981,2.4608,2.4796,850240
1993-09-07,2.4981,2.5539,2.4608,2.5539,1681092
1993-09-08,2.5539,2.5912,2.5354,2.5912,868325
1993-09-09,2.5912,2.7301,2.5724,2.7118,1094455
1993-09-10,2.7489,2.8418,2.7489,2.8235,790796
1993-09-13,2.7862,2.9441,2.7862,2.8972,2217337
1993-09-14,2.9253,2.9253,2.8418,2.9253,936811
1993-09-15,2.8791,2.9253,2.8791,2.9253,1072488
1993-09-16,2.9253,2.9253,2.8791,2.9253,146016
1993-09-17,2.8791,2.9441,2.8791,2.9068,401861
1993-09-20,2.8791,2.9253,2.7301,2.7489,1064736
1993-09-21,2.7862,2.7862,2.6281,2.6745,520738
1993-09-22,2.6745,2.6745,2.6096,2.6096,391521
1993-09-23,2.5724,2.6281,2.5354,2.5724,596974
1993-09-24,2.5539,2.5724,2.4147,2.4608,1051814
1993-09-27,2.4796,2.5354,2.4608,2.5076,895463
1993-09-28,2.5539,2.7118,2.5166,2.6932,1891713
1993-09-29,2.6932,2.7862,2.6745,2.7489,1293447
1993-09-30,2.7673,2.7673,2.7118,2.7301,944563
1993-10-01,2.7673,2.7673,2.6468,2.6745,334669
1993-10-04,2.7118,2.7118,2.6468,2.6468,242926
1993-10-05,2.6468,2.6745,2.5539,2.5539,538828
1993-10-06,2.5912,2.5912,2.5539,2.5724,382478
1993-10-07,2.6096,2.6745,2.5912,2.6281,1085407
1993-10-08,2.6281,2.6281,2.5539,2.5631,798550
1993-10-11,2.6096,2.6096,2.5539,2.5912,198993
1993-10-12,2.6096,2.6096,2.5539,2.6096,771415
1993-10-13,2.5539,2.6932,2.5539,2.6281,742990
1993-10-14,2.6932,2.7862,2.6281,2.7118,833437
1993-10-15,2.7118,2.7489,2.7118,2.7489,246802
1993-10-18,2.7489,2.7862,2.7301,2.7862,669336
1993-10-19,2.7862,2.7862,2.7301,2.7301,378599
1993-10-20,2.7862,2.7862,2.6932,2.6932,370849
1993-10-21,2.6745,2.7301,2.6745,2.7118,957486
1993-10-22,2.6745,2.7301,2.6281,2.6745,522030
1993-10-25,2.6281,2.6932,2.6281,2.6468,42641
1993-10-26,2.6468,2.6468,2.5724,2.6096,408321
1993-10-27,2.5724,2.6096,2.5724,2.5912,91743
1993-10-28,2.5724,2.5912,2.5354,2.5817,702932
1993-10-29,2.5912,2.6281,2.5724,2.6281,553040
