Date,Open,High,Low,Close,Volume
2005-02-25,42.361,42.731,42.287,42.591,35847
2005-02-28,42.85,42.946,42.332,42.6,46723
2005-03-01,42.821,43.118,42.712,43.118,76108
2005-03-02,42.749,43.233,42.564,42.917,22931
2005-03-03,42.936,42.936,42.322,42.638,140591
2005-03-04,42.83,43.066,42.658,42.721,43169
2005-03-07,42.731,43.596,42.731,43.242,50271
2005-03-08,43.326,43.529,42.898,42.946,42197
2005-03-09,42.946,43.175,42.759,42.859,49197
2005-03-10,42.869,43.02,42.433,42.85,28632
2005-03-11,43.103,43.103,42.258,42.371,36924
2005-03-14,42.527,42.574,42.287,42.48,35199
2005-03-15,42.546,42.619,42.043,42.043,26051
2005-03-16,41.867,42.267,41.569,41.7,95270
2005-03-17,41.635,41.857,41.533,41.616,42523
2005-03-18,41.635,41.663,41.227,41.291,50811
2005-03-21,41.523,41.644,41.133,41.468,50378
2005-03-22,41.569,41.728,41.049,41.106,37032
2005-03-23,41.077,41.487,41.059,41.208,28530
2005-03-24,41.411,41.663,41.374,41.431,54903
2005-03-28,41.523,41.71,41.355,41.355,221116
2005-03-29,41.217,41.541,40.918,41.198,170732
2005-03-30,41.265,41.773,41.188,41.681,33370
2005-03-31,41.764,41.792,41.533,41.616,28530
2005-04-01,41.989,42.017,41.227,41.309,50166
2005-04-04,41.318,41.504,40.982,41.478,51780
2005-04-05,41.478,41.635,41.3,41.374,30142
2005-04-06,41.523,41.773,41.291,41.3,29173
2005-04-07,41.382,41.98,41.382,41.98,24006
2005-04-08,41.848,42.026,41.533,41.533,49090
2005-04-11,41.616,41.663,41.283,41.309,30142
2005-04-12,41.3,41.588,40.79,41.588,42953
2005-04-13,41.382,41.392,40.763,40.874,56840
2005-04-14,40.818,40.901,40.213,40.269,113032
2005-04-15,39.369,39.582,38.802,38.996,200663
2005-04-18,39.006,39.229,38.802,39.015,73633
2005-04-19,39.497,39.638,39.191,39.468,50166
2005-04-20,39.833,39.971,39.144,39.229,121757
2005-04-21,39.618,40.444,39.573,40.25,273649
2005-04-22,40.14,40.184,39.554,39.89,146837
2005-04-25,40.072,40.401,39.971,40.194,276230
2005-04-26,40.027,40.519,39.749,39.749,114647
2005-04-27,39.526,40.036,39.468,39.88,74280
2005-04-28,39.749,39.89,39.369,39.369,32727
2005-04-29,39.797,39.908,39.293,39.853,27342
2005-05-02,40.036,40.14,39.72,40.018,82137
2005-05-03,39.934,40.392,39.862,40.082,22931
2005-05-04,40.176,40.744,40.149,40.574,56408
2005-05-05,40.708,40.828,40.392,40.519,30142
2005-05-06,40.874,40.901,40.641,40.724,76321
2005-05-09,40.67,40.947,40.554,40.947,38537
2005-05-10,40.716,40.724,40.269,40.418,56840
2005-05-11,40.66,40.781,40.14,40.781,65776
2005-05-12,40.688,41.067,40.574,40.799,89996
2005-05-13,40.901,41.55,40.891,41.275,113032
2005-05-16,41.337,41.792,41.291,41.728,41770
2005-05-17,41.569,41.98,41.402,41.913,72125
2005-05-18,41.812,42.731,41.812,42.574,157816
2005-05-19,42.696,42.936,42.638,42.917,67279
2005-05-20,42.869,43.066,42.705,43.047,51565
2005-05-23,43.103,43.354,43.003,43.195,72557
2005-05-24,43.128,43.491,42.965,43.392,75032
2005-05-25,43.288,43.307,42.965,43.307,50917
2005-05-26,43.427,43.865,43.427,43.715,59101
2005-05-27,43.715,43.763,43.482,43.724,142312
2005-05-31,43.753,43.771,43.427,43.482,159644
