Date,Open,High,Low,Close,Volume
2015-07-06,64.274,67.252,64.274,66.049,4208333
2015-07-07,66.746,67.63,66.049,67.561,6401148
2015-07-08,67.261,68.348,67.029,68.259,4724969
2015-07-09,69.226,69.77,67.444,67.715,4713482
2015-07-10,67.94,70.43,67.896,69.987,5504293
2015-07-13,71.979,72.151,70.53,71.364,10028883
2015-07-14,71.924,71.97,70.294,70.611,20707644
2015-07-15,70.294,70.764,69.163,69.443,6992897
2015-07-16,69.68,71.374,69.66,71.291,6223523
2015-07-17,71.904,72.141,69.941,72.087,6739166
2015-07-20,72.378,73.506,71.635,72.522,11360630
2015-07-21,72.393,73.036,71.877,72.623,6763912
2015-07-22,73.174,73.236,71.137,71.191,5745434
2015-07-23,71.492,71.628,69.869,69.961,3263969
2015-07-24,70.126,70.59,69.241,69.658,3417973
2015-07-27,69.861,71.092,69.549,70.544,6333891
2015-07-28,71.511,71.702,70.652,71.401,2079632
2015-07-29,71.345,71.384,70.196,71.024,2499311
2015-07-30,71.3,72.649,70.744,72.213,3561559
2015-07-31,72.879,72.879,71.89,72.449,2945754
2015-08-03,72.931,73.871,72.851,73.269,2941696
2015-08-04,73.452,73.844,72.63,72.759,2665053
2015-08-05,72.94,73.844,72.795,73.368,4743808
2015-08-06,73.889,74.017,72.487,72.714,4068048
2015-08-07,72.148,72.368,70.461,71.528,3591394
2015-08-10,72.412,72.75,71.628,71.849,3567373
2015-08-11,70.77,73.368,70.262,71.082,4265965
2015-08-12,70.954,71.393,69.369,69.914,4046284
2015-08-13,70.205,70.262,69.105,69.277,3200128
2015-08-14,69.349,69.961,68.483,69.668,2822680
2015-08-17,69.159,69.658,68.84,69.105,2479348
2015-08-18,69.03,69.241,68.428,68.546,2204353
2015-08-19,68.374,68.639,67.388,68.173,3319689
2015-08-20,67.481,68.156,67.261,67.69,2420771
2015-08-21,66.832,67.69,65.876,65.886,6103761
2015-08-24,62.349,65.859,55.992,64.607,10798633
2015-08-25,65.539,66.004,63.817,64.007,4851966
2015-08-26,65.382,67.563,63.387,67.378,5875384
2015-08-27,66.705,68.601,66.66,68.54,6513124
2015-08-28,67.826,68.546,67.299,68.091,2358467
2015-08-31,67.653,67.856,66.159,66.24,2948935
2015-09-01,64.937,66.131,63.487,63.924,5124107
2015-09-02,64.583,65.702,64.098,65.702,3275814
2015-09-03,66.149,67.362,65.449,65.785,2846702
2015-09-04,64.856,65.355,63.934,64.334,3287441
2015-09-08,65.501,67.761,64.554,67.524,4881909
2015-09-09,67.874,67.917,65.621,65.794,3220968
2015-09-10,65.758,66.597,65.44,65.785,3970449
2015-09-11,65.868,67.397,65.274,67.242,2354736
2015-09-14,67.007,68.11,66.149,67.964,3211096
2015-09-15,68.318,68.847,67.234,68.73,3722146
2015-09-16,68.556,69.931,67.738,69.622,2525964
2015-09-17,69.814,70.888,69.287,69.678,3447150
2015-09-18,68.875,69.741,68.384,68.774,7932531
2015-09-21,69.002,69.458,68.336,68.556,3571869
2015-09-22,67.601,68.256,67.153,67.744,2883449
2015-09-23,67.616,68.01,66.787,66.832,4072938
2015-09-24,66.551,66.679,65.363,66.478,4844079
2015-09-25,67.28,67.327,66.351,66.869,3857835
2015-09-28,66.376,66.797,63.807,63.807,5491774
2015-09-29,63.963,64.709,62.585,63.087,4246030
2015-09-30,63.514,64.545,63.323,64.343,3436293
2015-10-01,64.973,65.611,63.606,64.573,2763775
2015-10-02,63.987,65.146,63.241,65.101,2844398
2015-10-05,65.638,66.78,65.046,65.859,6936266
2015-10-06,65.904,66.597,65.539,66.068,3092959
2015-10-07,66.314,67.224,66.077,66.688,2550538
2015-10-08,66.695,67.891,66.314,67.856,2456751
2015-10-09,67.836,68.573,67.455,67.817,3222613
2015-10-12,67.836,67.836,66.832,67.207,2283644
2015-10-13,67.189,67.397,66.714,66.898,2355616
2015-10-14,66.66,67.738,66.551,67.252,2146435
2015-10-15,67.69,68.573,67.388,68.573,2342561
2015-10-16,68.993,71.11,68.256,70.553,3768107
2015-10-19,70.097,70.379,69.549,70.015,2141060
2015-10-20,69.468,70.343,69.386,70.078,1712366
2015-10-21,70.196,70.873,69.861,70.245,2601543
2015-10-22,70.398,72.879,70.398,72.879,4334663
2015-10-23,72.157,72.831,70.59,71.092,3487078
2015-10-26,71.273,71.273,69.723,70.024,2812258
2015-10-27,69.477,70.635,69.477,70.353,2671196
2015-10-28,70.334,72.203,69.597,72.184,2612844
2015-10-29,71.874,72.019,70.974,71.702,1961823
2015-10-30,71.445,72.01,70.984,71.082,2251956
2015-11-02,71.501,71.958,70.855,71.355,1685436
2015-11-03,70.954,71.11,69.176,69.678,4924909
2015-11-04,69.578,69.894,68.593,69.12,2886283
2015-11-05,69.468,69.741,68.147,68.755,3671579
