Date,Open,High,Low,Close,Volume
1994-11-15,14.127,14.127,14.022,14.022,60543
1994-11-16,14.07,14.127,14.022,14.022,396159
1994-11-17,14.07,14.07,13.909,13.967,318322
1994-11-18,13.967,14.022,13.863,13.967,286679
1994-11-21,14.022,14.07,14.022,14.07,140703
1994-11-22,14.127,14.127,13.747,13.747,342687
1994-11-23,13.642,13.642,13.368,13.586,419999
1994-11-25,13.586,13.698,13.586,13.698,33118
1994-11-28,13.698,13.698,13.586,13.586,69299
1994-11-29,13.586,13.642,13.207,13.321,225293
1994-11-30,13.368,13.541,13.321,13.541,1010021
1994-12-01,13.484,13.909,13.484,13.804,397006
1994-12-02,13.804,13.967,13.747,13.967,230461
1994-12-05,14.022,14.022,13.698,13.698,335408
1994-12-06,13.698,13.698,13.586,13.642,205676
1994-12-07,13.642,13.642,13.484,13.541,137222
1994-12-08,13.484,13.586,13.16,13.207,288156
1994-12-09,13.16,13.321,13.102,13.321,147138
1994-12-12,13.321,13.321,13.102,13.265,174879
1994-12-13,13.321,13.595,13.321,13.541,507435
1994-12-14,13.642,13.919,13.642,13.804,343426
1994-12-15,13.804,13.804,13.595,13.698,170973
1994-12-16,13.756,13.919,13.642,13.863,284042
1994-12-19,13.919,13.919,13.756,13.804,181835
1994-12-20,13.804,13.863,13.756,13.804,270754
1994-12-21,13.863,14.08,13.863,13.975,243013
1994-12-22,14.136,14.193,13.975,14.022,292796
1994-12-23,14.193,14.193,14.08,14.136,45670
1994-12-27,14.136,14.193,14.08,14.193,62757
1994-12-28,14.136,14.193,14.08,14.136,147981
1994-12-29,14.136,14.296,14.136,14.241,113387
1994-12-30,14.241,14.355,14.193,14.193,158422
1995-01-03,14.241,14.457,14.241,14.355,229935
1995-01-04,14.411,14.457,14.193,14.296,199661
1995-01-05,14.296,14.411,14.241,14.355,94927
1995-01-06,14.355,14.457,14.241,14.355,225610
1995-01-09,14.355,14.355,14.193,14.296,138911
1995-01-10,14.241,14.241,14.136,14.136,198293
1995-01-11,14.193,14.193,13.863,13.919,152832
1995-01-12,14.022,14.08,13.919,14.08,136379
1995-01-13,14.08,14.296,14.08,14.296,105791
1995-01-16,14.136,14.411,14.136,14.296,210738
1995-01-17,14.296,14.355,14.241,14.241,56745
1995-01-18,14.411,14.791,14.355,14.791,576416
1995-01-19,14.791,15.055,14.791,14.895,471259
1995-01-20,14.953,15.007,14.791,14.791,115282
1995-01-23,14.791,14.953,14.675,14.953,470414
1995-01-24,14.953,15.17,14.675,14.953,1509649
1995-01-25,14.839,15.33,14.791,15.226,629894
1995-01-26,15.226,15.492,15.226,15.388,263794
1995-01-27,15.492,15.549,15.388,15.549,135851
1995-01-30,15.444,15.549,15.388,15.549,147240
1995-01-31,15.549,16.041,15.549,16.041,747285
1995-02-01,16.089,16.145,15.871,15.984,495201
1995-02-02,15.871,16.089,15.871,16.041,1423797
1995-02-03,16.041,16.145,16.041,16.089,187848
1995-02-06,15.984,16.089,15.984,16.041,153888
1995-02-07,16.041,16.089,15.984,16.041,50202
1995-02-08,16.041,16.145,16.041,16.145,169707
1995-02-09,16.145,16.262,15.984,16.041,154941
1995-02-10,16.041,16.262,16.041,16.262,224132
1995-02-13,16.262,16.365,16.204,16.365,168232
1995-02-14,16.365,16.421,16.365,16.421,307350
1995-02-15,16.468,16.637,16.468,16.581,336992
1995-02-16,16.637,16.637,16.581,16.637,219069
1995-02-17,16.581,16.581,16.308,16.308,261684
1995-02-21,16.262,16.262,16.145,16.145,177408
1995-02-22,16.204,16.262,16.204,16.262,178882
1995-02-23,16.145,16.308,16.145,16.262,292584
1995-02-24,16.262,16.262,16.204,16.204,83220
1995-02-27,16.145,16.145,15.984,15.984,117288
1995-02-28,15.984,16.041,15.871,16.041,688008
1995-03-01,16.041,16.468,16.041,16.421,2037973
1995-03-02,16.421,16.421,16.204,16.365,129733
1995-03-03,16.365,16.421,16.308,16.365,240483
1995-03-06,16.262,16.262,15.984,16.204,178989
1995-03-07,16.089,16.089,15.871,15.984,218330
1995-03-08,15.927,16.041,15.871,15.927,56533
1995-03-09,15.927,16.041,15.825,15.871,99987
1995-03-10,15.871,15.984,15.825,15.825,67608
1995-03-13,15.825,15.927,15.825,15.927,83220
