Date,Open,High,Low,Close,Volume
2005-02-25,9.1654,9.3517,9.1207,9.3205,1206518
2005-02-28,9.3166,9.3793,9.2326,9.3166,1742469
2005-03-01,9.3731,9.505,9.3517,9.4454,2223376
2005-03-02,9.4583,9.4987,9.4109,9.4879,3607905
2005-03-03,9.507,9.582,9.4691,9.4691,2535067
2005-03-04,9.524,9.712,9.52,9.712,1420703
2005-03-07,9.775,9.856,9.752,9.815,2015163
2005-03-08,9.84,9.865,9.701,9.837,1936843
2005-03-09,9.837,9.837,9.633,9.633,1972698
2005-03-10,9.657,9.758,9.633,9.758,2503926
2005-03-11,9.758,9.84,9.704,9.726,1540542
2005-03-14,9.729,9.805,9.729,9.805,2364594
2005-03-15,9.805,9.808,9.697,9.701,1792163
2005-03-16,9.778,9.793,9.607,9.616,1350256
2005-03-17,9.616,9.77,9.616,9.691,1933695
2005-03-18,9.691,9.752,9.668,9.709,1966720
2005-03-21,9.709,9.709,9.65,9.697,1190791
2005-03-22,9.697,9.758,9.597,9.613,2029935
2005-03-23,9.553,9.597,9.4948,9.524,1478581
2005-03-24,9.601,9.695,9.587,9.619,1571993
2005-03-28,9.682,9.733,9.672,9.685,2258911
2005-03-29,9.742,9.837,9.604,9.604,2285024
2005-03-30,9.587,9.712,9.572,9.657,2298229
2005-03-31,9.657,9.808,9.657,9.799,2491347
2005-04-01,9.856,9.927,9.847,9.871,2186259
2005-04-04,9.861,9.911,9.837,9.897,1490848
2005-04-05,9.897,10.014,9.897,9.963,1333587
2005-04-06,9.983,10.079,9.952,9.967,1270995
2005-04-07,9.921,9.987,9.861,9.927,1651567
2005-04-08,9.871,9.874,9.735,9.739,2255136
2005-04-11,9.715,9.824,9.65,9.795,2398877
2005-04-12,9.795,9.856,9.616,9.824,3869280
2005-04-13,9.768,9.768,9.529,9.553,2502356
2005-04-14,9.537,9.537,9.3633,9.3872,2405800
2005-04-15,9.3322,9.3764,9.0999,9.1197,2550791
2005-04-18,9.061,9.1904,8.9326,9.1577,1821093
2005-04-19,9.15,9.3517,9.15,9.3322,2162668
2005-04-20,9.3793,9.3892,9.174,9.176,3404096
2005-04-21,9.2202,9.3793,9.1933,9.3011,1492734
2005-04-22,9.3011,9.4711,9.2864,9.4583,1710384
2005-04-25,9.4622,9.574,9.4622,9.543,1246778
2005-04-26,9.546,9.55,9.3764,9.3951,975025
2005-04-27,9.4109,9.4553,9.2933,9.2971,1544637
2005-04-28,9.224,9.2374,9.0818,9.1236,12600788
2005-04-29,9.1236,9.176,8.8967,9.176,2400133
2005-05-02,9.2038,9.3833,9.1654,9.3833,2322136
2005-05-03,9.3833,9.405,9.2601,9.2933,1633323
2005-05-04,9.3469,9.3633,9.2538,9.3293,1861668
2005-05-05,9.3793,9.553,9.3469,9.4524,2602376
2005-05-06,9.4524,9.574,9.4336,9.513,1949733
2005-05-09,9.585,9.585,9.3322,9.3892,2236271
2005-05-10,9.3912,9.719,9.2737,9.54,3229219
2005-05-11,9.601,9.613,9.505,9.574,4022143
2005-05-12,9.61,9.623,9.4908,9.53,2060140
2005-05-13,9.553,9.572,9.1615,9.2538,3316663
2005-05-16,9.2538,9.4089,9.2067,9.3981,2605205
2005-05-17,9.3663,9.601,9.3663,9.574,1605024
2005-05-18,9.616,9.674,9.537,9.623,1337987
2005-05-19,9.616,9.623,9.564,9.572,8588403
2005-05-20,9.578,9.578,9.507,9.537,1723274
2005-05-23,9.537,9.627,9.509,9.607,1817321
2005-05-24,9.666,9.666,9.591,9.607,986353
2005-05-25,9.616,9.627,9.55,9.572,891358
2005-05-26,9.572,9.616,9.564,9.568,990437
2005-05-27,9.557,9.695,9.53,9.672,1002072
2005-05-31,9.691,9.818,9.657,9.808,2206395
2005-06-01,9.808,9.882,9.742,9.772,2309868
2005-06-02,9.781,9.808,9.766,9.77,1694970
2005-06-03,9.789,9.85,9.726,9.726,3154053
2005-06-06,9.762,9.931,9.746,9.918,1787440
2005-06-07,9.941,10.057,9.882,9.889,976282
2005-06-08,9.952,10.008,9.847,9.889,984148
2005-06-09,9.921,9.995,9.85,9.995,678747
2005-06-10,10.057,10.093,9.927,10.077,2265521
2005-06-13,10.077,10.194,10.017,10.143,1418508
2005-06-14,10.165,10.192,10.086,10.113,746363
2005-06-15,10.121,10.157,10.061,10.147,980056
2005-06-16,10.141,10.171,10.103,10.117,825314
2005-06-17,10.071,10.171,9.959,10.151,2419633
2005-06-20,10.103,10.187,10.043,10.171,865882
2005-06-21,10.197,10.23,10.047,10.05,1035736
2005-06-22,10.079,10.134,10.079,10.11,1031327
2005-06-23,10.113,10.226,10.093,10.194,1109639
2005-06-24,10.197,10.245,10.039,10.079,1263761
2005-06-27,10.027,10.349,10.027,10.283,1508772
2005-06-28,10.327,10.371,10.245,10.338,1075676
2005-06-29,10.361,10.361,10.184,10.197,1215636
2005-06-30,10.245,10.405,10.235,10.381,1791526
2005-07-01,10.398,10.536,10.398,10.533,864315
2005-07-05,10.513,10.603,10.447,10.508,877205
2005-07-06,10.508,10.529,10.275,10.289,1230733
2005-07-07,10.209,10.436,10.189,10.409,1727682
2005-07-08,10.447,10.587,10.422,10.572,1758190
2005-07-11,10.597,10.73,10.56,10.726,1685540
2005-07-12,10.718,10.806,10.651,10.651,2431269
2005-07-13,10.693,10.836,10.678,10.831,8007795
2005-07-14,10.886,10.912,10.587,10.605,2599543
