Date,Open,High,Low,Close,Volume
2005-06-23,14.483,14.483,14.387,14.387,1664
2005-06-24,14.32,14.32,14.31,14.32,1146
2005-06-27,14.222,14.222,14.222,14.222,1146
2005-06-28,14.338,14.338,14.338,14.338,313
2005-06-29,14.338,14.358,14.338,14.358,1042
2005-06-30,14.377,14.377,14.3,14.3,5933
2005-07-05,14.241,14.329,14.241,14.32,22165
2005-07-06,14.29,14.29,14.29,14.29,313
2005-07-07,14.079,14.079,14.079,14.079,203
2005-07-08,14.126,14.3,14.107,14.3,22268
2005-07-11,14.32,14.358,14.32,14.358,833
2005-07-13,14.28,14.31,14.28,14.31,416
2005-07-14,14.338,14.338,14.338,14.338,1248
2005-07-15,14.31,14.31,14.28,14.28,938
2005-07-18,14.329,14.329,14.271,14.271,938
2005-07-19,14.271,14.329,14.271,14.32,3330
2005-07-20,14.271,14.396,14.241,14.396,9261
2005-07-21,14.377,14.377,14.222,14.231,5722
2005-07-22,14.338,14.406,14.31,14.406,2395
2005-07-25,14.367,14.367,14.31,14.31,1353
2005-07-26,14.367,14.367,14.367,14.367,313
2005-07-27,14.31,14.329,14.251,14.329,1146
2005-07-28,14.367,14.396,14.367,14.396,2187
2005-07-29,14.396,14.396,14.329,14.329,2807
2005-08-01,14.329,14.348,14.31,14.338,3850
2005-08-02,14.338,14.348,14.329,14.338,14565
2005-08-03,14.3,14.3,14.3,14.3,203
2005-08-04,14.32,14.348,14.29,14.32,1454
2005-08-05,14.251,14.251,14.251,14.251,1042
2005-08-08,14.213,14.213,14.213,14.213,203
2005-08-09,14.231,14.261,14.231,14.241,4368
2005-08-10,14.329,14.329,14.251,14.251,2290
2005-08-11,14.271,14.377,14.271,14.377,20500
2005-08-12,14.271,14.3,14.271,14.28,1454
2005-08-15,14.523,14.523,14.523,14.523,730
2005-08-16,14.396,14.406,14.367,14.367,14881
2005-08-17,14.358,14.406,14.338,14.387,31427
2005-08-18,14.32,14.367,14.32,14.329,15086
2005-08-19,14.329,14.367,14.329,14.358,2913
2005-08-22,14.32,14.32,14.31,14.31,1042
2005-08-23,14.377,14.377,14.29,14.338,22372
2005-08-24,14.367,14.367,14.32,14.32,416
2005-08-25,14.241,14.28,14.241,14.261,621
2005-08-26,14.222,14.231,14.173,14.213,6763
2005-08-29,14.126,14.271,14.126,14.271,6347
2005-08-31,14.213,14.213,14.213,14.213,416
2005-09-01,14.28,14.3,14.271,14.271,12801
2005-09-02,14.231,14.271,14.231,14.271,518
2005-09-06,14.338,14.387,14.338,14.387,10095
2005-09-07,14.387,14.436,14.338,14.436,13839
2005-09-08,14.416,14.416,14.358,14.358,5828
2005-09-09,14.387,14.436,14.358,14.436,4473
2005-09-12,14.426,14.513,14.387,14.513,3642
2005-09-13,14.358,14.367,14.358,14.367,1146
2005-09-14,14.32,14.338,14.32,14.329,1042
2005-09-15,14.222,14.222,14.173,14.173,5102
2005-09-16,14.241,14.241,14.241,14.241,621
2005-09-19,14.173,14.173,14.06,14.06,22059
2005-09-20,14.173,14.173,14.173,14.173,1042
2005-09-21,13.848,13.887,13.848,13.887,1248
2005-09-22,13.771,13.848,13.771,13.848,7804
2005-09-23,13.808,13.808,13.808,13.808,101
2005-09-26,13.887,13.907,13.828,13.857,2913
2005-09-27,13.808,13.887,13.8,13.848,3122
2005-09-28,13.818,13.828,13.781,13.781,18208
2005-09-29,13.771,13.877,13.714,13.877,2704
2005-09-30,13.857,13.964,13.857,13.945,3019
2005-10-03,13.955,13.973,13.935,13.945,7595
2005-10-04,13.964,13.973,13.838,13.838,74191
2005-10-05,13.791,13.791,13.646,13.646,7595
2005-10-06,13.636,13.675,13.578,13.578,63995
2005-10-07,13.617,13.627,13.617,13.627,2081
2005-10-10,13.646,13.646,13.578,13.598,3225
2005-10-11,13.627,13.636,13.424,13.424,2704
2005-10-12,13.234,13.244,13.186,13.215,1978
2005-10-13,13.244,13.244,13.215,13.224,2498
2005-10-14,13.244,13.331,13.234,13.331,6660
2005-10-17,13.321,13.321,13.264,13.311,1561
2005-10-18,13.254,13.254,13.129,13.129,1872
2005-10-19,13.129,13.274,13.129,13.274,2081
2005-10-20,13.254,13.254,13.061,13.061,1042
2005-10-21,13.168,13.205,13.168,13.177,1353
2005-10-24,13.274,13.376,13.274,13.376,4164
2005-10-25,13.368,13.405,13.301,13.349,17898
2005-10-26,13.395,13.395,13.349,13.349,2498
2005-10-27,13.291,13.291,13.168,13.168,4682
2005-10-28,13.264,13.274,13.234,13.274,2807
2005-10-31,13.424,13.424,13.385,13.385,313
2005-11-01,13.321,13.395,13.321,13.385,518
2005-11-02,13.433,13.569,13.433,13.569,2395
2005-11-03,13.559,13.588,13.559,13.569,4368
2005-11-04,13.569,13.569,13.541,13.569,21333
2005-11-07,13.724,13.724,13.617,13.646,82828
2005-11-08,13.549,13.569,13.472,13.472,6972
2005-11-09,13.531,13.655,13.531,13.646,19042
2005-11-10,13.617,13.791,13.598,13.791,3330
2005-11-11,13.752,13.8,13.752,13.8,416
2005-11-14,13.724,13.752,13.695,13.733,3434
2005-11-15,13.743,13.743,13.636,13.636,3956
2005-11-16,13.588,13.607,13.559,13.569,11551
2005-11-17,13.569,13.655,13.569,13.655,4368
2005-11-18,13.762,13.8,13.762,13.8,3122
2005-11-21,13.8,13.907,13.8,13.907,4787
2005-11-22,13.848,13.877,13.848,13.877,621
2005-11-23,13.926,13.955,13.926,13.955,313
2005-11-25,13.935,13.964,13.935,13.935,5307
2005-11-28,13.887,13.887,13.818,13.857,8636
2005-11-29,13.907,13.907,13.828,13.828,39022
2005-11-30,13.848,13.907,13.8,13.838,165139
2005-12-01,14.002,14.088,14.002,14.088,8117
2005-12-02,14.07,14.107,14.07,14.107,3642
2005-12-05,14.06,14.06,14.002,14.02,1146
2005-12-06,14.156,14.241,14.156,14.164,1664
2005-12-07,14.146,14.173,14.117,14.173,13630
2005-12-08,14.097,14.183,14.097,14.117,86993
2005-12-09,14.117,14.156,14.107,14.156,7180
2005-12-12,14.164,14.173,14.088,14.156,22372
2005-12-13,14.117,14.164,14.097,14.126,4368
2005-12-14,14.136,14.156,14.107,14.107,3642
2005-12-15,14.079,14.079,13.992,13.992,17482
2005-12-16,14.088,14.107,14.079,14.079,4682
2005-12-19,14.117,14.117,13.964,13.964,2290
2005-12-20,13.926,13.926,13.857,13.857,2395
2005-12-21,13.877,13.907,13.857,13.857,1561
2005-12-22,13.877,13.926,13.877,13.926,1248
2005-12-23,13.955,13.964,13.955,13.964,833
2005-12-27,13.877,13.907,13.838,13.867,14881
2005-12-28,13.857,13.897,13.818,13.897,2187
2005-12-29,13.916,13.955,13.887,13.887,26638
2005-12-30,13.828,13.828,13.762,13.771,13528
2006-01-03,13.8,13.926,13.665,13.907,7180
2006-01-04,13.982,14.07,13.982,14.06,48385
2006-01-05,14.088,14.146,14.06,14.136,13630
2006-01-06,14.271,14.329,14.222,14.32,14673
2006-01-09,14.3,14.338,14.3,14.3,2187
2006-01-10,14.251,14.28,14.241,14.28,7700
2006-01-11,14.31,14.348,14.29,14.348,29140
2006-01-12,14.32,14.32,14.231,14.231,4368
2006-01-13,14.241,14.251,14.193,14.231,3642
2006-01-17,14.088,14.231,14.088,14.164,114356
