Date,Open,High,Low,Close,Volume
2012-05-03,27.06,27.104,26.315,26.603,13916620
2012-05-04,26.145,26.35,25.526,25.559,12839186
2012-05-07,25.507,25.893,24.788,24.876,14462877
2012-05-08,24.653,25.773,24.368,25.507,17230383
2012-05-09,25.264,27.873,25.194,27.534,16509378
2012-05-10,28.009,28.264,26.712,27.527,10456815
2012-05-11,26.89,27.246,26.611,26.975,5265468
2012-05-14,26.432,26.763,26.074,26.544,7549603
2012-05-15,26.568,27.39,26.324,26.84,7507879
2012-05-16,26.662,27.45,26.484,27.204,7219694
2012-05-17,26.959,27.119,26.441,26.493,5782172
2012-05-18,26.636,26.856,26.262,26.594,9369783
2012-05-21,26.468,27.407,26.229,27.28,6466289
2012-05-22,27.016,27.349,26.551,26.807,6389492
2012-05-23,26.568,26.686,26.171,26.62,6217093
2012-05-24,26.627,26.646,26.06,26.381,5086775
2012-05-25,26.279,26.62,26.129,26.525,3796994
2012-05-29,26.508,26.881,26.153,26.279,4696376
2012-05-30,26.093,26.129,25.569,25.798,7080434
2012-05-31,25.647,25.724,25.186,25.452,9555765
2012-06-01,25.001,25.569,24.899,25.356,6727922
2012-06-04,24.831,25.586,24.788,25.027,5717297
2012-06-05,24.89,25.509,24.838,25.34,4774735
2012-06-06,25.451,27.119,25.272,26.721,9252875
2012-06-07,27.178,27.756,26.898,26.975,9078932
2012-06-08,26.83,27.416,26.705,27.222,5076619
2012-06-11,27.501,28.009,27.315,27.628,7078614
2012-06-12,27.595,28.592,27.534,28.383,8035410
2012-06-13,28.195,28.383,27.577,27.771,3393718
2012-06-14,27.771,28.511,27.382,28.416,5262654
2012-06-15,28.474,29.586,28.289,29.579,11698016
2012-06-18,29.136,29.237,28.671,28.694,5020061
2012-06-19,28.865,29.263,28.583,28.694,5750539
2012-06-20,28.638,29.535,28.375,29.374,5461279
2012-06-21,29.408,29.459,28.017,28.375,4117892
2012-06-22,28.52,29.416,27.994,28.947,5155590
2012-06-25,28.457,28.466,27.763,27.858,5896490
2012-06-26,27.805,28.797,27.46,27.611,3864036
2012-06-27,27.635,28.305,26.627,27.025,3897930
2012-06-28,26.729,27.46,26.516,27.382,3676579
2012-06-29,27.779,28.289,27.67,28.169,5427806
2012-07-02,28.466,29.084,28.28,28.812,4564693
2012-07-03,28.832,29.345,28.672,29.023,4303893
2012-07-05,28.672,29.023,28.424,28.649,3199157
2012-07-06,28.305,28.544,27.897,28.28,2251123
2012-07-09,28.033,28.611,27.67,28.178,2672096
2012-07-10,28.366,28.366,27.539,27.693,3507924
2012-07-11,27.675,28.512,27.419,28.376,3047794
2012-07-12,28.094,28.128,27.581,27.975,4136491
2012-07-13,28.484,29.73,28.401,29.609,5665581
2012-07-16,29.397,30.616,29.287,30.599,5776651
2012-07-17,30.649,31.187,30.394,31.094,4252614
2012-07-18,31.057,31.929,31.007,31.441,3350137
2012-07-19,31.518,31.527,30.241,30.333,4410542
2012-07-20,29.978,30.197,29.746,30.096,3861086
2012-07-23,29.642,30.06,29.397,29.84,3809339
2012-07-24,30.035,30.181,29.491,30.019,2759836
2012-07-25,30.333,30.582,29.713,30.163,4167726
2012-07-26,30.47,30.728,30.325,30.641,3464179
2012-07-27,30.872,31.451,30.59,31.117,7229308
2012-07-30,31.407,32.082,31.382,32.082,3321636
2012-07-31,32.157,32.684,31.961,32.038,8166450
2012-08-01,33.3,34.237,32.191,32.611,7792395
2012-08-02,32.327,33.291,32.244,32.637,5204636
2012-08-03,32.89,33.955,32.89,33.801,5299980
2012-08-06,34.033,34.383,33.889,34.144,3996167
2012-08-07,34.415,34.789,33.735,33.889,5441735
2012-08-08,33.744,34.255,33.623,34.21,4697441
2012-08-09,33.999,34.594,33.981,34.356,3389705
2012-08-10,34.303,34.449,33.871,34.081,2473529
