Date,Open,High,Low,Close,Volume
2005-02-25,31.739,31.923,31.453,31.923,134223
2005-02-28,31.871,31.898,31.408,31.571,161713
2005-03-01,31.508,31.952,31.463,31.685,226708
2005-03-02,31.622,31.978,31.543,31.595,191694
2005-03-03,31.809,32.449,31.543,32.254,199112
2005-03-04,32.575,33.045,32.282,32.948,285810
2005-03-07,33.108,33.108,32.859,32.958,173789
2005-03-08,33.118,33.118,32.567,32.681,234315
2005-03-09,32.79,32.814,32.335,32.476,159392
2005-03-10,32.459,32.626,31.933,32.14,270867
2005-03-11,32.335,32.654,32.032,32.55,229040
2005-03-14,32.369,32.977,32.369,32.806,135447
2005-03-15,33.144,33.144,32.61,32.618,188226
2005-03-16,32.431,32.814,32.147,32.199,367829
2005-03-17,32.032,32.431,31.854,32.209,241152
2005-03-18,32.476,35.625,31.854,34.364,1479113
2005-03-21,34.513,34.513,33.652,33.776,469215
2005-03-22,34.071,34.071,33.045,33.384,233560
2005-03-23,33.544,33.652,33.011,33.43,224788
2005-03-24,33.589,33.589,33.181,33.207,149852
2005-03-28,33.108,33.455,32.94,33.268,162251
2005-03-29,33.322,33.322,32.84,33.002,222115
2005-03-30,33.153,33.313,32.618,33.224,288907
2005-03-31,33.358,33.366,32.664,32.822,199699
2005-04-01,33.127,33.127,32.273,32.44,168470
2005-04-04,32.592,32.717,32.165,32.654,164389
2005-04-05,32.877,32.877,32.395,32.601,135653
2005-04-06,32.822,32.985,32.282,32.664,159115
2005-04-07,32.806,32.948,32.264,32.814,157289
2005-04-08,32.922,33.045,32.405,32.486,132173
2005-04-11,32.745,32.922,32.174,32.699,210473
2005-04-12,32.727,32.922,32.165,32.796,181538
2005-04-13,32.494,32.79,31.527,31.776,274982
2005-04-14,32.006,32.111,31.389,31.389,155770
2005-04-15,31.587,31.587,30.501,30.865,397984
2005-04-18,30.663,31.355,30.34,31.053,232772
2005-04-19,31.231,31.287,30.545,30.946,229539
2005-04-20,30.856,31.011,30.166,30.277,268526
2005-04-21,30.377,31.499,29.434,31.294,294128
2005-04-22,31.434,31.587,30.803,30.946,251991
2005-04-25,31.133,31.398,30.936,31.222,108644
2005-04-26,31.303,31.463,30.645,30.946,120888
2005-04-27,30.982,31.543,30.477,31.116,180092
2005-04-28,30.927,31.26,30.269,30.359,163925
2005-04-29,30.663,31.142,30.091,31.011,177948
2005-05-02,30.856,31.287,30.777,31.241,274169
2005-05-03,31.087,31.675,30.762,31.408,279341
2005-05-04,31.622,32.174,31.425,31.907,171685
