Date,Open,High,Low,Close,Volume
2007-06-26,14.874,14.874,14.874,14.874
2007-06-27,17.915,19.708,17.915,19.37,15299585
2007-06-28,19.269,19.459,18.633,19.255,1581297
2007-06-29,19.255,19.802,18.788,19.215,1889689
2007-07-02,19.046,19.37,18.93,19.134,251595
2007-07-03,19.141,19.336,19.066,19.269,102053
2007-07-05,19.2,19.741,19.2,19.262,234735
2007-07-06,19.269,19.615,19.269,19.425,198646
2007-07-09,19.503,19.722,19.351,19.571,324366
2007-07-10,19.609,19.625,19.275,19.558,162698
2007-07-11,19.472,20.275,19.404,19.943,271561
2007-07-12,20.439,20.453,19.497,19.943,226151
2007-07-13,19.856,19.913,19.443,19.775,107088
2007-07-16,19.769,20.236,19.609,19.816,94665
2007-07-17,19.741,20.153,19.655,19.928,117295
2007-07-18,20.215,20.215,19.741,19.832,147018
2007-07-19,20.622,20.73,20.134,20.275,243458
2007-07-20,20.396,20.791,20.291,20.762,107674
2007-07-23,20.831,20.952,20.622,20.791,168614
2007-07-24,20.891,20.891,20.283,20.574,172165
2007-07-25,20.755,20.755,20.012,20.351,173351
2007-07-26,20.215,20.283,19.708,19.913,140515
2007-07-27,19.875,20.098,19.304,19.563,179416
2007-07-30,19.586,19.722,19.275,19.609,178083
2007-07-31,19.741,20.114,19.647,19.875,97175
2007-08-01,19.775,19.775,19.269,19.419,120102
2007-08-02,19.425,19.601,18.668,19.147,586903
2007-08-03,19.078,19.098,18.763,19.011,181485
2007-08-06,19.236,19.269,16.665,18.39,616486
2007-08-07,18.424,19.775,18.06,19.025,424496
2007-08-08,19.091,19.336,18.593,18.841,747680
2007-08-09,18.93,19.032,18.453,18.453,172464
2007-08-10,18.453,18.674,18.032,18.241,163885
2007-08-13,18.254,18.741,18.254,18.72,142142
2007-08-14,18.72,18.884,18.289,18.456,180156
2007-08-15,18.052,18.254,17.883,18.221,89781
2007-08-16,17.915,18.064,16.91,17.484,168614
2007-08-17,17.815,18.445,17.802,18.254,93480
