Date,Open,High,Low,Close,Volume
2005-02-25,48.747,49.016,48.747,48.979,2386
2005-02-28,48.998,48.998,48.747,48.908,3467
2005-03-01,49.127,49.375,49.127,49.375,2167
2005-03-02,49.311,49.689,49.311,49.506,1733
2005-03-03,49.544,49.544,49.266,49.477,4440
2005-03-04,49.726,49.839,49.726,49.754,2167
2005-03-07,49.93,50.049,49.83,50.003,7044
2005-03-08,49.894,49.894,49.616,49.689,6066
2005-03-09,49.21,49.293,48.998,49.006,2602
2005-03-10,49.081,49.099,48.898,49.081,3575
2005-03-11,49.175,49.182,48.96,49.042,6283
2005-03-14,49.109,49.109,48.988,49.033,2062
2005-03-15,49.487,49.544,49.256,49.256,1949
2005-03-16,49.062,49.072,48.841,48.841,7692
2005-03-17,49.072,49.072,48.869,49.025,1949
2005-03-18,48.831,48.831,48.565,48.565,3359
2005-03-21,48.565,48.658,48.242,48.658,3359
2005-03-22,48.737,48.737,48.528,48.528,3359
2005-03-23,47.993,48.083,47.973,48.01,4878
2005-03-24,48.203,48.287,48.093,48.093,3685
2005-03-28,48.415,48.415,48.415,48.415,1191
2005-03-29,48.278,48.398,47.882,47.882,5311
2005-03-30,48.083,48.432,48.083,48.351,1626
2005-03-31,48.63,48.63,48.509,48.509,325
2005-04-01,48.898,48.898,48.083,48.251,5526
2005-04-04,48.02,48.075,47.833,47.993,867
2005-04-05,48.423,48.611,48.423,48.555,1520
2005-04-06,48.62,48.658,48.423,48.432,6177
2005-04-07,48.317,48.62,48.317,48.583,1626
2005-04-08,48.784,48.784,48.287,48.307,2602
2005-04-11,48.075,48.176,48.075,48.176,434
2005-04-12,47.993,48.361,47.715,48.361,6934
2005-04-13,48.368,48.368,47.818,47.818,1949
2005-04-14,47.724,47.724,47.272,47.346,4440
2005-04-15,46.745,46.811,46.147,46.219,3685
2005-04-18,46.118,46.331,46.007,46.256,5742
2005-04-19,46.44,46.44,46.228,46.321,5958
2005-04-20,46.182,46.219,45.656,45.656,2709
2005-04-21,46.21,46.645,46.118,46.645,2817
2005-04-22,46.534,46.534,46.147,46.147,648
2005-04-25,46.43,46.44,46.137,46.137,2490
2005-04-26,46.368,46.571,46.202,46.247,4554
2005-04-27,45.787,46.219,45.741,46.192,2274
