Date,Open,High,Low,Close,Volume
2005-02-25,47.836,48.06,47.74,48.016,3815
2005-02-28,48.06,48.181,47.879,48.016,5434
2005-03-01,48.165,48.451,48.165,48.451,5895
2005-03-02,48.156,48.466,48.156,48.407,4163
2005-03-03,48.528,48.58,48.32,48.475,6936
2005-03-04,48.545,48.76,48.545,48.735,2890
2005-03-07,48.71,48.71,48.491,48.571,9131
2005-03-08,48.58,48.58,48.362,48.389,4390
2005-03-09,48.165,48.224,47.931,48.016,3699
2005-03-10,48.104,48.27,48.016,48.051,3470
2005-03-11,48.086,48.207,47.808,47.872,1850
2005-03-14,47.966,48,47.931,47.982,2542
2005-03-15,48.026,48.086,47.801,47.801,2775
2005-03-16,47.757,47.757,47.438,47.438,5547
2005-03-17,47.489,47.707,47.465,47.611,2198
2005-03-18,47.67,47.67,47.465,47.489,1504
2005-03-21,47.566,47.566,47.22,47.342,8670
2005-03-22,47.359,47.456,47.118,47.118,6471
2005-03-23,47.101,47.402,47.058,47.309,11329
2005-03-24,47.317,47.465,47.282,47.282,15259
2005-03-28,47.369,47.575,47.335,47.515,10863
2005-03-29,47.291,47.585,47.254,47.254,5318
2005-03-30,47.497,47.94,47.497,47.94,17222
2005-03-31,47.801,47.836,47.707,47.757,12136
2005-04-01,47.844,47.844,47.135,47.377,27741
2005-04-04,47.411,47.575,47.263,47.575,5434
2005-04-05,47.585,47.818,47.585,47.808,1272
2005-04-06,47.931,47.931,47.68,47.68,7859
2005-04-07,47.698,48.016,47.637,47.992,4856
2005-04-08,48.112,48.132,47.914,47.957,6011
2005-04-11,48.01,48.051,47.931,47.947,4390
2005-04-12,47.931,48.26,47.603,48.189,7628
2005-04-13,48.148,48.242,47.844,47.957,11329
2005-04-14,48.034,48.112,47.888,47.888,8090
2005-04-15,47.826,47.862,47.359,47.394,9246
2005-04-18,47.394,47.429,47.093,47.178,3582
2005-04-19,47.23,47.342,46.978,47.326,16297
2005-04-20,47.254,47.3,46.573,46.573,7745
2005-04-21,47.101,47.411,46.962,47.377,52359
2005-04-22,47.178,47.247,46.857,46.857,4623
2005-04-25,47.021,47.377,47.021,47.369,4506
2005-04-26,47.178,47.394,47.144,47.144,3470
2005-04-27,46.71,47.282,46.71,47.178,42417
2005-04-28,47.178,47.377,46.945,46.945,3930
2005-04-29,47.03,47.178,46.667,47.178,8323
2005-05-02,47.22,47.549,47.22,47.549,213827
2005-05-03,47.369,47.826,47.369,47.67,2425
2005-05-04,47.774,48.198,47.774,48.132,59525
2005-05-05,48.078,48.078,47.628,48.051,3351
2005-05-06,48.207,48.207,47.844,47.844,4278
2005-05-09,47.844,48.132,47.844,48.06,4740
2005-05-10,47.905,48,47.67,47.844,6358
2005-05-11,47.931,48.078,47.585,48.06,47042
2005-05-12,48.06,48.095,47.757,47.872,10403
2005-05-13,47.757,47.792,47.169,47.456,7397
2005-05-16,47.497,47.966,47.489,47.966,7167
2005-05-17,47.808,48.165,47.782,48.165,7397
2005-05-18,48.466,48.752,48.286,48.71,11098
2005-05-19,48.728,48.866,48.588,48.866,5895
2005-05-20,48.891,49.003,48.656,48.993,16528
2005-05-23,48.935,49.159,48.752,48.927,6588
2005-05-24,48.927,48.985,48.656,48.953,6471
2005-05-25,48.856,48.882,48.491,48.76,11329
2005-05-26,48.822,48.909,48.752,48.822,6471
2005-05-27,48.77,48.795,48.648,48.735,62646
2005-05-31,48.537,48.624,48.444,48.509,6588
2005-06-01,48.38,48.953,48.38,48.656,4390
2005-06-02,48.632,49.028,48.632,49.028,9365
2005-06-03,48.899,48.918,48.38,48.605,11675
2005-06-06,48.588,48.701,48.346,48.561,8670
2005-06-07,48.779,49.028,48.71,48.945,5895
2005-06-08,48.978,49.011,48.561,48.666,8436
2005-06-09,48.58,48.847,48.545,48.743,14679
2005-06-10,48.795,48.83,48.362,48.597,8323
2005-06-13,48.624,48.891,48.425,48.684,14792
2005-06-14,48.676,48.838,48.58,48.743,5434
2005-06-15,48.814,48.814,48.398,48.804,25312
2005-06-16,48.666,48.847,48.639,48.804,5780
2005-06-17,48.978,49.011,48.735,48.838,5547
2005-06-20,48.71,48.882,48.475,48.882,4856
2005-06-21,48.882,48.882,48.632,48.77,7859
2005-06-22,48.927,48.927,48.632,48.684,10747
2005-06-23,48.743,48.779,48.104,48.295,9940
2005-06-24,48.148,48.165,47.757,47.792,22654
2005-06-27,47.74,47.792,47.585,47.757,13756
2005-06-28,48.016,48.251,48,48.207,7283
2005-06-29,48.26,48.328,47.973,47.973,16876
