Date,Open,High,Low,Close,Volume
2005-02-25,48.56,48.56,48.56,48.56,891
2005-03-01,48.72,48.81,48.692,48.765,6899
2005-03-02,48.701,49.061,48.701,48.936,779
2005-03-03,48.997,49.089,48.729,49.089,3673
2005-03-04,49.315,49.709,49.305,49.709,3895
2005-03-07,49.951,50.05,49.933,49.98,4339
2005-03-08,49.961,49.988,49.878,49.878,4117
2005-03-09,49.575,49.681,49.575,49.602,4004
2005-03-10,49.493,49.501,49.24,49.448,4451
2005-03-11,49.619,49.619,49.333,49.333,1782
2005-03-14,49.475,49.547,49.368,49.386,5118
2005-03-15,49.52,49.52,49.402,49.402,3338
2005-03-16,49.286,49.286,48.765,48.837,4117
2005-03-17,48.91,49.035,48.818,48.855,4227
2005-03-18,48.936,48.936,48.855,48.855,667
2005-03-21,48.765,48.945,48.765,48.928,1559
2005-03-22,49.153,49.186,48.954,48.954,1670
2005-03-23,48.701,48.701,48.468,48.468,5453
2005-03-24,48.837,48.837,48.701,48.701,2450
2005-03-28,48.792,48.792,48.711,48.765,891
2005-03-29,48.569,48.676,47.967,47.967,6122
2005-03-30,48.18,48.477,48.18,48.477,556
2005-03-31,48.577,48.622,48.504,48.504,2782
2005-04-01,48.701,48.701,48.072,48.072,3118
2005-04-04,47.893,48.145,47.893,48.145,29047
2005-04-05,48.18,48.343,48.164,48.343,2558
2005-04-06,48.513,48.629,48.407,48.425,4227
2005-04-07,48.587,48.666,48.587,48.666,6344
2005-04-08,48.531,48.531,48.353,48.353,1336
2005-04-11,48.236,48.361,48.19,48.279,779
2005-04-12,48.228,48.228,47.785,48.145,3118
2005-04-13,48.477,48.477,47.768,47.821,3118
2005-04-14,47.534,47.534,47.21,47.229,1000
2005-04-15,47.048,47.048,46.563,46.563,4786
2005-04-18,46.419,46.6,46.08,46.466,5787
2005-04-19,46.608,46.672,46.581,46.635,1445
2005-04-20,46.95,46.95,46.313,46.313,1670
2005-04-21,46.681,46.95,46.645,46.95,1782
2005-04-22,47.058,47.165,46.591,46.591,4895
2005-04-25,47.229,47.364,47.067,47.067,1114
2005-04-26,47.247,47.247,46.879,46.879,1782
2005-04-27,46.33,46.805,46.33,46.805,1222
2005-04-28,46.617,46.635,46.213,46.213,4673
2005-04-29,46.042,46.591,46.042,46.591,27934
