Date,Open,High,Low,Close,Volume
2005-02-25,26.625,27.014,26.55,27.005,1143909
2005-02-28,26.996,26.996,26.576,26.746,2516926
2005-03-01,26.929,26.996,26.694,26.782,1986531
2005-03-02,26.712,26.807,26.487,26.703,944094
2005-03-03,26.685,26.858,26.558,26.677,545972
2005-03-04,26.883,27.52,26.832,27.513,1488096
2005-03-07,27.529,27.529,27.212,27.212,1366972
2005-03-08,27.212,27.281,27.099,27.141,1014883
2005-03-09,27.271,27.462,27.169,27.204,2706048
2005-03-10,27.298,27.315,26.667,26.858,4266443
2005-03-11,26.798,27.237,26.798,27.022,3597373
2005-03-14,26.929,27.09,26.789,27.014,1461591
2005-03-15,27.186,27.186,26.875,26.883,1371974
2005-03-16,26.667,26.782,26.266,26.308,5712342
2005-03-17,26.368,26.694,26.299,26.618,2994091
2005-03-18,26.618,26.634,26.359,26.524,2790557
2005-03-21,26.667,26.667,26.275,26.368,1487164
2005-03-22,26.461,26.746,26.257,26.283,1611313
2005-03-23,26.266,26.334,25.999,26.026,2463693
2005-03-24,26.239,26.275,26.018,26.026,1947701
2005-03-28,26.153,26.153,25.876,25.876,1352441
2005-03-29,25.819,26.102,25.293,25.302,2624451
2005-03-30,25.389,25.731,25.389,25.731,2422423
2005-03-31,25.895,26.049,25.809,25.946,1771020
2005-04-01,25.819,26.257,25.775,25.868,2276430
2005-04-04,25.731,25.731,25.526,25.715,974318
2005-04-05,25.636,25.835,25.61,25.766,530282
2005-04-06,25.859,26.018,25.859,25.895,1190289
2005-04-07,26.009,26.186,25.955,26.177,1593059
2005-04-08,26.186,26.222,25.783,25.801,1094971
2005-04-11,25.885,25.885,25.592,25.715,321633
2005-04-12,25.654,25.775,25.276,25.689,1726155
2005-04-13,25.68,25.68,24.898,24.975,3313981
2005-04-14,24.949,24.975,24.14,24.276,9144424
2005-04-15,24.06,24.295,23.634,23.673,3681762
2005-04-18,23.789,24.131,23.673,24.053,5056752
2005-04-19,24.484,24.871,24.131,24.348,2004198
2005-04-20,24.69,24.69,23.88,23.941,2789622
2005-04-21,24.202,24.406,23.933,24.389,2533199
2005-04-22,24.477,24.477,23.907,24.159,1734405
2005-04-25,24.175,24.459,24.175,24.397,1111478
2005-04-26,24.25,24.415,23.923,23.933,2305138
2005-04-27,23.562,23.806,23.391,23.701,6961915
2005-04-28,23.831,23.916,23.436,23.511,6765239
2005-04-29,23.683,24.226,23.625,24.096,4412558
2005-05-02,24.105,24.338,24.096,24.295,3328394
2005-05-03,24.25,24.569,24.202,24.449,2011287
2005-05-04,24.56,24.827,24.449,24.827,1474727
2005-05-05,24.735,24.94,24.509,24.682,3607368
2005-05-06,24.699,24.914,24.673,24.743,1238413
2005-05-09,24.656,24.786,24.518,24.709,1074513
2005-05-10,24.518,24.577,24.276,24.338,1336634
2005-05-11,24.348,24.442,24.086,24.364,3198902
2005-05-12,24.348,24.406,23.625,23.701,3674787
2005-05-13,23.745,23.789,22.971,23.237,5365371
2005-05-16,23.007,23.365,23.007,23.338,2293864
2005-05-17,23.278,23.737,23.237,23.664,2741618
2005-05-18,23.745,24.364,23.745,24.268,5405357
2005-05-19,24.276,24.329,24.003,24.149,2599227
2005-05-20,24.096,24.096,23.863,23.995,4458588
2005-05-23,23.941,24.276,23.916,24.184,2252018
2005-05-24,24.122,24.193,24.012,24.105,2339316
2005-05-25,23.959,24.086,23.701,23.854,3781262
2005-05-26,23.872,24.078,23.872,24.039,1423351
2005-05-27,24.113,24.14,23.987,24.113,1479493
2005-05-31,23.968,24.06,23.745,23.941,2248417
2005-06-01,23.941,24.389,23.916,24.303,5176247
2005-06-02,24.303,24.303,24.096,24.226,2132877
2005-06-03,24.25,24.406,24.096,24.175,2654671
2005-06-06,24.14,24.175,24.039,24.105,3218432
2005-06-07,24.193,24.509,24.193,24.25,4548788
2005-06-08,24.389,24.389,24.069,24.086,2894703
