Date,Open,High,Low,Close,Volume
2005-02-25,22.07,22.483,21.992,22.415,4629963
2005-02-28,22.468,22.515,22.177,22.262,2570290
2005-03-01,22.3,22.475,22.223,22.324,1931399
2005-03-02,22.415,22.44,22.193,22.3,3354148
2005-03-03,22.415,22.468,22.223,22.415,3017352
2005-03-04,22.562,22.797,22.455,22.767,2231662
2005-03-07,22.797,22.975,22.797,22.928,1474160
2005-03-08,22.967,22.967,22.714,22.775,2299128
2005-03-09,22.891,22.891,22.346,22.368,5581506
2005-03-10,22.415,22.582,22.247,22.515,3130879
2005-03-11,22.532,22.638,22.361,22.415,2291952
2005-03-14,22.432,22.775,22.384,22.76,722008
2005-03-15,22.767,22.928,22.663,22.663,3328966
2005-03-16,22.647,22.721,22.339,22.455,5282945
2005-03-17,22.491,22.655,22.468,22.582,1087777
2005-03-18,22.568,22.568,22.201,22.346,1764112
2005-03-21,22.455,22.455,22.277,22.339,1209524
2005-03-22,22.361,22.432,21.863,21.885,4843969
2005-03-23,21.902,21.902,21.558,21.778,8577589
2005-03-24,21.877,22.101,21.841,22.009,3104002
2005-03-28,22.148,22.201,22.025,22.049,1067422
2005-03-29,22.148,22.148,21.742,21.771,1703824
2005-03-30,21.902,22.125,21.778,22.125,1532359
2005-03-31,22.209,22.368,21.992,22.339,1003869
2005-04-01,22.532,22.606,22.24,22.415,2224617
2005-04-04,22.597,22.597,22.27,22.475,2185075
2005-04-05,22.455,22.622,22.432,22.606,1596563
2005-04-06,22.668,22.754,22.532,22.541,992517
2005-04-07,22.606,22.775,22.562,22.746,1318615
2005-04-08,22.838,22.838,22.524,22.568,1382947
2005-04-11,22.706,22.853,22.547,22.792,1916264
2005-04-12,22.914,23.066,22.582,23.004,1004261
2005-04-13,23.066,23.066,22.805,22.846,884995
2005-04-14,22.767,22.914,22.606,22.631,1023054
2005-04-15,22.562,22.706,22.193,22.232,1526880
2005-04-18,22.216,22.424,22.07,22.316,1291211
2005-04-19,22.375,22.647,22.223,22.631,1050196
2005-04-20,22.683,22.683,22.424,22.432,1017050
2005-04-21,22.308,22.706,22.308,22.631,5021567
2005-04-22,22.721,22.797,22.59,22.775,2817308
2005-04-25,22.914,22.967,22.797,22.928,844672
2005-04-26,22.975,22.975,22.638,22.638,1628404
2005-04-27,22.76,22.914,22.468,22.805,751240
2005-04-28,22.906,22.914,22.631,22.706,2913873
2005-04-29,22.647,23.036,22.647,23.028,1227270
2005-05-02,23.157,23.221,23.022,23.091,1429793
2005-05-03,23.221,23.221,22.906,22.975,2995168
2005-05-04,23.127,23.127,22.83,22.996,1951759
2005-05-05,23.143,23.143,22.69,22.906,1367680
2005-05-06,22.838,22.982,22.83,22.853,1956850
2005-05-09,22.853,23.052,22.706,23.043,4094950
2005-05-10,23.066,23.066,22.853,22.874,1093778
2005-05-11,22.99,23.022,22.767,22.982,894257
2005-05-12,23.052,23.052,22.714,22.721,1019790
2005-05-13,22.655,22.953,21.992,22.354,2677033
2005-05-16,22.361,22.497,22.24,22.497,3909130
2005-05-17,22.606,22.792,22.424,22.76,1001129
2005-05-18,22.906,22.961,22.746,22.767,1653849
2005-05-19,22.853,22.928,22.76,22.898,638363
2005-05-20,22.614,22.928,22.614,22.891,1133313
2005-05-23,22.775,22.891,22.721,22.805,821052
