Date,Open,High,Low,Close,Volume
1989-01-05,2.4829,2.5076,2.4427,2.5076,152815
1989-01-06,2.4829,2.5076,2.4667,2.4829,222319
1989-01-09,2.5235,2.5235,2.4667,2.5076,291332
1989-01-10,2.5235,2.5643,2.4667,2.5643,504774
1989-01-11,2.5643,2.6453,2.5643,2.6047,1099266
1989-01-12,2.6047,2.6697,2.5881,2.6697,1341303
1989-01-13,2.6859,2.7266,2.6697,2.7103,459424
1989-01-16,2.7103,2.7103,2.6453,2.6859,652654
1989-01-17,2.6859,2.7103,2.6292,2.6697,478648
1989-01-18,2.6859,2.7506,2.6453,2.7506,705898
1989-01-19,2.7506,2.7506,2.6859,2.6859,123728
1989-01-20,2.7103,2.7266,2.6859,2.7266,557519
1989-01-23,2.7266,2.7266,2.6697,2.6859,293305
1989-01-24,2.6859,2.6859,2.6453,2.6859,495412
1989-01-25,2.7103,2.7914,2.6697,2.7506,239571
1989-01-26,2.767,2.8485,2.7506,2.8485,1643477
1989-01-27,2.8485,3.0105,2.8319,2.9539,3434337
1989-01-30,2.9131,2.9293,2.8888,2.9131,1242717
1989-01-31,2.9539,2.9698,2.8723,2.9131,893213
1989-02-01,2.8888,2.9131,2.8723,2.8888,491464
1989-02-02,2.8888,2.9131,2.8723,2.8888,93658
1989-02-03,2.8888,2.9293,2.8723,2.9293,351963
1989-02-06,2.9293,2.9293,2.8485,2.8723,333725
1989-02-07,2.8485,2.8888,2.8319,2.8723,1292496
1989-02-08,2.8888,2.8888,2.8075,2.8319,153306
1989-02-09,2.8075,2.8319,2.7266,2.7266,169082
1989-02-10,2.6859,2.7266,2.6453,2.6859,348016
1989-02-13,2.6697,2.6697,2.6292,2.6697,335202
1989-02-14,2.6453,2.7506,2.6453,2.7266,160700
1989-02-15,2.7506,2.767,2.7266,2.7506,531887
1989-02-16,2.7506,2.767,2.7103,2.7266,207528
1989-02-17,2.7103,2.7266,2.7103,2.7266,141476
1989-02-21,2.7103,2.7266,2.6697,2.6697,238094
1989-02-22,2.6616,2.6616,2.6047,2.6616,238583
1989-02-23,2.6616,2.6859,2.6208,2.6859,671392
1989-02-24,2.6859,2.7266,2.6616,2.702,1086941
1989-02-27,2.702,2.7266,2.6859,2.702,554068
1989-02-28,2.702,2.702,2.6453,2.6859,701952
1989-03-01,2.6616,2.6859,2.6453,2.6616,135563
1989-03-02,2.6616,2.6616,2.6453,2.6616,626532
1989-03-03,2.6453,2.6859,2.6453,2.6859,2098956
1989-03-06,2.6616,2.6859,2.6208,2.6453,1831778
1989-03-07,2.6453,2.6453,2.5398,2.5643,334216
1989-03-08,2.5803,2.6047,2.5235,2.6047,642304
1989-03-09,2.5643,2.6047,2.5643,2.6047,1064263
1989-03-10,2.6047,2.6047,2.5643,2.5643,418019
1989-03-13,2.5398,2.5803,2.5235,2.5643,723645
1989-03-14,2.5803,2.6047,2.5803,2.6047,270132
1989-03-15,2.6047,2.6208,2.5803,2.6047,1915579
1989-03-16,2.6208,2.6208,2.5803,2.6047,1014972
1989-03-17,2.5803,2.5803,2.4992,2.5235,383509
1989-03-20,2.5235,2.5235,2.4588,2.4829,331254
1989-03-21,2.4829,2.5235,2.4829,2.4829,996238
1989-03-22,2.4992,2.5235,2.4427,2.4829,3148434
1989-03-23,2.4992,2.5235,2.4427,2.4588,1080039
1989-03-27,2.4829,2.4992,2.4181,2.4427,213445
1989-03-28,2.4588,2.5803,2.4427,2.5235,638360
1989-03-29,2.5643,2.6453,2.5643,2.6208,1383695
1989-03-30,2.6453,2.6453,2.5803,2.6208,349991
1989-03-31,2.6047,2.6616,2.6047,2.6047,665473
1989-04-03,2.6208,2.6453,2.6047,2.6208,195208
1989-04-04,2.6453,2.6616,2.6208,2.6208,734485
1989-04-05,2.6453,2.6453,2.6208,2.6453,283937
1989-04-06,2.6616,2.6616,2.6208,2.6453,257810
1989-04-07,2.6616,2.6616,2.5803,2.6047,245487
1989-04-10,2.6047,2.6616,2.6047,2.6453,828148
1989-04-11,2.6453,2.6453,2.6208,2.6453,494424
1989-04-12,2.6453,2.6616,2.6047,2.6208,694558
1989-04-13,2.6453,2.6453,2.5803,2.6208,461396
1989-04-14,2.6208,2.6859,2.6208,2.6859,963210
1989-04-17,2.6859,2.8238,2.6859,2.8238,963210
1989-04-18,2.8485,2.9454,2.8238,2.9293,934126
1989-04-19,2.8888,2.9454,2.8644,2.9293,810403
1989-04-20,2.9293,2.9293,2.8238,2.8485,752724
1989-04-21,2.8238,2.8485,2.8075,2.8075,887790
1989-04-24,2.8238,2.8888,2.8238,2.8888,320415
1989-04-25,2.8888,2.9293,2.8644,2.8888,1488198
1989-04-26,2.8888,2.8888,2.8238,2.8644,951380
1989-04-27,2.8888,2.9293,2.8888,2.9047,1035182
1989-04-28,2.9047,2.9047,2.7833,2.8485,286897
1989-05-01,2.8485,2.8485,2.767,2.767,144435
1989-05-02,2.8075,2.8238,2.767,2.767,182884
1989-05-03,2.7426,2.767,2.7426,2.767,342594
1989-05-04,2.767,2.7833,2.7426,2.7426,105986
1989-05-05,2.7426,2.8238,2.7426,2.7833,557031
1989-05-08,2.7833,2.7833,2.7426,2.7833,363793
1989-05-09,2.7833,2.8075,2.7426,2.767,238094
1989-05-10,2.767,2.7833,2.767,2.767,196683
1989-05-11,2.767,2.8238,2.7426,2.8238,278511
1989-05-12,2.8644,2.9293,2.8485,2.9293,471254
1989-05-15,2.9293,2.9454,2.8888,2.9047,1093844
1989-05-16,2.8888,2.9047,2.8644,2.8644,233653
1989-05-17,2.9047,2.9293,2.8485,2.9047,750262
1989-05-18,2.8644,2.9454,2.8644,2.9047,1054409
1989-05-19,2.9293,2.9454,2.9047,2.9293,857724
1989-05-22,2.9293,2.9293,2.8888,2.9047,361822
1989-05-23,2.8644,2.8888,2.8485,2.8644,334216
1989-05-24,2.84,2.8806,2.84,2.8806,49790
1989-05-25,2.84,2.9047,2.8238,2.8806,273582
1989-05-26,2.8806,2.8806,2.84,2.8806,98098
1989-05-30,2.8644,2.8806,2.84,2.84,202597
1989-05-31,2.8806,2.9454,2.8644,2.9454,1651363
1989-06-01,2.9618,3.0105,2.9618,3.0105,1730727
1989-06-02,3.0267,3.1323,3.0267,3.1323,1759807
1989-06-05,3.1728,3.189,3.108,3.1323,667936
1989-06-06,3.1323,3.2134,3.1323,3.189,530899
1989-06-07,3.2295,3.457,3.2295,3.4326,1609459
1989-06-08,3.4161,3.5217,3.4161,3.457,1503477
1989-06-09,3.4326,3.4974,3.4161,3.457,632941
1989-06-12,3.4974,3.5217,3.3756,3.457,593013
1989-06-13,3.4326,3.4326,3.2946,3.3349,482591
1989-06-14,3.3349,3.3756,3.3104,3.3756,473225
1989-06-15,3.3756,3.4161,3.3513,3.3513,300694
1989-06-16,3.3513,3.4161,3.3349,3.3756,738430
1989-06-19,3.3756,3.4161,3.3349,3.3917,571321
1989-06-20,3.4326,3.4811,3.3917,3.4326,358371
1989-06-21,3.3917,3.3917,3.3104,3.3349,1634600
1989-06-22,3.3513,3.4161,3.3513,3.3917,412596
1989-06-23,3.3917,3.4811,3.3917,3.457,272104
1989-06-26,3.4326,3.457,3.3513,3.3513,122744
1989-06-27,3.4161,3.4326,3.3513,3.3917,356397
1989-06-28,3.4161,3.4161,3.3349,3.3513,526957
1989-06-29,3.3513,3.3513,3.1728,3.2134,629980
1989-06-30,3.1728,3.1728,3.0509,3.1486,418019
1989-07-03,3.1323,3.1486,3.0918,3.108,492944
1989-07-05,3.0918,3.2539,3.0918,3.2539,864627
1989-07-06,3.27,3.3756,3.27,3.3513,1014972
1989-07-07,3.4161,3.4326,3.3513,3.3917,587095
1989-07-10,3.4161,3.4974,3.3917,3.4974,883357
1989-07-11,3.5217,3.5624,3.4974,3.5217,639351
1989-07-12,3.5378,3.6434,3.5217,3.6434,674347
1989-07-13,3.6188,3.7408,3.5624,3.7248,454003
1989-07-14,3.7408,3.7653,3.7,3.7,405691
1989-07-17,3.6838,3.7,3.6434,3.7,285416
1989-07-18,3.7,3.7,3.6598,3.6838,347033
1989-07-19,3.6598,3.6598,3.6188,3.6434,452524
1989-07-20,3.6434,3.6434,3.6026,3.6026,377597
1989-07-21,3.6026,3.6026,3.5378,3.5378,174499
1989-07-24,3.5217,3.5785,3.4811,3.5217,512660
1989-07-25,3.5217,3.5785,3.5217,3.5785,732516
1989-07-26,3.6026,3.7408,3.6026,3.7408,526466
1989-07-27,3.7408,3.8218,3.7,3.8218,370696
1989-07-28,3.7812,3.8218,3.7248,3.7653,573293
1989-07-31,3.7653,3.8058,3.7408,3.7653,232176
1989-08-01,3.8058,3.8463,3.7653,3.7653,618152
1989-08-02,3.7408,3.7408,3.5378,3.5785,979483
1989-08-03,3.5624,3.6434,3.4326,3.6434,697021
1989-08-04,3.6598,3.7653,3.6434,3.6838,424922
1989-08-07,3.7,3.9029,3.6598,3.8463,175490
1989-08-08,3.8867,4.049,3.8218,4.049,438717
1989-08-09,4.0329,4.049,3.9681,3.9681,318442
1989-08-10,3.9436,4.0737,3.9276,4.0737,390904
1989-08-11,4.0737,4.0737,3.9276,3.9681,367239
1989-08-14,3.9681,3.9681,3.9029,3.9029,340622
1989-08-15,3.9276,3.992,3.9276,3.9436,403721
1989-08-16,3.9436,3.9681,3.9029,3.9436,114364
1989-08-17,3.9029,3.9436,3.8867,3.9029,256827
1989-08-18,3.9276,3.9681,3.8463,3.9276,402241
1989-08-21,3.9681,4.0085,3.9276,3.9436,119784
1989-08-22,3.9681,3.9681,3.9029,3.9276,255346
1989-08-23,3.992,4.1304,3.992,4.114,482100
1989-08-24,4.1304,4.3172,4.1304,4.2521,1623264
1989-08-25,4.2116,4.2682,4.106,4.106,352458
1989-08-28,4.106,4.1304,4.0411,4.106,323373
1989-08-29,4.106,4.1304,4.0411,4.0896,209501
1989-08-30,4.0896,4.106,3.9841,4.0007,320907
1989-08-31,4.0248,4.0248,3.9436,4.0248,238094
1989-09-01,4.0248,4.0411,3.9841,4.0248,156261
1989-09-05,4.0248,4.0653,3.9841,4.0653,311051
1989-09-06,4.0653,4.0896,4.0007,4.0411,241543
1989-09-07,4.0653,4.0653,4.0248,4.0411,136053
1989-09-08,4.0411,4.0896,4.0248,4.0896,468298
1989-09-11,4.0896,4.0896,4.0248,4.0248,93658
1989-09-12,4.0248,4.0653,3.9841,4.0653,107954
1989-09-13,4.0411,4.0896,4.0248,4.0411,53733
