Date,Open,High,Low,Close,Volume
2017-11-29,21.45,24.4,21.35,23.22,5301227
2017-11-30,23.25,23.78,21.75,22,1548750
2017-12-01,22.1,22.56,21.3,21.3,1105079
2017-12-04,21.5,21.55,19.5501,19.61,1369997
2017-12-05,19.67,21.22,19.51,21.05,748432
2017-12-06,21.11,21.61,20.4,21.2,778886
2017-12-07,21,24.53,21,23.85,1077874
2017-12-08,23.82,26.67,23.5,25.37,938399
2017-12-11,25,30.24,25,29.5,1628493
2017-12-12,29.56,30.53,28.3,29.82,1018173
2017-12-13,29.83,30.68,28.74,28.9,444487
2017-12-14,28.9,29.5,27.74,27.79,601549
2017-12-15,27.75,29.29,27.67,28.72,1860570
2017-12-18,29.2,30.93,29.14,29.85,1020859
2017-12-19,29.99,32.48,29.99,32.3,617085
2017-12-20,32.14,32.97,31.74,32.5,570536
2017-12-21,32.5,34.11,32.5,33.88,285278
2017-12-22,34.08,36.41,33.68,35.98,451215
2017-12-26,36.28,38.8,36,38.63,531732
2017-12-27,38.7,41.89,37.48,37.87,839496
2017-12-28,38.07,39.7299,36.57,39.1,968347
2017-12-29,39.15,40.06,38.69,39.51,333922
2018-01-02,39.35,39.36,38.31,38.44,471523
2018-01-03,38.47,38.98,37,37.01,526202
2018-01-04,37,37.61,35.47,35.71,517545
2018-01-05,35.69,35.97,34.79,35,577276
2018-01-08,34.76,35.74,32.88,34.69,652802
2018-01-09,34.62,36.09,33.89,34.1,356020
2018-01-10,33.97,34.62,33.5,34.25,329506
2018-01-11,34.54,35.735,34.45,35.58,600606
2018-01-12,35.8,36.21,34.84,35.05,310853
2018-01-16,34.99,35.34,31.5,32.53,570719
2018-01-17,32.53,36.12,32.53,35.74,426705
2018-01-18,35.66,36.06,34.13,34.28,413002
2018-01-19,33.95,35.88,33.5781,35.08,180419
2018-01-22,35.11,37.43,34.99,37.3,491946
2018-01-23,37.3,37.9,34.14,35.61,327989
2018-01-24,36.06,36.29,34.395,35.58,170104
2018-01-25,35.67,35.92,33.45,34.27,252811
2018-01-26,34.2,35.93,34.04,34.68,174069
2018-01-29,34.34,35.28,32.56,33.16,268320
2018-01-30,32.81,33.09,31.07,31.59,415496
2018-01-31,31.74,33.15,31.3,32.43,249928
2018-02-01,32.44,34.04,31.71,33.85,331278
2018-02-02,33.38,33.8,30.7,30.98,474248
2018-02-05,30.83,32.5,30.4,31.03,457208
2018-02-06,29.78,32.48,29.1,31.68,516337
2018-02-07,31.78,31.9,29.62,29.79,295920
2018-02-08,29.65,30.25,27.99,28.25,423656
2018-02-09,28.59,29.79,27.1008,29.39,409365
2018-02-12,29.4,31.7,29.04,31.35,443579
2018-02-13,31.28,33.07,30.9,32.21,295127
2018-02-14,32.99,33.6,32.99,32.99,252941
2018-02-15,33.36,33.79,31.82,32.07,149748
2018-02-16,31.96,33.8,31.55,32.57,438764
2018-02-20,32.93,33.46,31.48,31.86,544217
2018-02-21,31.96,34.3,31.96,32.62,388138
2018-02-22,32.69,33.99,31.6339,32.73,250377
2018-02-23,33.04,33.73,32.2,32.98,263879
2018-02-26,33.34,33.74,32.235,32.84,290049
2018-02-27,32.62,33.29,31.96,32.21,302636
2018-02-28,32.41,33.225,31.49,31.69,302487
2018-03-01,31.49,32.78,30.62,31.55,332170
2018-03-02,31.09,32.465,30.5,31.69,328742
2018-03-05,31.52,32.25,31.02,31.18,344503
2018-03-06,31.5,32.4,31.3,32.08,345123
2018-03-07,31.82,33.41,31.73,31.9,339774
2018-03-08,32.27,32.59,31.28,31.46,396828
2018-03-09,31.58,31.97,28.6,28.69,574098
2018-03-12,28.69,30.25,27.75,29.83,517869
2018-03-13,29.91,30.15,28.65,29.47,632151
2018-03-14,29.67,31.09,29.67,29.97,401532
2018-03-15,30.24,30.62,29.71,29.83,570875
2018-03-16,29.83,31.62,29.83,31.04,1966657
2018-03-19,31.05,31.31,29.7,30.18,606123
2018-03-20,29.88,30.535,29.71,29.93,458902
2018-03-21,30.06,30.44,29.705,29.87,496791
2018-03-22,29.64,30.75,29.32,29.42,410476
2018-03-23,29.58,30.26,29.08,29.47,333981
2018-03-26,29.57,30.34,29.26,29.42,252903
2018-03-27,29.45,29.66,26.99,27.45,328647
2018-03-28,27.42,27.94,26.62,27.73,555002
2018-03-29,27.76,29.96,27.76,28.97,321748
2018-04-02,28.91,29.28,28.25,28.5,223750
2018-04-03,28.78,30.16,28.78,29.18,369505
2018-04-04,28.83,29.28,28.73,29.07,224092
2018-04-05,29.29,30.045,29.03,29.83,392866
2018-04-06,29.9,30.3,29.015,29.35,278153
2018-04-09,29.44,30.16,29.28,29.74,279402
2018-04-10,30.14,31.3,30.07,31.1,258591
2018-04-11,30.99,31.765,30.92,31.14,353350
2018-04-12,31.17,31.3,30.88,30.94,159449
2018-04-13,31,31.62,30.76,31.52,301317
2018-04-16,31.68,32,29.16,30.57,978872
2018-04-17,30.77,32.675,30.52,32.39,759224
2018-04-18,32.64,34.89,32.5,34.65,954028
2018-04-19,34.76,36.17,34.361,34.91,346693
2018-04-20,34.87,34.97,33.54,33.91,159821
2018-04-23,33.89,34.88,32.711,33.87,198930
2018-04-24,33.81,33.81,31.15,32.54,385555
2018-04-25,32.33,33.64,32.15,32.88,223963
2018-04-26,33.02,33.69,32.41,32.62,182100
2018-04-27,32.52,32.83,30.84,31.21,350644
2018-04-30,31.07,32.05,31.06,31.45,268204
2018-05-01,31.13,31.25,30.27,30.86,480578
2018-05-02,31.02,32.1,30.63,31.34,953428
2018-05-03,32.15,35.39,32.11,35.3,850737
2018-05-04,35.44,39.3,35.18,39.08,615832
2018-05-07,39.3,41.22,38.9889,40.21,729403
2018-05-08,40.12,42.81,39.81,42.03,833683
2018-05-09,42.42,43.5,41.65,42.96,824156
2018-05-10,43.08,43.455,41.88,42.65,929586
2018-05-11,42.49,43.81,42.43,42.91,595093
2018-05-14,43.13,44.59,43.13,43.91,802052
2018-05-15,44.02,44.58,42.74,44.31,671335
2018-05-16,44.07,44.85,42.97,43.22,317869
2018-05-17,43.78,44.55,43.28,43.91,385182
2018-05-18,43.76,44.29,43.3,43.87,385242
2018-05-21,44.09,44.44,43.4,44.38,258540
2018-05-22,43.91,45.68,43.525,43.59,175371
2018-05-23,43.41,43.41,42.28,42.51,282957
2018-05-24,42.51,42.86,41.94,42.37,557074
2018-05-25,42.17,42.43,40.94,41.45,511699
2018-05-29,41.43,43.41,41.43,43.18,257856
2018-05-30,43.45,44.96,43.24,43.67,214058
2018-05-31,43.6,44.585,43.6,44.06,239736
2018-06-01,44.39,45.905,44.255,45.7,722909
2018-06-04,46.34,47.12,44.76,45.53,349213
2018-06-05,45.55,48.12,45.55,47.35,537212
2018-06-06,47.49,47.65,45.13,46.7,360863
2018-06-07,46.96,47.48,45.315,45.92,560035
2018-06-08,46.34,46.56,43.71,44.14,378396
2018-06-11,43.98,44.85,43.79,43.81,393324
2018-06-12,43.93,44.37,42.94,43.15,515801
2018-06-13,43.38,44.85,42.62,43.5,703589
2018-06-14,43.81,44.4,43.055,43.98,439782
2018-06-15,42.89,43.1,42.01,42.23,986743
