Date,Open,High,Low,Close,Volume
1970-01-02,0.5121,0.5121,0.5121,0.5121,1218395
1970-01-05,0.521,0.5299,0.5121,0.5121,1581774
1970-01-06,0.503,0.503,0.49402,0.503,3847558
1970-01-07,0.503,0.5121,0.503,0.5121,6305720
1970-01-08,0.5121,0.5299,0.5121,0.521,2543664
1970-01-09,0.5299,0.5389,0.5299,0.5389,2052031
1970-01-12,0.5389,0.5481,0.5389,0.5481,1453522
1970-01-13,0.557,0.5838,0.557,0.5749,3013921
1970-01-14,0.5749,0.6108,0.5749,0.6019,8443253
1970-01-15,0.5929,0.5929,0.5749,0.5838,5749961
1970-01-16,0.5838,0.5838,0.5481,0.5749,5279703
1970-01-19,0.5659,0.5659,0.5481,0.5659,4894949
1970-01-20,0.5659,0.5838,0.5659,0.5749,4146813
1970-01-21,0.5749,0.5838,0.5749,0.5749,3783433
1970-01-22,0.5749,0.5749,0.5659,0.5659,1816902
1970-01-23,0.5659,0.5659,0.5659,0.5659,2864293
1970-01-26,0.5659,0.6019,0.5659,0.5929,6177470
1970-01-27,0.5929,0.6019,0.5838,0.5838,8293625
1970-01-28,0.5838,0.6019,0.5838,0.5838,4659821
1970-01-29,0.5838,0.5838,0.5659,0.5659,4830823
1970-01-30,0.5659,0.5659,0.5481,0.557,4339191
1970-02-02,0.5659,0.5749,0.5659,0.5659,5450708
1970-02-03,0.5659,0.5749,0.557,0.5659,6091967
1970-02-04,0.5659,0.5749,0.5659,0.5749,5130076
1970-02-05,0.5659,0.5659,0.557,0.5659,5215579
1970-02-06,0.5659,0.5838,0.5659,0.5838,3355926
1970-02-09,0.5929,0.6019,0.5929,0.5929,3719307
1970-02-10,0.5929,0.5929,0.5838,0.5838,3697931
1970-02-11,0.5929,0.6108,0.5929,0.6108,3078046
1970-02-12,0.6108,0.6108,0.5929,0.5929,2394036
1970-02-13,0.5929,0.6019,0.5929,0.6019,2458162
1970-02-16,0.6019,0.6019,0.5929,0.6019,555760
1970-02-17,0.6019,0.6019,0.6019,0.6019,448882
1970-02-18,0.6108,0.6198,0.6108,0.6198,1774152
1970-02-19,0.6198,0.6198,0.6108,0.6108,1560399
1970-02-20,0.6019,0.6019,0.6019,0.6019,4531571
1970-02-24,0.6019,0.6108,0.5929,0.5929,1410772
1970-02-25,0.5929,0.6019,0.5838,0.6019,1474898
1970-02-26,0.5929,0.5929,0.5838,0.5929,2244407
1970-02-27,0.5929,0.5929,0.5838,0.5838,2436787
1970-03-02,0.5749,0.5749,0.5659,0.5659,6733226
1970-03-03,0.5659,0.5659,0.557,0.557,5835463
1970-03-04,0.557,0.557,0.5299,0.5389,12889319
1970-03-05,0.5389,0.5481,0.5389,0.5481,4082688
1970-03-06,0.5481,0.5481,0.5389,0.5389,2372660
1970-03-09,0.5389,0.5481,0.5121,0.521,8956260
1970-03-10,0.521,0.521,0.5121,0.5121,2992547
1970-03-11,0.5121,0.5299,0.5121,0.5299,4146813
1970-03-12,0.5299,0.5389,0.5299,0.5389,3184924
1970-03-13,0.5389,0.5481,0.5299,0.5389,5044577
1970-03-16,0.5299,0.5299,0.521,0.5299,4894949
1970-03-17,0.5299,0.5481,0.5299,0.5389,1923780
1970-03-18,0.5481,0.5659,0.5481,0.557,4531571
1970-03-19,0.557,0.5659,0.5481,0.557,3035294
1970-03-20,0.557,0.557,0.5481,0.5481,3697931
1970-03-23,0.5481,0.557,0.5389,0.5481,3355926
1970-03-24,0.5481,0.5659,0.5481,0.557,2693292
1970-03-25,0.5659,0.5838,0.5659,0.5749,2885669
1970-03-26,0.5749,0.5749,0.5659,0.5749,2287161
1970-03-30,0.5749,0.5838,0.5749,0.5838,1218395
1970-03-31,0.5838,0.5838,0.5749,0.5838,2052031
1970-04-01,0.5838,0.6019,0.5749,0.5929,2885669
1970-04-02,0.5929,0.5929,0.5929,0.5929,1731402
1970-04-03,0.5929,0.6019,0.5929,0.6019,2693292
1970-04-06,0.6019,0.6019,0.5838,0.5838,1474898
1970-04-07,0.5749,0.5749,0.5659,0.5659,2287161
1970-04-08,0.557,0.557,0.5481,0.557,3249050
1970-04-09,0.557,0.5659,0.5481,0.5481,2329910
1970-04-10,0.5481,0.5481,0.5389,0.5481,1389396
1970-04-13,0.5481,0.5481,0.5299,0.5299,2372660
1970-04-14,0.5299,0.5389,0.5299,0.5389,1987905
1970-04-15,0.5389,0.5481,0.5389,0.5389,2500915
1970-04-16,0.5389,0.5389,0.5299,0.5299,2778792
1970-04-17,0.5299,0.5299,0.521,0.521,3142171
1970-04-20,0.521,0.5299,0.521,0.5299,3313176
1970-04-21,0.5299,0.5481,0.521,0.521,2607791
1970-04-22,0.521,0.521,0.5121,0.5121,3847558
1970-04-23,0.5121,0.5121,0.49402,0.503,4595695
1970-04-24,0.503,0.503,0.48507,0.48507,5130076
1970-04-27,0.48507,0.48507,0.45813,0.46711,4959076
1970-04-28,0.46711,0.48507,0.45813,0.47593,5343832
1970-04-29,0.47593,0.5121,0.46711,0.5121,6091967
1970-04-30,0.5121,0.5121,0.49402,0.5121,3398676
1970-05-01,0.5121,0.5121,0.49402,0.503,3676556
1970-05-04,0.49402,0.49402,0.46711,0.46711,5386582
1970-05-05,0.46711,0.47593,0.43122,0.44912,12205309
1970-05-06,0.44912,0.47593,0.44912,0.47593,9576146
1970-05-07,0.48507,0.49402,0.48507,0.48507,3719307
1970-05-08,0.47593,0.47593,0.45813,0.47593,3526928
1970-05-11,0.47593,0.48507,0.46711,0.46711,2052031
1970-05-12,0.46711,0.49402,0.45813,0.46711,7032481
1970-05-13,0.46711,0.47593,0.45813,0.46711,4168188
1970-05-14,0.46711,0.47593,0.45813,0.47593,6027841
1970-05-15,0.47593,0.503,0.46711,0.49402,10516660
1970-05-18,0.49402,0.503,0.48507,0.48507,2885669
1970-05-19,0.48507,0.48507,0.46711,0.46711,5429333
1970-05-20,0.46711,0.47593,0.45813,0.45813,7866118
1970-05-21,0.45813,0.45813,0.44011,0.44912,20605812
1970-05-22,0.44912,0.45813,0.42214,0.43122,12354934
1970-05-25,0.42214,0.42214,0.40422,0.40422,8678381
1970-05-26,0.40422,0.41324,0.37734,0.38625,17100258
1970-05-27,0.38625,0.42214,0.38625,0.42214,10110528
1970-05-28,0.42214,0.44912,0.42214,0.44912,15774988
1970-05-29,0.44912,0.46711,0.42214,0.45813,12803817
1970-06-01,0.45813,0.47593,0.44912,0.47593,8806633
1970-06-02,0.47593,0.47593,0.45813,0.47593,9255514
1970-06-03,0.47593,0.48507,0.46711,0.47593,8143998
1970-06-04,0.47593,0.47593,0.45813,0.45813,3997184
1970-06-05,0.45813,0.46711,0.44912,0.46711,10666287
1970-06-08,0.46711,0.46711,0.44912,0.45813,2308535
1970-06-09,0.45813,0.47593,0.45813,0.46711,5493459
1970-06-10,0.46711,0.47593,0.46711,0.47593,4403317
1970-06-11,0.46711,0.46711,0.45813,0.45813,4189563
1970-06-12,0.45813,0.46711,0.44912,0.45813,4788072
1970-06-15,0.45813,0.48507,0.45813,0.48507,4488819
1970-06-16,0.48507,0.503,0.48507,0.503,7203484
1970-06-17,0.503,0.5121,0.48507,0.49402,5792712
1970-06-18,0.49402,0.5121,0.48507,0.5121,6369846
1970-06-19,0.5121,0.5121,0.503,0.503,3783433
1970-06-22,0.503,0.503,0.49402,0.503,3078046
1970-06-23,0.503,0.503,0.48507,0.48507,5643085
1970-06-24,0.48507,0.49402,0.47593,0.47593,9105886
1970-06-25,0.48507,0.49402,0.48507,0.49402,3035294
1970-06-26,0.48507,0.48507,0.46711,0.47593,5215579
1970-06-29,0.47593,0.47593,0.45813,0.46711,5065952
1970-06-30,0.46711,0.48507,0.46711,0.46711,2693292
1970-07-01,0.46711,0.47593,0.45813,0.47593,4702570
1970-07-02,0.47593,0.47593,0.45813,0.45813,4488819
1970-07-06,0.45813,0.45813,0.42214,0.42214,7117982
1970-07-07,0.42214,0.44011,0.42214,0.43122,9170013
1970-07-08,0.44011,0.48507,0.44011,0.48507,7395862
1970-07-09,0.48507,0.48507,0.45813,0.46711,8828009
1970-07-10,0.46711,0.46711,0.45813,0.45813,3954434
1970-07-13,0.45813,0.46711,0.45813,0.45813,2629163
1970-07-14,0.45813,0.46711,0.45813,0.46711,2885669
1970-07-15,0.47593,0.48507,0.47593,0.48507,8315001
1970-07-16,0.48507,0.49402,0.47593,0.47593,5621711
1970-07-17,0.48507,0.48507,0.48507,0.48507,2992547
1970-07-20,0.48507,0.48507,0.46711,0.46711,3078046
1970-07-21,0.46711,0.46711,0.45813,0.46711,3526928
1970-07-22,0.46711,0.47593,0.45813,0.45813,6027841
1970-07-23,0.45813,0.47593,0.45813,0.47593,6968356
1970-07-24,0.46711,0.46711,0.44912,0.44912,8250872
1970-07-27,0.44912,0.44912,0.43122,0.43122,12354934
1970-07-28,0.43122,0.44011,0.43122,0.44011,7930246
1970-07-29,0.44011,0.44011,0.43122,0.43122,7075232
1970-07-30,0.43122,0.43122,0.41324,0.42214,14321465
1970-07-31,0.42214,0.42214,0.40422,0.40422,6840103
1970-08-03,0.40422,0.41324,0.40422,0.40422,3676556
1970-08-04,0.40422,0.41324,0.39523,0.41324,4595695
1970-08-05,0.41324,0.41324,0.40422,0.40422,1945154
1970-08-06,0.40422,0.40422,0.39523,0.39523,3291800
1970-08-07,0.39523,0.41324,0.38625,0.39523,5493459
1970-08-10,0.39523,0.39523,0.38625,0.38625,3291800
1970-08-11,0.38625,0.39523,0.38625,0.39523,4039937
1970-08-12,0.39523,0.39523,0.36825,0.36825,8592879
1970-08-13,0.36825,0.36825,0.35035,0.36825,8956260
1970-08-14,0.36825,0.36825,0.35934,0.35934,3591054
1970-08-17,0.35934,0.37734,0.35934,0.37734,2650539
1970-08-18,0.37734,0.38625,0.37734,0.38625,5279703
1970-08-19,0.37734,0.37734,0.35934,0.36825,3933059
1970-08-20,0.36825,0.36825,0.35934,0.36825,4531571
1970-08-21,0.36825,0.38625,0.36825,0.38625,4937701
1970-08-24,0.38625,0.39523,0.37734,0.38625,9105886
1970-08-25,0.38625,0.41324,0.37734,0.40422,8806633
1970-08-26,0.40422,0.41324,0.38625,0.38625,7246235
1970-08-27,0.38625,0.40422,0.38625,0.40422,7032481
1970-08-28,0.40422,0.42214,0.40422,0.42214,8400502
1970-08-31,0.42214,0.42214,0.41324,0.41324,1795525
1970-09-01,0.41324,0.42214,0.41324,0.41324,4104062
1970-09-02,0.41324,0.42214,0.41324,0.41324,2351287
1970-09-03,0.41324,0.43122,0.41324,0.41324,2287161
1970-09-04,0.41324,0.41324,0.40422,0.41324,2885669
1970-09-08,0.41324,0.41324,0.39523,0.40422,3505554
1970-09-09,0.40422,0.41324,0.39523,0.40422,2372660
