Date,Open,High,Low,Close,Volume
1990-03-26,2.9513,2.9929,2.9513,2.9929,87694
1990-03-27,2.9678,2.9929,2.9513,2.9929,284999
1990-03-28,2.9929,3.0345,2.9513,2.9929,278605
1990-03-29,2.9929,3.0345,2.9929,3.0092,124230
1990-03-30,2.9929,3.0345,2.9014,2.9513,784670
1990-04-02,2.9263,2.9678,2.9263,2.9513,42932
1990-04-03,2.9014,2.9513,2.9014,2.9014,25577
1990-04-04,2.9014,2.918,2.8597,2.8678,161680
1990-04-05,2.9014,2.9014,2.8098,2.8098,117839
1990-04-06,2.843,2.843,2.7515,2.7849,611102
1990-04-09,2.7767,2.843,2.7767,2.843,76729
1990-04-10,2.8597,2.8847,2.818,2.8847,651300
1990-04-11,2.8847,2.9014,2.843,2.8597,145239
1990-04-12,2.8597,2.9014,2.8597,2.8928,292309
1990-04-16,2.9014,2.9014,2.8597,2.9014,228365
1990-04-17,2.9014,2.9263,2.8847,2.9263,149808
1990-04-18,2.9345,2.9513,2.8597,2.8597,259423
1990-04-19,2.9014,2.9014,2.843,2.8847,34710
1990-04-20,2.818,2.8597,2.7932,2.8597,295961
1990-04-23,2.7767,2.843,2.7767,2.7932,154378
1990-04-24,2.7932,2.8597,2.7932,2.843,176298
1990-04-25,2.7932,2.8597,2.7932,2.843,54808
1990-04-26,2.7932,2.843,2.7767,2.7767,144325
1990-04-27,2.843,2.843,2.7767,2.7932,168081
1990-04-30,2.7767,2.7932,2.735,2.735,300529
1990-05-01,2.735,2.7515,2.735,2.7515,1083365
1990-05-02,2.7515,2.7767,2.735,2.7767,720723
1990-05-03,2.7515,2.7515,2.735,2.735,721632
1990-05-04,2.735,2.7767,2.7102,2.735,823031
1990-05-07,2.735,2.7767,2.735,2.735,176298
1990-05-08,2.7767,2.7767,2.7102,2.7767,209181
1990-05-09,2.7102,2.7515,2.6768,2.7184,2208755
1990-05-10,2.6853,2.7515,2.6853,2.7434,330672
1990-05-11,2.7767,2.7932,2.7102,2.7932,105048
1990-05-14,2.7767,2.843,2.7767,2.7932,708847
1990-05-15,2.7767,2.818,2.7515,2.818,189087
1990-05-16,2.843,2.843,2.7767,2.843,66682
1990-05-17,2.843,2.8847,2.818,2.818,131537
1990-05-18,2.818,2.8597,2.818,2.818,215577
1990-05-21,2.818,2.8597,2.818,2.818,333412
1990-05-22,2.818,2.8597,2.7767,2.7932,258513
1990-05-23,2.818,2.818,2.7767,2.7767,707022
1990-05-24,2.7767,2.7932,2.7515,2.7515,111442
1990-05-25,2.7515,2.7932,2.7515,2.7767,138844
1990-05-29,2.7767,2.7767,2.735,2.735,126973
1990-05-30,2.7767,2.7767,2.735,2.735,63943
1990-05-31,2.735,2.7767,2.7102,2.735,439376
1990-06-01,2.735,2.7932,2.7102,2.7767,293221
1990-06-04,2.7515,2.7767,2.735,2.7767,283175
1990-06-05,2.7515,2.8597,2.7515,2.843,676875
1990-06-06,2.843,2.843,2.7932,2.843,109615
1990-06-07,2.7932,2.8267,2.7932,2.8267,1544667
1990-06-08,2.7932,2.843,2.7767,2.8098,162596
1990-06-11,2.7767,2.7767,2.7102,2.7184,497835
1990-06-12,2.7102,2.7767,2.7102,2.76,217406
1990-06-13,2.735,2.7767,2.735,2.7515,192740
1990-06-14,2.7434,2.7515,2.7102,2.7515,78558
1990-06-15,2.735,2.735,2.6853,2.7102,73991
1990-06-18,2.735,2.735,2.6436,2.6853,211011
1990-06-19,2.6436,2.6853,2.6436,2.6685,200966
1990-06-20,2.6685,2.7102,2.6685,2.7102,123316
1990-06-21,2.735,2.7767,2.6685,2.735,259423
1990-06-22,2.7767,2.8597,2.7515,2.7515,890627
1990-06-25,2.818,2.818,2.7767,2.7932,278605
1990-06-26,2.7932,2.843,2.7767,2.7767,151630
1990-06-27,2.7767,2.843,2.7767,2.843,21011
1990-06-28,2.843,2.843,2.7767,2.7767,42932
1990-06-29,2.818,2.818,2.7767,2.7767,200047
1990-07-02,2.7849,2.7932,2.7515,2.7932,685100
1990-07-03,2.7767,2.7767,2.7102,2.7102,80382
1990-07-05,2.7515,2.7515,2.6436,2.6436,204616
1990-07-06,2.6436,2.6853,2.6436,2.6768,57545
1990-07-09,2.6685,2.7102,2.6685,2.6685,520672
1990-07-10,2.6685,2.7102,2.6685,2.6685,256681
1990-07-11,2.6685,2.7102,2.6685,2.6853,165338
1990-07-12,2.7102,2.7102,2.6853,2.7102,44760
1990-07-13,2.7102,2.7268,2.6853,2.6853,116923
1990-07-16,2.7268,2.7932,2.7102,2.7515,1860723
1990-07-17,2.7767,2.9014,2.7767,2.8928,611102
1990-07-18,2.8847,2.9678,2.8847,2.9678,499665
1990-07-19,2.9263,2.9678,2.9263,2.9513,1713659
1990-07-20,2.9263,2.9678,2.918,2.918,242983
1990-07-23,2.9263,2.9513,2.843,2.843,270383
1990-07-24,2.843,2.8847,2.843,2.8597,306924
1990-07-25,2.8597,2.9014,2.843,2.843,136106
1990-07-26,2.8597,2.8597,2.843,2.843,313319
1990-07-27,2.843,2.8597,2.7268,2.7268,282260
1990-07-30,2.7102,2.7515,2.7102,2.7515,486876
1990-07-31,2.7102,2.7515,2.7102,2.7515,265816
1990-08-01,2.6853,2.7515,2.6853,2.7102,699713
1990-08-02,2.6436,2.7102,2.6353,2.6685,520672
1990-08-03,2.6353,2.6353,2.5773,2.5852,666827
1990-08-06,2.5852,2.6103,2.5524,2.6103,544424
1990-08-07,2.5773,2.6436,2.5773,2.5773,67596
1990-08-08,2.6189,2.6436,2.5773,2.5773,128797
1990-08-09,2.6189,2.6189,2.5773,2.5773,172646
1990-08-10,2.5773,2.5773,2.5106,2.5106,158030
