Date,Open,High,Low,Close,Volume
2010-11-17,27.481,27.481,27.481,27.481
2010-11-18,29.148,29.971,28.221,28.472,550095632
2010-11-19,28.438,28.729,27.574,28.532,129524938
2010-11-22,28.479,28.712,28.155,28.38,44019023
2010-11-23,28.272,28.306,27.64,27.685,37472375
2010-11-24,28.089,28.148,27.668,27.882,31399120
2010-11-26,27.822,28.155,27.658,28.148,14771658
2010-11-29,28.148,28.155,27.538,28.148,33358462
2010-11-30,27.922,28.523,27.781,28.479,69027573
2010-12-01,28.856,29.104,28.663,28.963,41592680
2010-12-02,29.079,29.13,28.739,28.879,27921654
2010-12-03,28.772,28.813,28.288,28.772,23292545
2010-12-06,28.712,28.963,28.655,28.712,14024857
2010-12-07,28.94,29.055,28.697,28.879,25005668
2010-12-08,28.822,28.922,28.59,28.69,15137651
2010-12-09,28.615,28.673,27.997,28.099,22108495
2010-12-10,28.189,28.306,27.922,28.155,14108005
2010-12-13,28.28,28.357,28.065,28.148,13327146
2010-12-14,28.089,28.249,27.857,28.221,18281353
2010-12-15,28.155,28.323,27.99,27.99,12228772
2010-12-16,27.957,28.197,27.947,27.99,11873069
2010-12-17,27.922,28.314,27.64,28.314,42848103
2010-12-20,28.24,28.357,28.099,28.112,14984120
2010-12-21,28.197,28.264,28.08,28.189,10822970
2010-12-22,28.08,29.104,27.922,29.079,25150067
2010-12-23,28.871,29.58,28.831,28.987,24653992
2010-12-27,28.655,29.055,28.472,28.813,8849559
2010-12-28,29.464,29.707,29.203,29.412,28224251
2010-12-29,29.539,30.229,29.355,29.997,25190765
2010-12-30,30.064,30.796,29.997,30.661,20405367
2010-12-31,30.678,30.779,30.454,30.695,7408590
2011-01-03,31.08,31.646,30.838,30.864,29885594
2011-01-04,30.895,31.637,30.546,31.561,38862737
2011-01-05,31.203,31.894,31.203,31.702,27024243
2011-01-06,31.843,32.878,31.702,32.394,46321621
2011-01-07,32.345,32.752,32.069,32.46,23900563
2011-01-10,32.761,32.777,32.015,32.113,22029157
2011-01-11,32.195,32.835,32.069,32.269,17851291
2011-01-12,32.436,32.786,31.952,32.161,20142500
2011-01-13,32.195,32.237,31.736,31.871,13649497
2011-01-14,31.795,32.035,31.678,31.812,7081452
2011-01-18,31.687,31.921,31.08,31.669,10710210
2011-01-19,31.46,31.588,31.029,31.145,15211635
2011-01-20,30.904,31.054,30.205,30.963,19027837
2011-01-21,31.086,31.519,30.661,31.012,11466318
2011-01-24,31.404,31.529,30.838,31.345,14653476
2011-01-25,31.519,32.05,31.404,31.977,14797342
2011-01-26,32.269,32.403,31.529,31.553,13855369
2011-01-27,31.812,32.436,31.669,32.202,16754160
2011-01-28,31.646,31.662,29.988,30.48,44593933
2011-01-31,30.721,30.854,29.889,30.388,16761363
2011-02-01,30.753,31.005,30.088,30.355,33736655
2011-02-02,30.362,30.445,29.631,29.714,20948037
2011-02-03,29.953,30.027,29.255,30.027,23243007
2011-02-04,30.189,30.586,29.889,30.472,13350463
2011-02-07,30.771,30.886,30.488,30.564,8808198
2011-02-08,30.788,30.854,30.314,30.721,7498486
2011-02-09,30.661,30.738,30.213,30.32,7686246
2011-02-10,30.121,30.512,29.58,29.88,13863460
2011-02-11,29.78,30.454,29.606,30.355,16233078
2011-02-14,30.436,30.445,29.539,30.221,8554797
2011-02-15,30.139,30.32,29.813,30.07,12412527
2011-02-16,30.07,30.678,29.997,30.603,10426060
2011-02-17,30.436,30.564,30.229,30.288,8963269
2011-02-18,30.328,30.613,30.297,30.405,8188152
2011-02-22,29.862,30.104,29.521,29.788,16745286
2011-02-23,29.854,29.929,28.148,28.803,33874507
2011-02-24,29.062,29.148,26.69,27.497,76327834
2011-02-25,28.038,28.479,27.523,27.685,34856422
2011-02-28,27.889,28.099,27.365,27.922,19075530
2011-03-01,28.106,28.106,27.007,27.439,32806055
2011-03-02,27.397,27.622,27.139,27.382,17143006
2011-03-03,27.382,27.622,27.19,27.505,21131677
2011-03-04,27.538,27.548,26.658,26.973,29108729
2011-03-07,26.94,27.063,26.249,26.399,18102476
2011-03-08,26.433,27.332,26.389,27.246,17423232
2011-03-09,27.263,27.281,26.733,26.856,13477322
2011-03-10,26.205,26.464,25.774,26.165,46027019
2011-03-11,26.022,26.69,26.015,26.59,16838694
2011-03-14,26.764,26.899,26.173,26.306,11980305
2011-03-15,25.8,27.056,25.524,26.94,25780855
2011-03-16,26.998,27.091,26.15,26.464,16991697
2011-03-17,26.8,26.973,26.09,26.182,13242737
2011-03-18,26.433,26.607,26.165,26.524,11841706
2011-03-21,26.847,26.899,26.007,26.05,15830880
2011-03-22,26.022,26.105,25.407,25.598,20393153
2011-03-23,25.484,26.05,25.148,25.949,27639223
2011-03-24,26.081,26.314,26.015,26.142,18892580
2011-03-25,26.223,26.399,25.89,26.205,18302892
2011-03-28,26.298,26.298,25.69,25.69,12373645
2011-03-29,25.757,25.957,25.548,25.899,11649727
2011-03-30,25.949,26.35,25.848,26.273,9192079
2011-03-31,26.15,26.273,25.816,25.84,10769309
2011-04-01,26.142,27.172,25.682,26.99,35872229
2011-04-04,27.063,27.246,26.815,26.973,14807897
2011-04-05,26.94,27.373,26.733,27.373,12136457
2011-04-06,27.481,27.713,27.082,27.373,9764130
2011-04-07,27.347,27.347,26.707,26.907,13484652
2011-04-08,26.982,27.272,26.081,26.249,19279313
2011-04-11,26.099,26.191,25.44,25.624,18209497
2011-04-12,25.316,26.099,25.064,25.941,23594918
2011-04-13,26.007,26.081,25.474,25.699,16536929
2011-04-14,25.598,25.699,25.274,25.466,10820170
2011-04-15,25.474,25.582,25.135,25.183,11868245
2011-04-18,25.064,25.266,24.898,24.958,15303418
2011-04-19,24.907,24.907,24.291,24.641,23841852
2011-04-20,24.784,25.298,24.5,24.926,26465441
2011-04-21,25.064,25.816,24.989,25.774,22728481
2011-04-25,25.816,25.974,25.249,25.933,18541854
2011-04-26,26.142,26.241,25.782,26.042,18804401
2011-04-27,26.205,26.474,26.05,26.464,17947707
2011-04-28,26.399,26.725,26.215,26.573,18985570
2011-04-29,26.64,27.131,26.573,26.725,16536625
2011-05-02,26.99,27.063,26.582,26.8,13223712
2011-05-03,26.964,27.648,26.949,27.474,35881202
2011-05-04,27.612,27.873,27.239,27.514,24602302
2011-05-05,26.698,27.216,26.223,26.664,31963719
2011-05-06,27.063,27.148,26.516,26.573,15373836
2011-05-09,26.433,26.698,26.115,26.142,12787112
2011-05-10,26.205,26.35,26.09,26.323,9416624
2011-05-11,26.29,26.531,25.908,26.066,10893778
2011-05-12,25.882,26.314,25.757,26.165,16917580
2011-05-13,26.182,26.267,25.69,25.874,13013491
2011-05-16,26.022,26.232,25.882,25.899,8740832
2011-05-17,25.908,26.132,25.673,25.899,13398328
2011-05-18,25.874,26.332,25.816,26.249,11945023
2011-05-19,26.258,26.474,26.073,26.205,11501899
2011-05-20,26.115,26.232,25.899,25.966,8676158
2011-05-23,25.548,25.949,25.4,25.782,10772058
2011-05-24,25.924,25.981,25.4,25.673,10541469
2011-05-25,25.449,26.132,25.4,26.042,17181242
2011-05-26,25.882,25.899,25.415,25.548,14379804
2011-05-27,25.624,26.215,25.474,26.05,10867253
2011-05-31,26.182,26.54,25.924,26.489,27405676
2011-06-01,26.399,26.399,25.109,25.174,22947975
2011-06-02,25.257,25.449,24.482,24.649,26927688
2011-06-03,24.383,24.617,24.067,24.25,26369172
2011-06-06,24.169,24.491,23.776,23.783,16105446
2011-06-07,24.058,24.185,23.641,23.967,18342391
