Date,Open,High,Low,Close,Volume
1993-03-22,2.3173,2.3544,2.206,2.206,1887499
1993-03-23,2.2432,2.3544,2.1596,2.3544,2158066
1993-03-24,2.3173,2.3544,2.2432,2.299,1088744
1993-03-25,2.299,2.299,2.206,2.206,1117223
1993-03-26,2.2432,2.2432,2.206,2.206,1430513
1993-03-29,2.2432,2.2802,2.1596,2.1967,559258
1993-03-30,2.2432,2.2432,2.1596,2.206,700366
1993-03-31,2.206,2.206,2.1412,2.1412,1796876
1993-04-01,2.1412,2.206,2.1228,2.1412,341767
1993-04-02,2.1412,2.1412,1.9929,2.0486,1963876
1993-04-05,2.0671,2.1228,1.9929,2.0857,1565147
1993-04-06,2.1596,2.1596,2.0857,2.0857,1170302
1993-04-07,2.0486,2.104,2.0115,2.0115,1312704
1993-04-08,1.9929,2.0671,1.9464,1.9653,1068030
1993-04-12,1.9282,1.9653,1.9094,1.9464,1329535
1993-04-13,1.9282,1.9653,1.8725,1.8911,2163244
1993-04-14,1.9282,1.9653,1.8911,1.9653,3261048
1993-04-15,1.9653,1.9653,1.9094,1.9094,445333
1993-04-16,1.9094,1.9653,1.9094,1.9094,203252
1993-04-19,1.9464,1.9464,1.8911,1.8911,678361
1993-04-20,1.8911,1.9282,1.8911,1.8911,231729
1993-04-21,1.9282,1.9282,1.8542,1.8725,634346
1993-04-22,1.9094,1.9653,1.8725,1.9653,412972
1993-04-23,1.9929,1.9929,1.9094,1.9929,128162
1993-04-26,1.9929,1.9929,1.9094,1.9094,201954
1993-04-27,1.9464,2.1228,1.8911,2.1228,1122400
1993-04-28,2.1228,2.1228,2.0671,2.104,375429
1993-04-29,2.0671,2.0671,2.0301,2.0671,344358
1993-04-30,2.0486,2.1785,2.0486,2.1228,1288103
1993-05-03,2.1228,2.2432,2.1228,2.2432,538546
1993-05-04,2.2432,2.2432,2.1785,2.2432,261505
1993-05-05,2.1785,2.4284,2.1785,2.3544,1311408
1993-05-06,2.3544,2.3913,2.2618,2.299,645997
1993-05-07,2.299,2.3913,2.299,2.336,510066
1993-05-10,2.336,2.4562,2.336,2.3913,376725
1993-05-11,2.4284,2.4284,2.3731,2.3731,422034
1993-05-12,2.3731,2.4102,2.3731,2.3731,156644
1993-05-13,2.4102,2.4102,2.3544,2.3913,327526
1993-05-14,2.3913,2.4102,2.3544,2.3731,220079
1993-05-17,2.4102,2.4284,2.3731,2.3913,154053
1993-05-18,2.4284,2.4284,2.3913,2.3913,866073
1993-05-19,2.4284,2.4934,2.4284,2.475,1416273
1993-05-20,2.4562,2.5119,2.4562,2.5119,286103
1993-05-21,2.4562,2.4934,2.4562,2.4562,240789
1993-05-24,2.475,2.475,2.4562,2.4562,239499
1993-05-25,2.475,2.475,2.3913,2.4284,401322
1993-05-26,2.3731,2.3913,2.3173,2.3451,911384
1993-05-27,2.3731,2.3731,2.299,2.299,216195
1993-05-28,2.299,2.3173,2.206,2.2432,730142
1993-06-01,2.2432,2.2432,2.206,2.206,102272
1993-06-02,2.2247,2.2432,2.206,2.2432,488056
1993-06-03,2.2247,2.2432,2.206,2.2432,723670
1993-06-04,2.206,2.2618,2.206,2.206,943748
1993-06-07,2.1785,2.2432,2.0857,2.1785,1233737
1993-06-08,2.1228,2.1596,2.0301,2.0857,1302345
1993-06-09,2.0301,2.0857,1.9929,2.0301,529484
1993-06-10,2.0301,2.1228,2.0301,2.0671,633051
1993-06-11,2.1228,2.3913,2.1134,2.3544,2275872
1993-06-14,2.3731,2.4284,2.336,2.3731,1024011
1993-06-15,2.4102,2.4102,2.336,2.3544,798757
1993-06-16,2.336,2.3731,2.336,2.3731,324938
1993-06-17,2.3544,2.3731,2.336,2.336,78970
1993-06-18,2.3731,2.3731,2.336,2.336,72496
1993-06-21,2.3731,2.4934,2.336,2.4934,715900
1993-06-22,2.4934,2.4934,2.4284,2.4284,69906
1993-06-23,2.4102,2.4562,2.4102,2.4562,116514
1993-06-24,2.475,2.6047,2.4102,2.5863,1365783
1993-06-25,2.5676,2.6418,2.5306,2.5306,1075795
1993-06-28,2.5306,2.5676,2.5306,2.5491,332706
1993-06-29,2.5306,2.5491,2.4284,2.475,286103
1993-06-30,2.4284,2.5119,2.4284,2.5119,107450
1993-07-01,2.4562,2.5119,2.4102,2.4102,419445
1993-07-02,2.4562,2.475,2.4102,2.475,311995
1993-07-06,2.4284,2.475,2.4284,2.4284,159234
1993-07-07,2.475,2.475,2.4284,2.4284,388376
1993-07-08,2.4284,2.4934,2.3913,2.475,987764
1993-07-09,2.5119,2.5119,2.475,2.475,54374
1993-07-12,2.5119,2.5119,2.475,2.475,1132756
1993-07-13,2.475,2.5119,2.475,2.5119,84148
1993-07-14,2.5119,2.5119,2.4562,2.4562,819467
1993-07-15,2.4562,2.5119,2.4562,2.5119,1068030
1993-07-16,2.4934,2.4934,2.4934,2.4934,440160
1993-07-19,2.4284,2.5119,2.4284,2.4562,748269
1993-07-20,2.4284,2.475,2.4284,2.4284,174767
1993-07-21,2.4284,2.4562,2.3173,2.336,550195
1993-07-22,2.3544,2.3544,2.1785,2.2432,800049
1993-07-23,2.2432,2.299,2.2432,2.2432,348242
1993-07-26,2.2802,2.299,2.2247,2.2618,454399
1993-07-27,2.299,2.299,2.2247,2.2618,590328
1993-07-28,2.1785,2.2618,2.1785,2.1785,296457
1993-07-29,2.1785,2.2618,2.1785,2.2247,596798
1993-07-30,2.2618,2.2802,2.2247,2.2247,1808527
1993-08-02,2.2618,2.2618,2.2247,2.2618,98387
1993-08-03,2.2247,2.2618,2.2247,2.2247,362480
1993-08-04,2.2247,2.2618,2.2247,2.2432,40131
1993-08-05,2.2618,2.336,2.2247,2.336,1027895
1993-08-06,2.336,2.3544,2.299,2.336,271862
1993-08-09,2.3913,2.4102,2.3544,2.4102,356009
1993-08-10,2.4102,2.475,2.3544,2.475,371545
1993-08-11,2.475,2.4934,2.4562,2.4934,419445
1993-08-12,2.4562,2.4934,2.4562,2.475,174767
1993-08-13,2.4934,2.5029,2.4562,2.5029,771569
1993-08-16,2.5119,2.5119,2.475,2.475,592918
1993-08-17,2.5119,2.5119,2.475,2.475,674474
1993-08-18,2.4934,2.5119,2.475,2.5119,501004
1993-08-19,2.5029,2.5119,2.475,2.475,601978
1993-08-20,2.5119,2.5119,2.475,2.4934,345650
1993-08-23,2.475,2.5119,2.475,2.5119,967051
1993-08-24,2.475,2.5119,2.3913,2.4102,327526
1993-08-25,2.3913,2.475,2.3913,2.475,289985
1993-08-26,2.475,2.475,2.4102,2.4102,112628
1993-08-27,2.475,2.475,2.4102,2.4284,173472
1993-08-30,2.4102,2.475,2.4102,2.4284,40131
1993-08-31,2.4102,2.475,2.4102,2.4102,102272
1993-09-01,2.4102,2.4934,2.4102,2.4934,885492
1993-09-02,2.5306,2.5863,2.4562,2.475,3301177
1993-09-03,2.4934,2.4934,2.4562,2.475,851836
1993-09-07,2.4934,2.5491,2.4562,2.5491,1684248
1993-09-08,2.5491,2.5863,2.5306,2.5863,869955
1993-09-09,2.5863,2.725,2.5676,2.7067,1096509
1993-09-10,2.7437,2.8365,2.7437,2.8182,792280
1993-09-13,2.781,2.9386,2.781,2.8918,2221499
1993-09-14,2.9198,2.9198,2.8365,2.9198,938570
1993-09-15,2.8737,2.9198,2.8737,2.9198,1074501
1993-09-16,2.9198,2.9198,2.8737,2.9198,146290
1993-09-17,2.8737,2.9386,2.8737,2.9014,402615
1993-09-20,2.8737,2.9198,2.725,2.7437,1066735
1993-09-21,2.781,2.781,2.6232,2.6695,521716
1993-09-22,2.6695,2.6695,2.6047,2.6047,392256
1993-09-23,2.5676,2.6232,2.5306,2.5676,598095
1993-09-24,2.5491,2.5676,2.4102,2.4562,1053788
1993-09-27,2.475,2.5306,2.4562,2.5029,897144
1993-09-28,2.5491,2.7067,2.5119,2.6882,1895264
1993-09-29,2.6882,2.781,2.6695,2.7437,1295875
1993-09-30,2.7621,2.7621,2.7067,2.725,946336
1993-10-01,2.7621,2.7621,2.6418,2.6695,335297
1993-10-04,2.7067,2.7067,2.6418,2.6418,243382
1993-10-05,2.6418,2.6695,2.5491,2.5491,539839
1993-10-06,2.5863,2.5863,2.5491,2.5676,383196
1993-10-07,2.6047,2.6695,2.5863,2.6232,1087444
1993-10-08,2.6232,2.6232,2.5491,2.5583,800049
1993-10-11,2.6047,2.6047,2.5491,2.5863,199367
1993-10-12,2.6047,2.6047,2.5491,2.6047,772863
1993-10-13,2.5491,2.6882,2.5491,2.6232,744385
1993-10-14,2.6882,2.781,2.6232,2.7067,835001
1993-10-15,2.7067,2.7437,2.7067,2.7437,247265
1993-10-18,2.7437,2.781,2.725,2.781,670592
1993-10-19,2.781,2.781,2.725,2.725,379310
1993-10-20,2.781,2.781,2.6882,2.6882,371545
1993-10-21,2.6695,2.725,2.6695,2.7067,959283
1993-10-22,2.6695,2.725,2.6232,2.6695,523010
1993-10-25,2.6232,2.6882,2.6232,2.6418,42721
1993-10-26,2.6418,2.6418,2.5676,2.6047,409087
1993-10-27,2.5676,2.6047,2.5676,2.5863,91915
1993-10-28,2.5676,2.5863,2.5306,2.5769,704252
1993-10-29,2.5863,2.6232,2.5676,2.6232,554078
1993-11-01,2.6232,2.7991,2.6232,2.781,2609874
1993-11-02,2.8549,2.9756,2.8182,2.9569,2709554
1993-11-03,2.9569,3.0496,2.9198,2.994,2837718
1993-11-04,2.994,2.994,2.9198,2.9569,1332123
1993-11-05,2.9386,2.9756,2.8549,2.9569,576087
1993-11-08,2.9756,2.9756,2.8918,2.9198,143701
1993-11-09,3.1052,3.3834,3.0868,3.3558,3081101
1993-11-10,3.4203,3.476,3.3834,3.4576,1113337
1993-11-11,3.4019,3.5502,3.3834,3.5502,1215609
1993-11-12,3.5502,3.5966,3.513,3.513,1277749
1993-11-15,3.513,3.5686,3.3558,3.3558,2517957
1993-11-16,3.4019,3.4203,3.1889,3.2628,3973061
1993-11-17,3.2441,3.2628,3.1329,3.2071,1866783
1993-11-18,3.2071,3.2628,3.1889,3.2166,2050615
1993-11-19,3.2071,3.2441,3.1889,3.2441,3947172
1993-11-22,3.2441,3.2441,3.1516,3.17,880313
1993-11-23,3.1516,3.2071,3.1516,3.2071,459575
1993-11-24,3.2071,3.2071,3.17,3.17,78970
1993-11-26,3.2071,3.2071,3.17,3.2071,19419
1993-11-29,3.1889,3.2071,3.0681,3.0868,6624364
1993-11-30,3.0868,3.1052,2.8918,2.994,2881736
1993-12-01,2.994,3.2441,2.9569,3.2257,4269524
1993-12-02,3.2906,3.2997,3.0868,3.17,2593044
1993-12-03,3.1889,3.1889,3.0681,3.0681,1025308
1993-12-06,3.0681,3.17,3.0496,3.17,3916106
1993-12-07,3.2071,3.2441,3.0868,3.0868,1751564
1993-12-08,3.1329,3.1516,3.0868,3.1329,529484
1993-12-09,3.1329,3.1329,3.031,3.0681,735323
1993-12-10,3.0681,3.0868,2.8918,2.9386,1614341
1993-12-13,2.994,2.994,2.9569,2.994,840181
1993-12-14,2.994,2.994,2.9569,2.994,396140
1993-12-15,2.9569,2.994,2.9569,2.994,190302
1993-12-16,2.9386,2.9756,2.8918,2.8918,337885
1993-12-17,2.9569,3.1516,2.8918,3.1052,3711560
1993-12-20,3.1889,3.2257,3.1052,3.2257,1725675
1993-12-21,3.2257,3.2814,3.17,3.2814,4528440
1993-12-22,3.2814,3.2997,3.2257,3.2628,3037083
1993-12-23,3.2814,3.2997,3.2628,3.2628,750858
1993-12-27,3.2628,3.3187,3.2628,3.2997,2001421
1993-12-28,3.3187,3.3369,3.2814,3.2997,1985882
1993-12-29,3.2997,3.3187,3.2814,3.3187,679652
1993-12-30,3.3187,3.3558,3.2814,3.3187,3219619
1993-12-31,3.3187,3.3558,3.2814,3.2906,3294706
1994-01-03,3.2814,3.3187,3.2071,3.2257,939864
1994-01-04,3.2814,3.2814,3.17,3.1979,1264804
1994-01-05,3.17,3.2071,3.0127,3.1052,3205380
1994-01-06,3.0681,3.2257,3.0681,3.1979,3513491
1994-01-07,3.2257,3.2257,3.17,3.1889,547609
1994-01-10,3.2071,3.2441,3.17,3.2166,2007892
1994-01-11,3.2441,3.2441,3.2071,3.2071,1222081
1994-01-12,3.2257,3.2441,3.17,3.2441,1258332
1994-01-13,3.2071,3.3369,3.1979,3.3187,1619519
1994-01-14,3.2814,3.4389,3.2814,3.4019,2251273
1994-01-17,3.4389,3.476,3.3834,3.476,902322
1994-01-18,3.476,3.6335,3.4389,3.5872,3842313
1994-01-19,3.5502,3.6335,3.5502,3.5502,1648001
1994-01-20,3.5502,3.6335,3.5502,3.5686,2774282
1994-01-21,3.6153,3.6153,3.5502,3.5502,2375555
1994-01-24,3.5317,3.6335,3.5317,3.6153,1404620
1994-01-25,3.5502,3.5966,3.5502,3.5966,761214
1994-01-26,3.5966,3.5966,3.5317,3.5317,1954816
1994-01-27,3.5317,3.5966,3.476,3.5036,3130292
1994-01-28,3.5317,3.6153,3.476,3.5966,1268687
1994-01-31,3.5502,3.6153,3.476,3.5966,2776873
1994-02-01,3.5502,3.6896,3.5502,3.6703,2605991
1994-02-02,3.6335,3.6896,3.6335,3.6703,1282928
1994-02-03,3.6524,3.782,3.6335,3.7542,2732856
1994-02-04,3.782,3.8376,3.6335,3.6615,4356256
1994-02-07,3.5502,3.6335,3.4576,3.6335,4813248
1994-02-08,3.8191,3.8654,3.6703,3.7074,10093837
1994-02-09,3.7074,3.7074,3.5686,3.5686,4331665
1994-02-10,3.6153,3.6524,3.5686,3.6153,2104985
1994-02-11,3.6153,3.6335,3.5502,3.5966,635638
1994-02-14,3.5686,3.6153,3.513,3.6153,3193729
1994-02-15,3.6703,3.6703,3.6153,3.6335,963168
1994-02-16,3.6524,3.6524,3.6153,3.6335,746973
1994-02-17,3.6703,3.7074,3.6524,3.6524,1021422
1994-02-18,3.6703,3.6703,3.5686,3.5686,1321765
1994-02-22,3.6153,3.6896,3.5686,3.6153,1172890
1994-02-23,3.6703,3.6896,3.5966,3.5966,2476533
1994-02-24,3.5502,3.5966,3.4945,3.5225,1521132
1994-02-25,3.4945,3.513,3.4389,3.476,903616
1994-02-28,3.4576,3.476,3.3369,3.476,6052160
1994-03-01,3.4389,3.476,3.4389,3.476,1314000
1994-03-02,3.4203,3.5317,3.3834,3.5317,2414392
1994-03-03,3.5317,3.5502,3.476,3.5317,774156
1994-03-04,3.4945,3.5317,3.476,3.5036,684835
1994-03-07,3.5317,3.5502,3.513,3.5502,1105570
1994-03-08,3.5502,3.5502,3.513,3.5225,1500416
1994-03-09,3.513,3.5502,3.4945,3.5317,309407
1994-03-10,3.513,3.5317,3.4576,3.513,1051197
1994-03-11,3.476,3.513,3.4576,3.476,402615
1994-03-14,3.4576,3.513,3.4576,3.476,1842186
1994-03-15,3.476,3.5317,3.476,3.4945,2142528
1994-03-16,3.4945,3.5317,3.4203,3.4203,897144
1994-03-17,3.476,3.476,3.3187,3.3187,1447341
1994-03-18,3.3187,3.3558,3.2814,3.3187,569616
1994-03-21,3.3187,3.3558,3.2441,3.2628,1122400
1994-03-22,3.2997,3.2997,3.2441,3.2997,1521132
1994-03-23,3.2628,3.4019,3.2628,3.3834,2286230
1994-03-24,3.3558,3.3834,3.2628,3.2628,1724380
1994-03-25,3.2628,3.2997,3.0681,3.0681,3538084
1994-03-28,3.1052,3.1052,2.781,2.9386,5252112
1994-03-29,2.9569,3.0127,2.8549,2.8549,1935396
1994-03-30,2.8737,2.8918,2.8365,2.8918,1609163
1994-03-31,2.8737,2.9198,2.7991,2.8086,1345067
1994-04-04,2.7437,2.7437,2.6232,2.7067,2549029
1994-04-05,2.781,2.9386,2.781,2.8182,5019085
1994-04-06,2.8182,2.8182,2.7067,2.7067,3741335
1994-04-07,2.7067,2.725,2.6232,2.6603,4805477
1994-04-08,2.6418,2.6882,2.3913,2.4562,2446755
1994-04-11,2.4102,2.5583,2.4102,2.5306,3416397
1994-04-12,2.5863,2.6695,2.5491,2.5863,3198907
1994-04-13,2.6695,2.6695,2.475,2.475,2227971
1994-04-14,2.4562,2.4934,2.3913,2.4284,2309532
1994-04-15,2.4284,2.475,2.3913,2.4102,1365783
1994-04-18,2.4284,2.4562,2.336,2.3913,2454521
1994-04-19,2.3913,2.4562,2.206,2.2432,2894681
1994-04-20,2.2432,2.2802,2.1596,2.1596,2925753
1994-04-21,2.2247,2.2802,2.206,2.2618,6957071
1994-04-22,2.299,2.3544,2.2802,2.3173,4097344
1994-04-25,2.336,2.4934,2.299,2.475,2989188
1994-04-26,2.4562,2.6695,2.4562,2.6418,5004845
1994-04-28,2.6695,2.781,2.6695,2.7437,2829952
1994-04-29,2.781,2.8182,2.7067,2.781,6916940
1994-05-02,2.7991,2.8365,2.7346,2.7346,3310240
1994-05-03,2.781,2.781,2.6232,2.6882,3727096
1994-05-04,2.6695,2.6882,2.6232,2.6232,3786649
1994-05-05,2.6695,2.6695,2.3913,2.3913,2567151
1994-05-06,2.336,2.4284,2.3173,2.3544,3201496
1994-05-09,2.3173,2.336,2.1785,2.2618,3077219
1994-05-10,2.299,2.3173,2.2247,2.2618,3701198
1994-05-11,2.2618,2.2802,2.0857,2.104,2897267
1994-05-12,2.1412,2.3265,2.1228,2.3173,3171719
1994-05-13,2.336,2.3731,2.299,2.3731,1350246
1994-05-16,2.3731,2.3913,2.3173,2.336,1407210
1994-05-17,2.3173,2.3544,2.2618,2.2802,798757
1994-05-18,2.3173,2.4934,2.2802,2.438,1733443
1994-05-19,2.4934,2.6047,2.4284,2.5863,2704376
1994-05-20,2.5306,2.6047,2.4934,2.4934,1364491
1994-05-23,2.5306,2.5676,2.4934,2.5676,986468
1994-05-24,2.5676,2.5676,2.475,2.5491,2620228
1994-05-25,2.5491,2.5491,2.4562,2.5119,934688
1994-05-26,2.5306,2.5306,2.4562,2.475,1286812
1994-05-27,2.5306,2.6232,2.475,2.5863,1326942
1994-05-31,2.5863,2.6882,2.5863,2.6882,1829240
1994-06-01,2.6695,2.725,2.6047,2.6882,1035664
1994-06-02,2.7437,2.7991,2.725,2.781,2238325
1994-06-03,2.781,2.8365,2.725,2.781,1073208
1994-06-06,2.8182,2.8737,2.781,2.8182,567025
1994-06-07,2.8182,2.8182,2.6882,2.6882,3008603
1994-06-08,2.725,2.725,2.5491,2.5863,4204794
1994-06-09,2.6047,2.6047,2.4284,2.4934,2151591
1994-06-10,2.5119,2.5863,2.4562,2.5863,1416273
1994-06-13,2.5863,2.6232,2.5676,2.6047,384489
1994-06-14,2.5676,2.7067,2.5676,2.7067,1247977
1994-06-15,2.7067,2.7437,2.6882,2.7067,932096
1994-06-16,2.6882,2.7437,2.5676,2.5769,1482294
1994-06-17,2.6047,2.6418,2.5676,2.5863,523010
1994-06-20,2.5676,2.5863,2.5119,2.5306,1090035
1994-06-21,2.475,2.5119,2.4284,2.4562,1666124
1994-06-22,2.4562,2.4934,2.4284,2.475,1407210
1994-06-23,2.4562,2.4934,2.336,2.3451,3864320
1994-06-24,2.336,2.5119,2.2802,2.4284,2410506
1994-06-27,2.3913,2.475,2.3544,2.4102,767686
1994-06-28,2.4562,2.5119,2.4562,2.5029,1606570
1994-06-29,2.475,2.6695,2.475,2.6232,2013071
1994-06-30,2.6418,2.6418,2.5676,2.5676,2721208
1994-07-01,2.5769,2.6047,2.5676,2.6047,1302345
1994-07-05,2.6232,2.6695,2.5676,2.5863,1644117
1994-07-06,2.6418,2.6418,2.5863,2.6418,1264804
1994-07-07,2.6047,2.6418,2.5863,2.6232,236910
1994-07-08,2.5491,2.6882,2.5491,2.6695,2932222
1994-07-11,2.6232,2.7437,2.6047,2.7067,2132174
1994-07-12,2.6882,2.7437,2.6695,2.7067,945043
1994-07-13,2.7067,2.9569,2.7067,2.9198,6869038
1994-07-14,2.9569,3.031,2.9198,2.994,5639187
