Date,Open,High,Low,Close,Volume
2005-02-25,42.271,42.64,42.197,42.501,35923
2005-02-28,42.759,42.855,42.242,42.51,46822
2005-03-01,42.73,43.026,42.621,43.026,76270
2005-03-02,42.658,43.141,42.474,42.826,22980
2005-03-03,42.845,42.845,42.232,42.547,140890
2005-03-04,42.739,42.975,42.567,42.63,43261
2005-03-07,42.64,43.503,42.64,43.15,50378
2005-03-08,43.234,43.437,42.807,42.855,42287
2005-03-09,42.855,43.083,42.668,42.768,49302
2005-03-10,42.778,42.929,42.343,42.759,28693
2005-03-11,43.011,43.011,42.168,42.281,37003
2005-03-14,42.437,42.484,42.197,42.39,35274
2005-03-15,42.456,42.528,41.954,41.954,26106
2005-03-16,41.778,42.177,41.481,41.611,95473
2005-03-17,41.547,41.768,41.445,41.528,42614
2005-03-18,41.547,41.575,41.139,41.203,50919
2005-03-21,41.435,41.556,41.046,41.38,50485
2005-03-22,41.481,41.639,40.962,41.019,37111
2005-03-23,40.99,41.399,40.972,41.12,28591
2005-03-24,41.323,41.575,41.286,41.343,55020
2005-03-28,41.435,41.621,41.267,41.267,221587
2005-03-29,41.129,41.453,40.831,41.111,171095
2005-03-30,41.177,41.684,41.101,41.592,33441
2005-03-31,41.675,41.703,41.445,41.528,28591
2005-04-01,41.9,41.928,41.139,41.221,50273
2005-04-04,41.23,41.416,40.895,41.39,51890
2005-04-05,41.39,41.547,41.212,41.286,30206
2005-04-06,41.435,41.684,41.203,41.212,29235
2005-04-07,41.294,41.891,41.294,41.891,24057
2005-04-08,41.759,41.937,41.445,41.445,49194
2005-04-11,41.528,41.575,41.195,41.221,30206
2005-04-12,41.212,41.5,40.703,41.5,43044
2005-04-13,41.294,41.304,40.676,40.787,56961
2005-04-14,40.731,40.814,40.128,40.183,113273
2005-04-15,39.285,39.498,38.72,38.913,201090
2005-04-18,38.923,39.146,38.72,38.932,73790
2005-04-19,39.413,39.554,39.108,39.384,50273
2005-04-20,39.748,39.886,39.061,39.146,122016
2005-04-21,39.534,40.358,39.489,40.165,274231
2005-04-22,40.055,40.099,39.47,39.805,147150
2005-04-25,39.987,40.315,39.886,40.109,276818
2005-04-26,39.942,40.433,39.665,39.665,114891
2005-04-27,39.442,39.951,39.384,39.795,74438
2005-04-28,39.665,39.805,39.285,39.285,32797
2005-04-29,39.712,39.823,39.21,39.768,27400
2005-05-02,39.951,40.055,39.636,39.933,82312
2005-05-03,39.849,40.306,39.777,39.997,22980
2005-05-04,40.091,40.657,40.064,40.488,56528
2005-05-05,40.622,40.741,40.306,40.433,30206
2005-05-06,40.787,40.814,40.555,40.638,76483
2005-05-09,40.584,40.86,40.468,40.86,38619
2005-05-10,40.63,40.638,40.183,40.332,56961
2005-05-11,40.574,40.694,40.055,40.694,65916
2005-05-12,40.602,40.98,40.488,40.712,90188
2005-05-13,40.814,41.462,40.804,41.187,113273
2005-05-16,41.249,41.703,41.203,41.639,41859
2005-05-17,41.481,41.891,41.314,41.824,72279
2005-05-18,41.723,42.64,41.723,42.484,158152
2005-05-19,42.605,42.845,42.547,42.826,67422
2005-05-20,42.778,42.975,42.614,42.956,51675
2005-05-23,43.011,43.262,42.912,43.103,72711
2005-05-24,43.036,43.399,42.874,43.3,75192
2005-05-25,43.196,43.215,42.874,43.215,51025
2005-05-26,43.335,43.772,43.335,43.622,59227
2005-05-27,43.622,43.67,43.39,43.631,142615
2005-05-31,43.66,43.678,43.335,43.39,159984
2005-06-01,43.39,44.002,43.39,43.779,249419
2005-06-02,43.752,44.012,43.752,44.012,271104
2005-06-03,43.975,43.975,43.335,43.521,50811
2005-06-06,43.464,43.493,43.159,43.381,57284
2005-06-07,43.53,43.864,43.131,43.215,470033
2005-06-08,43.327,43.493,43.036,43.234,127944
2005-06-09,43.215,43.548,42.965,43.521,39806
2005-06-10,43.456,43.456,42.855,43.15,83931
2005-06-13,43.176,43.513,42.965,43.272,29666
2005-06-14,43.243,43.399,42.929,42.992,27724
2005-06-15,43.141,43.327,42.595,43.234,82959
2005-06-16,43.074,43.493,43.074,43.437,164839
2005-06-17,43.576,43.697,43.327,43.399,31613
2005-06-20,43.196,43.548,42.965,43.281,58363
2005-06-21,43.428,43.622,43.206,43.566,33766
2005-06-22,43.752,43.806,43.503,43.67,47900
2005-06-23,43.798,44.178,43.371,43.381,191701
2005-06-24,43.29,43.29,42.695,42.721,89001
2005-06-27,42.73,42.788,42.232,42.408,55990
2005-06-28,42.519,42.938,42.399,42.797,40236
2005-06-29,42.938,43.083,42.739,42.884,48868
2005-06-30,43.001,43.018,42.418,42.427,69477
2005-07-01,42.711,42.711,42.437,42.538,19742
2005-07-05,42.214,42.956,42.214,42.73,144342
2005-07-06,42.749,43.225,42.749,42.835,22659
2005-07-07,42.324,42.975,42.324,42.902,47577
2005-07-08,42.965,43.845,42.948,43.845,50705
2005-07-11,43.957,44.216,43.864,44.178,72496
2005-07-12,44.279,44.688,44.068,44.54,70877
2005-07-13,44.577,44.854,44.495,44.801,75192
2005-07-14,45.263,45.355,44.957,45.094,220290
2005-07-15,44.985,45.245,44.873,45.052,117588
2005-07-18,45.094,45.094,44.846,44.957,74221
2005-07-19,45.19,45.745,44.947,45.698,138085
2005-07-20,44.985,45.679,44.837,45.552,50164
2005-07-21,45.506,45.506,45.061,45.069,75949
2005-07-22,45.19,45.347,44.846,45.114,40024
2005-07-25,45.114,45.282,44.819,44.901,58363
2005-07-26,45.124,45.208,44.901,45.142,59873
2005-07-27,44.967,45.364,44.829,45.235,40455
2005-07-28,45.263,45.393,45.052,45.328,29235
2005-07-29,45.282,45.338,45.004,45.114,49949
2005-08-01,45.18,45.299,45.034,45.114,41749
2005-08-02,45.124,45.772,45.124,45.641,79076
2005-08-03,45.458,45.906,45.458,45.791,50055
2005-08-04,45.625,45.801,45.328,45.468,44339
2005-08-05,45.328,45.486,45.142,45.328,26106
2005-08-08,45.282,45.42,44.939,44.975,62463
2005-08-09,45.17,45.496,45.133,45.208,139813
2005-08-10,45.309,45.515,44.595,44.819,44770
2005-08-11,44.697,45.014,44.65,44.725,43905
2005-08-12,44.504,44.614,44.262,44.449,58253
2005-08-15,44.449,44.91,44.317,44.801,33229
2005-08-16,44.641,44.688,44.095,44.336,60414
2005-08-17,44.392,44.837,44.392,44.65,43044
2005-08-18,44.495,44.65,44.317,44.355,41962
2005-08-19,44.54,44.631,44.355,44.355,30962
2005-08-22,44.56,44.829,44.252,44.533,371323
2005-08-23,44.533,44.659,44.317,44.577,35493
2005-08-24,44.345,44.91,44.207,44.308,50919
2005-08-25,44.317,44.504,44.271,44.308,24597
2005-08-26,44.308,44.382,44.059,44.142,38190
2005-08-29,44.142,44.624,43.29,44.587,62676
2005-08-30,44.243,44.495,44.095,44.495,39268
2005-08-31,44.401,44.837,44.299,44.801,126005
2005-09-01,44.624,44.829,44.485,44.587,68503
2005-09-02,44.755,44.755,44.504,44.587,26106
2005-09-06,44.783,45.142,44.678,45.124,37543
2005-09-07,44.995,45.245,44.846,45.094,53077
2005-09-08,45.142,45.506,45.133,45.282,72927
2005-09-09,45.355,45.515,45.199,45.468,22659
2005-09-12,45.458,45.651,45.364,45.515,34630
2005-09-13,45.458,45.801,45.338,45.552,48544
2005-09-14,45.571,45.617,45.024,45.079,29777
2005-09-15,45.161,45.216,44.745,44.901,36465
2005-09-16,45.061,45.19,44.854,45.18,42509
2005-09-19,45.034,45.133,44.678,44.837,46822
2005-09-20,45.079,45.364,44.54,44.668,33872
2005-09-21,44.533,44.533,44.03,44.078,84145
2005-09-22,44.049,44.317,43.762,44.122,97846
2005-09-23,43.985,44.355,43.882,44.279,60524
2005-09-26,44.659,44.659,44.068,44.233,56419
2005-09-27,44.279,44.279,43.975,44.012,22866
2005-09-28,44.095,44.42,44.03,44.262,53831
2005-09-29,44.132,44.864,44.03,44.755,47787
2005-09-30,44.811,45.152,44.801,45.089,33766
2005-10-03,45.216,45.402,45.19,45.235,98493
2005-10-04,45.199,45.364,44.659,44.707,31826
2005-10-05,44.668,44.668,44.021,44.068,85008
2005-10-06,44.078,44.132,43.196,43.566,70877
2005-10-07,43.752,43.882,43.576,43.687,32903
2005-10-10,43.744,43.744,43.243,43.243,44017
2005-10-11,43.327,43.474,42.922,43.018,60414
2005-10-12,42.845,43.064,42.605,42.721,98710
2005-10-13,42.73,43.103,42.528,42.992,57932
2005-10-14,43.122,43.234,42.912,43.186,30528
2005-10-17,43.131,43.327,43.001,43.281,95367
2005-10-18,43.327,43.464,43.168,43.196,88247
2005-10-19,42.826,43.744,42.826,43.744,73140
2005-10-20,43.892,43.947,43.281,43.437,70769
2005-10-21,43.921,44.068,43.67,43.779,77350
2005-10-24,43.93,44.289,43.687,44.271,80481
2005-10-25,44.04,44.207,43.706,44.021,46175
