Date,Open,High,Low,Close,Volume
2005-11-15,15.575,15.575,15.537,15.537,184431
2005-11-16,15.421,15.421,15.374,15.374,111689
2005-11-17,15.475,15.509,15.445,15.506,16049
2005-11-18,15.563,15.563,15.563,15.563,319
2005-11-21,15.617,15.617,15.617,15.617,1704
2005-11-22,15.599,15.599,15.599,15.599,34841
2005-11-23,15.742,15.848,15.742,15.818,514040
2005-11-25,15.759,15.759,15.717,15.723,68647
2005-11-28,15.717,15.717,15.711,15.711,3425
2005-11-29,15.787,15.867,15.787,15.852,26307
2005-11-30,15.852,15.852,15.664,15.664,143114
2005-12-01,15.731,15.731,15.711,15.717,10923
2005-12-05,15.664,15.664,15.602,15.608,259917
2005-12-06,15.569,15.569,15.525,15.525,949499
2005-12-07,15.517,15.517,15.439,15.439,341898
2005-12-08,15.445,15.445,15.421,15.421,5123
2005-12-09,15.503,15.503,15.447,15.447,181018
2005-12-12,15.552,15.552,15.406,15.466,171454
2005-12-14,15.617,15.617,15.617,15.617,4445
2005-12-15,15.567,15.567,15.489,15.489,140385
2005-12-16,15.5,15.5,15.412,15.412,162239
2005-12-19,15.4,15.424,15.289,15.303,217234
2005-12-20,15.336,15.377,15.324,15.35,85391
2005-12-21,15.421,15.421,15.386,15.386,51575
2005-12-23,15.497,15.497,15.483,15.489,362381
2005-12-27,15.626,15.626,15.528,15.528,71047
2005-12-29,15.509,15.534,15.509,15.534,136622
2006-01-03,15.371,15.374,15.371,15.374,36541
2006-01-04,15.708,15.708,15.695,15.695,102470
2006-01-05,15.649,15.692,15.649,15.692,416347
2006-01-06,15.731,15.742,15.731,15.742,2059
2006-01-09,15.769,15.769,15.769,15.769,1013
2006-01-10,15.795,15.827,15.795,15.827,51228
2006-01-11,15.855,15.863,15.852,15.858,724080
2006-01-12,15.867,15.867,15.801,15.801,1013
2006-01-13,15.787,15.787,15.787,15.787,319
2006-01-17,15.72,15.72,15.552,15.611,74120
2006-01-18,15.525,15.525,15.424,15.454,42351
2006-01-19,15.457,15.457,15.457,15.457,319
2006-01-20,15.257,15.281,15.257,15.259,177608
2006-01-23,15.19,15.19,15.154,15.154,697
2006-01-24,15.193,15.193,15.149,15.149,697
2006-01-25,15.132,15.178,15.025,15.058,557407
2006-01-26,15.123,15.403,15.123,15.32,221320
2006-01-27,15.403,15.403,15.403,15.403,697
2006-01-30,15.293,15.344,15.293,15.344,176583
2006-01-31,15.284,15.284,15.084,15.084,402338
2006-02-01,15.163,15.204,15.126,15.135,128077
2006-02-02,15.16,15.16,15.047,15.047,311148
2006-02-03,14.914,14.914,14.914,14.914,319
2006-02-06,14.956,14.956,14.956,14.956,697
2006-02-07,14.968,14.968,14.926,14.926,3764
2006-02-08,14.992,15.025,14.992,15.025,4086
2006-02-09,15.016,15.016,14.98,14.99,84362
