Date,Open,High,Low,Close,Volume
2010-07-23,28.656,29.313,28.528,29.275,254952
2010-07-26,29.657,30.022,29.294,29.93,90807
2010-07-27,30.476,30.476,29.696,29.823,95649
2010-07-28,30.022,30.022,29.476,29.714,167636
2010-07-29,30.476,30.805,30.149,30.605,137739
2010-07-30,30.458,30.531,29.93,30.331,59048
2010-08-02,30.932,31.043,30.642,31.023,55747
2010-08-03,31.023,31.315,30.823,31.059,46962
2010-08-04,31.46,31.46,30.987,31.406,99130
2010-08-05,31.515,31.844,31.406,31.714,78145
2010-08-06,31.844,31.844,31.134,31.444,76471
2010-08-09,32.079,32.079,31.386,31.605,50561
2010-08-10,31.297,31.424,30.932,31.278,97467
2010-08-11,30.386,30.715,29.657,29.748,102911
2010-08-12,29.44,29.93,29.113,29.748,43996
2010-08-13,29.714,29.878,29.495,29.515,86613
2010-08-16,29.531,29.841,29.294,29.696,14646
2010-08-17,30.095,30.805,30.022,30.605,35777
2010-08-18,30.932,30.932,30.551,30.696,13043
2010-08-19,30.751,30.751,29.858,30.149,31265
2010-08-20,29.858,29.896,29.457,29.896,31388
2010-08-23,30.168,30.512,29.767,29.858,21393
2010-08-24,29.331,29.767,29.057,29.22,70035
2010-08-25,29.22,29.22,28.456,29.15,64002
2010-08-26,29.457,29.515,28.967,29.057,22720
2010-08-27,29.515,29.657,28.912,29.657,44358
2010-08-30,29.603,29.696,29.457,29.515,33446
2010-08-31,29.858,29.858,29.202,29.331,19896
2010-09-01,30.041,30.295,29.949,30.259,35054
2010-09-02,30.551,30.823,30.442,30.823,19354
2010-09-03,31.26,31.26,30.952,31.169,20092
2010-09-07,31.825,31.825,30.97,31.315,36382
2010-09-08,31.698,31.861,31.369,31.444,58649
2010-09-09,31.698,31.861,31.499,31.551,33031
2010-09-10,31.698,31.732,31.479,31.643,25870
2010-09-13,32.188,32.516,31.971,32.516,57393
2010-09-14,32.626,32.936,32.372,32.755,34231
2010-09-15,32.553,32.881,32.315,32.553,46892
2010-09-16,32.48,32.716,32.334,32.699,16093
2010-09-17,33.154,33.171,32.626,32.881,54092
2010-09-20,33.027,33.572,32.954,33.517,59780
2010-09-21,33.847,33.847,33.226,33.281,140354
2010-09-22,33.446,33.555,33.118,33.189,56412
2010-09-23,33.045,33.353,32.773,32.861,39167
2010-09-24,33.373,33.663,33.1,33.572,65721
2010-09-27,33.647,34.101,33.647,33.99,65082
2010-09-28,34.192,34.263,33.589,34.21,53947
2010-09-29,34.375,34.375,33.829,33.882,43403
2010-09-30,34.247,34.247,33.482,33.847,60471
2010-10-01,34.482,34.482,33.862,33.974,22713
2010-10-04,34.01,34.046,33.408,33.517,59646
2010-10-05,34.046,34.301,33.647,34.192,54461
2010-10-06,34.081,34.319,34.01,34.156,51017
2010-10-07,34.301,34.591,33.809,33.99,74074
2010-10-08,34.263,35.049,34.263,34.956,87137
2010-10-11,35.156,35.484,35.065,35.248,133495
2010-10-12,35.284,35.593,34.847,35.519,123098
2010-10-13,36.03,36.305,35.866,36.158,184139
2010-10-14,36.267,36.341,35.94,36.285,68677
2010-10-15,36.958,36.958,35.94,36.121,64286
2010-10-18,36.066,36.377,35.813,36.321,95036
2010-10-19,35.849,35.976,35.266,35.503,103179
2010-10-20,36.03,36.377,35.631,36.194,102731
2010-10-21,36.739,36.739,35.684,36.03,69971
2010-10-22,36.321,36.45,35.813,35.904,49640
2010-10-25,36.706,36.706,36.359,36.541,60291
2010-10-26,36.504,36.686,36.103,36.613,43286
2010-10-27,36.504,36.504,35.738,36.103,59802
2010-10-28,36.305,36.706,36.305,36.359,35984
2010-10-29,36.411,36.411,36.139,36.212,46714
2010-11-01,36.577,36.632,35.958,36.066,46649
2010-11-02,36.723,36.723,36.321,36.522,49344
2010-11-03,36.65,36.65,36.048,36.466,62832
2010-11-04,36.706,37.706,36.706,37.396,97880
2010-11-05,37.523,38.234,37.523,38.234,94338
2010-11-08,38.269,38.525,38.05,38.434,132634
2010-11-09,38.597,38.78,37.321,37.54,151093
2010-11-10,37.78,37.797,36.794,37.742,79798
2010-11-11,37.505,37.924,37.321,37.76,124372
2010-11-12,37.596,37.596,36.739,37.033,104086
2010-11-15,37.268,37.359,36.686,36.706,131045
2010-11-16,36.504,36.65,35.43,35.758,153959
2010-11-17,35.72,36.194,35.72,36.03,51589
2010-11-18,36.706,37.087,36.593,36.94,48862
2010-11-19,36.776,37.033,36.541,37.033,23021
2010-11-22,37.359,37.414,36.958,37.379,67251
2010-11-23,36.921,37.122,36.593,36.668,29545
2010-11-24,37.195,37.722,37.014,37.649,174483
2010-11-26,37.305,37.941,37.305,37.722,96849
2010-11-29,37.76,37.941,37.286,37.76,105967
2010-11-30,37.487,38.014,36.867,36.887,80346
2010-12-01,37.45,37.742,37.379,37.579,155289
2010-12-02,37.722,38.269,37.596,38.196,100766
2010-12-03,38.123,38.36,37.869,38.289,54163
2010-12-06,38.67,38.67,38.269,38.451,86333
2010-12-07,39.181,39.181,38.579,38.652,79219
2010-12-08,39.017,39.017,38.415,38.615,88677
2010-12-09,38.907,39.217,38.488,38.708,165477
2010-12-10,38.796,38.924,38.597,38.851,46450
2010-12-13,39.325,39.509,38.796,38.924,211538
2010-12-14,39.125,39.125,38.597,38.69,69913
2010-12-15,38.851,39.089,38.708,38.78,157660
2010-12-16,38.69,39.217,38.307,38.816,114866
2010-12-17,38.76,38.76,38.451,38.597,40736
2010-12-20,39.017,39.017,38.597,38.742,75320
2010-12-21,39.017,39.434,38.76,39.325,62576
2010-12-22,39.509,39.783,39.089,39.25,51896
2010-12-23,39.325,39.399,39.143,39.308,53612
2010-12-27,39.143,39.599,39.108,39.509,47731
2010-12-28,39.945,40.417,39.47,40.273,247924
2010-12-29,40.69,40.838,40.053,40.599,188721
2010-12-30,40.8,41.22,40.599,41.039,146759
2010-12-31,41.127,41.856,41.073,41.402,150369
2011-01-03,42.001,43.075,41.875,42.986,304624
2011-01-04,43.314,43.314,41.619,41.946,212650
2011-01-05,41.767,41.984,41.474,41.748,136227
2011-01-06,41.819,42.567,40.764,40.764,207966
2011-01-07,40.564,41.02,40.127,40.638,64192
2011-01-10,40.583,41.165,40.218,40.655,68693
2011-01-11,41.165,41.454,40.91,41.165,107501
2011-01-12,41.839,41.929,41.402,41.911,109448
2011-01-13,42.44,42.767,41.546,41.767,130644
2011-01-14,41.728,41.728,41.347,41.619,88023
2011-01-18,41.819,42.476,41.693,41.911,109513
2011-01-19,42.001,42.24,40.638,40.71,118913
2011-01-20,40.599,40.599,38.943,39.562,183507
2011-01-21,40.163,40.163,39.47,39.544,93057
2011-01-24,39.744,39.998,39.381,39.872,87897
2011-01-25,39.783,39.817,39.308,39.599,72342
2011-01-26,39.708,40.311,39.708,40.273,88459
2011-01-27,40.399,40.674,40.109,40.363,52628
2011-01-28,40.8,40.855,39.49,39.562,89543
2011-01-31,40.053,40.291,39.616,39.708,90028
2011-02-01,39.981,40.819,39.981,40.764,100967
2011-02-02,40.71,40.964,40.473,40.819,133033
2011-02-03,40.782,40.782,40.072,40.71,51809
2011-02-04,40.91,40.964,40.236,40.564,53753
2011-02-07,41.001,41.328,40.927,41.111,130060
2011-02-08,41.546,42.366,41.493,42.31,139329
2011-02-09,42.385,42.385,41.328,41.493,123884
2011-02-10,41.365,41.712,40.964,41.566,61376
2011-02-11,41.566,42.31,41.328,42.22,46266
2011-02-14,42.529,42.822,42.401,42.457,133663
2011-02-15,42.622,42.802,42.038,42.056,103576
2011-02-16,42.366,42.856,42.24,42.748,95946
2011-02-18,43.075,43.204,42.127,42.257,138453
2011-02-22,41.839,41.839,40.127,40.236,201123
2011-02-23,40.326,40.363,39.089,39.726,154924
2011-02-24,39.434,40.016,39.198,39.744,112120
2011-02-25,40.508,40.891,40.363,40.855,44455
2011-02-28,41.402,41.438,40.745,41.054,66539
2011-03-01,40.946,41.054,39.599,39.783,74555
2011-03-02,39.635,39.925,39.509,39.599,80341
2011-03-03,40.326,41.201,39.998,41.146,106271
2011-03-04,41.272,41.347,40.326,40.619,103670
2011-03-07,40.946,40.946,39.599,39.964,67515
2011-03-08,39.91,40.381,39.599,40.182,51855
2011-03-09,40.163,40.163,39.69,39.853,38990
2011-03-10,39.325,39.325,38.36,38.379,119615
2011-03-11,38.087,38.78,37.742,38.708,93479
2011-03-14,37.888,38.123,37.105,37.633,96315
2011-03-15,35.466,36.958,35.011,36.831,207593
2011-03-16,36.994,37.25,35.758,36.267,151816
2011-03-17,36.65,37.177,36.65,36.758,82237
2011-03-18,37.579,37.579,37.177,37.305,65232
2011-03-21,38.251,38.652,38.05,38.615,45837
2011-03-22,38.816,39.071,38.635,39.071,34722
2011-03-23,39.089,39.217,38.525,39.071,38221
2011-03-24,39.308,39.582,39.181,39.381,50887
2011-03-25,39.671,39.783,39.434,39.452,36735
2011-03-28,39.726,39.726,39.181,39.198,35201
2011-03-29,39.143,39.544,38.98,39.509,39326
2011-03-30,39.69,39.835,38.98,39.108,45930
2011-03-31,39.143,39.399,38.962,39.181,34675
2011-04-01,39.47,40.473,39.452,40.254,66417
2011-04-04,40.726,40.745,40.326,40.545,96106
2011-04-05,40.619,41.091,40.492,41.039,89654
2011-04-06,41.493,41.493,40.745,40.782,41493
2011-04-07,40.946,41.02,40.492,40.855,33288
2011-04-08,41.073,41.347,40.399,40.545,40568
2011-04-11,40.964,41.039,39.91,40.218,34973
2011-04-12,40.053,40.053,39.089,39.363,59791
2011-04-13,39.509,39.998,39.289,39.726,25120
2011-04-14,39.325,40.072,39.308,40.036,28609
2011-04-15,39.945,40.146,39.651,39.817,22461
2011-04-18,39.708,39.708,38.742,39.181,52072
2011-04-19,39.325,39.434,38.796,38.998,54197
2011-04-20,39.635,39.981,39.635,39.872,43368
2011-04-21,40.053,40.545,39.891,40.473,38843
2011-04-25,39.835,40.674,39.835,40.254,26979
2011-04-26,40.311,40.526,40.109,40.182,23084
2011-04-27,40.417,40.782,39.764,40.326,37049
2011-04-28,40.726,40.726,40.146,40.311,35156
2011-04-29,40.454,40.8,40.454,40.8,28004
2011-05-02,41.165,41.292,40.053,40.109,147420
2011-05-03,39.835,40.053,39.181,39.49,72308
2011-05-04,39.325,39.525,38.488,38.615,99304
2011-05-05,38.234,38.451,37.54,37.906,73141
2011-05-06,37.76,39.035,37.706,38.488,42281
2011-05-09,38.67,39.25,38.615,39.181,23364
2011-05-10,39.143,39.509,39.108,39.452,22474
2011-05-11,39.363,39.452,37.78,37.941,45893
2011-05-12,37.888,38.05,37.14,37.869,36153
2011-05-13,37.869,37.994,36.794,36.978,33709
2011-05-16,36.466,37.25,36.139,36.178,86653
2011-05-17,35.849,36.267,35.556,36.178,76553
2011-05-18,36.522,36.94,36.411,36.831,26144
2011-05-19,36.887,37.051,36.466,36.557,25205
2011-05-20,36.267,36.686,35.831,36.377,29771
2011-05-23,35.866,36.267,35.503,35.665,47190
2011-05-24,35.92,36.194,35.702,35.777,25854
2011-05-25,35.777,36.23,35.684,36.066,10267
2011-05-26,35.793,36.557,35.793,36.541,20683
2011-05-27,36.867,37.051,36.813,36.994,29531
2011-05-31,37.414,37.833,37.359,37.797,24754
2011-06-01,37.869,37.869,36.739,36.794,24059
2011-06-02,36.723,36.978,36.341,36.921,12756
2011-06-03,36.45,36.632,36.048,36.411,15194
2011-06-06,36.178,36.486,35.72,35.777,129281
2011-06-07,36.103,36.194,35.904,35.92,30096
2011-06-08,35.631,35.702,34.956,35.065,47410
2011-06-09,35.23,35.665,35.23,35.484,18872
2011-06-10,35.519,35.72,34.719,34.847,37179
2011-06-13,34.883,35.192,34.502,34.575,63181
2011-06-14,34.974,35.503,34.974,35.45,25914
2011-06-15,34.684,35.266,34.518,34.557,35387
2011-06-16,34.337,34.648,33.589,34.046,94713
2011-06-17,34.464,34.628,34.046,34.263,45224
2011-06-20,34.028,34.391,34.028,34.391,28390
2011-06-21,34.482,35.192,34.482,35.175,24368
