Date,Open,High,Low,Close,Volume
1994-11-15,14.094,14.094,13.989,13.989,60686
1994-11-16,14.037,14.094,13.989,13.989,397094
1994-11-17,14.037,14.037,13.876,13.934,319073
1994-11-18,13.934,13.989,13.83,13.934,287355
1994-11-21,13.989,14.037,13.989,14.037,141035
1994-11-22,14.094,14.094,13.715,13.715,343496
1994-11-23,13.61,13.61,13.337,13.554,420990
1994-11-25,13.554,13.666,13.554,13.666,33196
1994-11-28,13.666,13.666,13.554,13.554,69463
1994-11-29,13.554,13.61,13.176,13.29,225825
1994-11-30,13.337,13.509,13.29,13.509,1012404
1994-12-01,13.452,13.876,13.452,13.772,397943
1994-12-02,13.772,13.934,13.715,13.934,231005
1994-12-05,13.989,13.989,13.666,13.666,336199
1994-12-06,13.666,13.666,13.554,13.61,206161
1994-12-07,13.61,13.61,13.452,13.509,137546
1994-12-08,13.452,13.554,13.129,13.176,288836
1994-12-09,13.129,13.29,13.071,13.29,147485
1994-12-12,13.29,13.29,13.071,13.234,175292
1994-12-13,13.29,13.563,13.29,13.509,508632
1994-12-14,13.61,13.886,13.61,13.772,344236
1994-12-15,13.772,13.772,13.563,13.666,171376
1994-12-16,13.724,13.886,13.61,13.83,284712
1994-12-19,13.886,13.886,13.724,13.772,182264
1994-12-20,13.772,13.83,13.724,13.772,271393
1994-12-21,13.83,14.047,13.83,13.942,243586
1994-12-22,14.103,14.16,13.942,13.989,293487
1994-12-23,14.16,14.16,14.047,14.103,45778
1994-12-27,14.103,14.16,14.047,14.16,62905
1994-12-28,14.103,14.16,14.047,14.103,148330
1994-12-29,14.103,14.262,14.103,14.207,113655
1994-12-30,14.207,14.321,14.16,14.16,158796
1995-01-03,14.207,14.423,14.207,14.321,230478
1995-01-04,14.377,14.423,14.16,14.262,200132
1995-01-05,14.262,14.377,14.207,14.321,95151
1995-01-06,14.321,14.423,14.207,14.321,226142
1995-01-09,14.321,14.321,14.16,14.262,139239
1995-01-10,14.207,14.207,14.103,14.103,198761
1995-01-11,14.16,14.16,13.83,13.886,153193
1995-01-12,13.989,14.047,13.886,14.047,136701
1995-01-13,14.047,14.262,14.047,14.262,106041
1995-01-16,14.103,14.377,14.103,14.262,211235
1995-01-17,14.262,14.321,14.207,14.207,56879
1995-01-18,14.377,14.756,14.321,14.756,577776
1995-01-19,14.756,15.02,14.756,14.86,472371
1995-01-20,14.918,14.972,14.756,14.756,115554
1995-01-23,14.756,14.918,14.64,14.918,471524
1995-01-24,14.918,15.134,14.64,14.918,1513211
1995-01-25,14.804,15.294,14.756,15.19,631380
1995-01-26,15.19,15.456,15.19,15.352,264416
1995-01-27,15.456,15.512,15.352,15.512,136172
1995-01-30,15.408,15.512,15.352,15.512,147587
1995-01-31,15.512,16.003,15.512,16.003,749048
1995-02-01,16.051,16.107,15.834,15.946,496369
1995-02-02,15.834,16.051,15.834,16.003,1427157
1995-02-03,16.003,16.107,16.003,16.051,188291
1995-02-06,15.946,16.051,15.946,16.003,154251
1995-02-07,16.003,16.051,15.946,16.003,50320
