Date,Open,High,Low,Close,Volume
1987-08-19,0.2434,0.24567,0.23655,0.24116,13370635
1987-08-20,0.24116,0.24567,0.24116,0.2434,13996615
1987-08-21,0.24567,0.24567,0.24116,0.2434,2806359
1987-08-24,0.24116,0.2434,0.24116,0.24116,12871253
1987-08-25,0.23885,0.26847,0.23885,0.2615,32058578
1987-08-26,0.2615,0.2615,0.25489,0.25489,12456274
1987-08-27,0.25489,0.25707,0.25019,0.25019,5239934
1987-08-28,0.25019,0.25019,0.2434,0.25019,19693727
1987-08-31,0.25019,0.25707,0.25019,0.25489,9839826
1987-09-01,0.25489,0.25489,0.23655,0.24795,17421911
1987-09-02,0.24795,0.24795,0.23655,0.23885,23632470
1987-09-03,0.23885,0.2434,0.23885,0.24116,18378459
1987-09-04,0.23885,0.2434,0.23655,0.23885,14397534
1987-09-08,0.23885,0.24116,0.23431,0.23885,22507114
1987-09-09,0.24116,0.26847,0.24116,0.26618,37495451
1987-09-10,0.26847,0.27522,0.26847,0.27522,51850772
1987-09-11,0.27522,0.27522,0.26847,0.27079,17302346
1987-09-14,0.27079,0.27522,0.26847,0.26847,18505073
1987-09-15,0.26847,0.27079,0.26385,0.26618,14545220
1987-09-16,0.26618,0.27522,0.26618,0.27308,13616800
1987-09-17,0.27522,0.27975,0.26847,0.27079,23147164
1987-09-18,0.27079,0.27522,0.27079,0.27308,18308137
1987-09-21,0.27308,0.27522,0.25489,0.26385,58919411
1987-09-22,0.26385,0.27738,0.26385,0.27738,50978616
1987-09-23,0.27738,0.29342,0.27738,0.28896,54298422
1987-09-24,0.28896,0.29342,0.28437,0.28896,16613062
1987-09-25,0.28896,0.28896,0.28437,0.28669,7490648
1987-09-28,0.28896,0.29342,0.28437,0.28437,13279203
1987-09-29,0.28437,0.28669,0.27522,0.27738,10648684
1987-09-30,0.27522,0.28437,0.27308,0.28437,29617953
1987-10-01,0.28437,0.28896,0.28437,0.28437,13025995
1987-10-02,0.28669,0.28669,0.27975,0.27975,9234957
1987-10-05,0.27975,0.28203,0.27975,0.27975,4065353
1987-10-06,0.27975,0.27975,0.26847,0.26847,11668534
1987-10-07,0.26618,0.26847,0.25934,0.2615,19700765
1987-10-08,0.26385,0.26847,0.25489,0.25934,17295315
1987-10-09,0.25934,0.25934,0.24567,0.24795,26692029
1987-10-12,0.2434,0.24795,0.2434,0.24567,20629177
1987-10-13,0.24567,0.25489,0.24567,0.25489,7701651
1987-10-14,0.2525,0.2525,0.24567,0.24795,10212601
1987-10-15,0.24795,0.24795,0.2434,0.2434,9593658
1987-10-16,0.2434,0.24567,0.23655,0.23885,42819790
1987-10-19,0.22981,0.23655,0.18656,0.2093,31706900
1987-10-20,0.20016,0.2116,0.16603,0.17742,53559899
1987-10-21,0.17742,0.2116,0.17742,0.20697,58187924
1987-10-22,0.20697,0.21381,0.19109,0.19562,39542181
1987-10-23,0.19332,0.19562,0.19109,0.19562,22893963
1987-10-26,0.19109,0.19332,0.18197,0.18429,90028470
1987-10-27,0.18429,0.19109,0.18429,0.18656,104798763
1987-10-28,0.18656,0.18656,0.17742,0.17968,20840180
1987-10-29,0.17968,0.18881,0.17968,0.18656,6991270
1987-10-30,0.18881,0.20016,0.18656,0.20016,19398322
1987-11-02,0.20016,0.20474,0.19562,0.20474,14390486
1987-11-03,0.20474,0.20474,0.19332,0.20016,17246076
1987-11-04,0.19562,0.20016,0.19562,0.20016,5148505
1987-11-05,0.20016,0.20246,0.19562,0.20016,7575047
1987-11-06,0.20246,0.2116,0.20016,0.2093,9931268
1987-11-09,0.2093,0.2093,0.20246,0.20474,6843573
1987-11-10,0.20474,0.20474,0.19562,0.19562,8559739
1987-11-11,0.19562,0.20016,0.18656,0.19109,62851118
1987-11-12,0.19332,0.20246,0.19109,0.20016,6935011
1987-11-13,0.20016,0.20246,0.19562,0.20016,1786503
1987-11-16,0.20016,0.20246,0.19332,0.19562,7511749
1987-11-17,0.19562,0.19562,0.18881,0.19109,21768602
1987-11-18,0.19332,0.20016,0.19109,0.20016,22380517
1987-11-19,0.20016,0.20016,0.19562,0.19562,6709934
1987-11-20,0.19562,0.19562,0.19109,0.19109,9164621
1987-11-23,0.19332,0.19332,0.18881,0.19109,6365296
1987-11-24,0.19109,0.19109,0.18656,0.18881,4831995
1987-11-25,0.18881,0.19109,0.18656,0.19109,9966434
1987-11-27,0.18881,0.19109,0.18656,0.18881,1955311
1987-11-30,0.18656,0.18656,0.18197,0.18429,71038086
1987-12-01,0.18429,0.18881,0.18429,0.18429,7898594
1987-12-02,0.18429,0.18656,0.18429,0.18429,10325133
1987-12-03,0.18656,0.18656,0.18197,0.18197,10719007
1987-12-04,0.18197,0.18197,0.17742,0.18197,10402499
1987-12-07,0.18197,0.18429,0.17968,0.18197,6069884
1987-12-08,0.18429,0.19109,0.18197,0.19109,9980494
1987-12-09,0.19109,0.19794,0.18881,0.19794,4367789
1987-12-10,0.19562,0.20016,0.19109,0.19562,7631329
1987-12-11,0.19562,0.20016,0.19562,0.20016,1751333
1987-12-14,0.19794,0.21381,0.19794,0.21381,12674322
1987-12-15,0.21381,0.22981,0.21381,0.22746,15121966
1987-12-16,0.22746,0.23885,0.22521,0.23655,29533556
1987-12-17,0.23655,0.23885,0.22746,0.22746,24230315
1987-12-18,0.22746,0.23204,0.22521,0.22981,12519581
1987-12-21,0.22521,0.23431,0.22296,0.23431,18315168
1987-12-22,0.23431,0.23885,0.23431,0.23885,11014428
1987-12-23,0.23885,0.24795,0.23885,0.24567,17457072
1987-12-24,0.24567,0.24795,0.2434,0.2434,3474532
1987-12-28,0.24116,0.24116,0.22521,0.22981,12829060
1987-12-29,0.22981,0.23431,0.22981,0.23204,8791838
1987-12-30,0.23204,0.23431,0.23204,0.23204,4930468
1987-12-31,0.23204,0.23204,0.22746,0.23204,17949428
1988-01-04,0.23204,0.23204,0.22746,0.22981,13412830
1988-01-05,0.23431,0.23431,0.21613,0.21839,61395190
1988-01-06,0.21839,0.22296,0.21839,0.22063,26466963
1988-01-07,0.22063,0.23655,0.22063,0.23655,26150448
1988-01-08,0.23655,0.23885,0.21839,0.21839,15136035
1988-01-11,0.21839,0.22296,0.21381,0.22296,33598905
1988-01-12,0.22521,0.22521,0.21839,0.22063,14805469
1988-01-13,0.21839,0.22063,0.21839,0.21839,15213406
1988-01-14,0.22063,0.22063,0.21839,0.21839,7364049
1988-01-15,0.22746,0.22981,0.22521,0.22521,10937049
1988-01-18,0.22746,0.22746,0.22063,0.22521,3143974
1988-01-19,0.22521,0.22521,0.22063,0.22296,3200231
1988-01-20,0.22296,0.22296,0.2116,0.21381,19693727
1988-01-21,0.21381,0.21839,0.21381,0.21381,8749647
1988-01-22,0.21613,0.21613,0.2093,0.2116,10522074
1988-01-25,0.21381,0.21839,0.2116,0.21613,16908468
1988-01-26,0.21381,0.21613,0.2116,0.2116,10226669
1988-01-27,0.2116,0.21381,0.2116,0.21381,7708686
1988-01-28,0.21381,0.21381,0.2116,0.2116,11162125
1988-01-29,0.2116,0.2116,0.20697,0.2116,14284983
1988-02-01,0.21381,0.22063,0.2116,0.21839,18505073
1988-02-02,0.21839,0.23431,0.21613,0.23431,18765308
1988-02-03,0.23431,0.23885,0.23431,0.23655,32698621
1988-02-04,0.23655,0.24116,0.23655,0.23885,19264683
1988-02-05,0.23885,0.24795,0.23885,0.24567,26255962
1988-02-08,0.2434,0.2615,0.24116,0.25019,30159536
1988-02-09,0.2525,0.2525,0.24116,0.24567,9108345
1988-02-10,0.24567,0.25019,0.2434,0.25019,8693374
1988-02-11,0.24795,0.25489,0.24567,0.2525,11556001
1988-02-12,0.2525,0.2615,0.2525,0.25707,11098826
1988-02-16,0.25707,0.26385,0.25489,0.26385,38733334
1988-02-17,0.26385,0.27079,0.26385,0.26847,30328340
1988-02-18,0.26847,0.26847,0.26385,0.26385,21494296
1988-02-19,0.26385,0.26847,0.26385,0.26847,14024747
1988-02-22,0.26847,0.27308,0.26847,0.27079,11851404
1988-02-23,0.27308,0.27522,0.26847,0.26847,13504270
1988-02-24,0.26847,0.26847,0.26385,0.26385,8369840
1988-02-25,0.26618,0.26618,0.24567,0.24795,20664351
1988-02-26,0.24795,0.2525,0.24567,0.24795,11274648
1988-02-29,0.24795,0.2525,0.24567,0.2525,25067299
1988-03-01,0.2525,0.2615,0.2525,0.25934,28183128
1988-03-02,0.25934,0.28896,0.25934,0.28203,117459015
