Date,Open,High,Low,Close,Volume
2005-06-23,14.465,14.465,14.37,14.37,1666
2005-06-24,14.303,14.303,14.293,14.303,1147
2005-06-27,14.205,14.205,14.205,14.205,1147
2005-06-28,14.321,14.321,14.321,14.321,313
2005-06-29,14.321,14.341,14.321,14.341,1043
2005-06-30,14.36,14.36,14.283,14.283,5940
2005-07-05,14.224,14.312,14.224,14.303,22192
2005-07-06,14.273,14.273,14.273,14.273,313
2005-07-07,14.062,14.062,14.062,14.062,203
2005-07-08,14.109,14.283,14.09,14.283,22295
2005-07-11,14.303,14.341,14.303,14.341,834
2005-07-13,14.263,14.293,14.263,14.293,417
2005-07-14,14.321,14.321,14.321,14.321,1250
2005-07-15,14.293,14.293,14.263,14.263,939
2005-07-18,14.312,14.312,14.254,14.254,939
2005-07-19,14.254,14.312,14.254,14.303,3334
2005-07-20,14.254,14.379,14.224,14.379,9272
2005-07-21,14.36,14.36,14.205,14.214,5729
2005-07-22,14.321,14.389,14.293,14.389,2398
2005-07-25,14.35,14.35,14.293,14.293,1355
2005-07-26,14.35,14.35,14.35,14.35,313
2005-07-27,14.293,14.312,14.234,14.312,1147
2005-07-28,14.35,14.379,14.35,14.379,2190
2005-07-29,14.379,14.379,14.312,14.312,2810
2005-08-01,14.312,14.331,14.293,14.321,3855
2005-08-02,14.321,14.331,14.312,14.321,14583
2005-08-03,14.283,14.283,14.283,14.283,203
2005-08-04,14.303,14.331,14.273,14.303,1456
2005-08-05,14.234,14.234,14.234,14.234,1043
2005-08-08,14.196,14.196,14.196,14.196,203
2005-08-09,14.214,14.244,14.214,14.224,4373
2005-08-10,14.312,14.312,14.234,14.234,2293
2005-08-11,14.254,14.36,14.254,14.36,20525
2005-08-12,14.254,14.283,14.254,14.263,1456
2005-08-15,14.505,14.505,14.505,14.505,731
2005-08-16,14.379,14.389,14.35,14.35,14899
2005-08-17,14.341,14.389,14.321,14.37,31465
2005-08-18,14.303,14.35,14.303,14.312,15104
2005-08-19,14.312,14.35,14.312,14.341,2917
2005-08-22,14.303,14.303,14.293,14.293,1043
2005-08-23,14.36,14.36,14.273,14.321,22399
2005-08-24,14.35,14.35,14.303,14.303,417
2005-08-25,14.224,14.263,14.224,14.244,622
2005-08-26,14.205,14.214,14.156,14.196,6771
2005-08-29,14.109,14.254,14.109,14.254,6355
2005-08-31,14.196,14.196,14.196,14.196,417
2005-09-01,14.263,14.283,14.254,14.254,12816
2005-09-02,14.214,14.254,14.214,14.254,519
2005-09-06,14.321,14.37,14.321,14.37,10107
2005-09-07,14.37,14.419,14.321,14.419,13856
2005-09-08,14.399,14.399,14.341,14.341,5835
2005-09-09,14.37,14.419,14.341,14.419,4478
2005-09-12,14.409,14.495,14.37,14.495,3646
2005-09-13,14.341,14.35,14.341,14.35,1147
2005-09-14,14.303,14.321,14.303,14.312,1043
2005-09-15,14.205,14.205,14.156,14.156,5108
2005-09-16,14.224,14.224,14.224,14.224,622
2005-09-19,14.156,14.156,14.043,14.043,22086
2005-09-20,14.156,14.156,14.156,14.156,1043
2005-09-21,13.831,13.87,13.831,13.87,1250
2005-09-22,13.754,13.831,13.754,13.831,7813
2005-09-23,13.791,13.791,13.791,13.791,101
2005-09-26,13.87,13.89,13.811,13.84,2917
2005-09-27,13.791,13.87,13.783,13.831,3126
2005-09-28,13.801,13.811,13.764,13.764,18230
2005-09-29,13.754,13.86,13.697,13.86,2707
2005-09-30,13.84,13.947,13.84,13.928,3023
2005-10-03,13.938,13.956,13.918,13.928,7604
2005-10-04,13.947,13.956,13.821,13.821,74281
2005-10-05,13.774,13.774,13.629,13.629,7604
2005-10-06,13.62,13.658,13.562,13.562,64072
2005-10-07,13.601,13.611,13.601,13.611,2084
2005-10-10,13.629,13.629,13.562,13.582,3229
2005-10-11,13.611,13.62,13.408,13.408,2707
2005-10-12,13.218,13.228,13.17,13.199,1980
2005-10-13,13.228,13.228,13.199,13.208,2501
2005-10-14,13.228,13.315,13.218,13.315,6668
2005-10-17,13.305,13.305,13.248,13.295,1563
2005-10-18,13.238,13.238,13.113,13.113,1874
2005-10-19,13.113,13.258,13.113,13.258,2084
2005-10-20,13.238,13.238,13.045,13.045,1043
2005-10-21,13.152,13.189,13.152,13.161,1355
2005-10-24,13.258,13.36,13.258,13.36,4169
2005-10-25,13.352,13.389,13.285,13.333,17920
2005-10-26,13.379,13.379,13.333,13.333,2501
2005-10-27,13.275,13.275,13.152,13.152,4688
2005-10-28,13.248,13.258,13.218,13.258,2810
2005-10-31,13.408,13.408,13.369,13.369,313
2005-11-01,13.305,13.379,13.305,13.369,519
2005-11-02,13.417,13.553,13.417,13.553,2398
2005-11-03,13.543,13.572,13.543,13.553,4373
2005-11-04,13.553,13.553,13.525,13.553,21359
