Date,Open,High,Low,Close,Volume
2005-02-25,21.275,21.532,21.174,21.48,945336
2005-02-28,21.597,21.65,21.267,21.487,987292
2005-03-01,21.114,21.217,21.062,21.062,724666
2005-03-02,20.467,20.96,20.467,20.872,923541
2005-03-03,21.174,21.34,21.107,21.267,491466
2005-03-04,21.391,21.848,21.349,21.671,881042
2005-03-07,21.444,21.694,21.421,21.502,612425
2005-03-08,21.532,21.584,21.333,21.519,1277154
2005-03-09,21.532,21.584,21.174,21.267,1219946
2005-03-10,21.267,21.283,20.812,21.068,1395391
2005-03-11,21.056,21.217,21.018,21.128,877770
2005-03-14,20.791,20.931,20.725,20.901,569381
2005-03-15,20.745,20.85,20.644,20.644,484383
2005-03-16,21.056,21.068,20.901,20.96,467491
2005-03-17,21.128,21.473,21.128,21.407,982930
2005-03-18,21.304,21.407,21.149,21.399,980208
2005-03-21,21.114,21.114,20.731,20.835,830915
2005-03-22,20.658,20.805,20.276,20.322,969854
2005-03-23,19.932,19.969,19.764,19.776,870692
2005-03-24,19.535,19.689,19.396,19.529,1719584
2005-03-28,19.571,19.571,19.293,19.344,414095
2005-03-29,19.088,19.198,18.882,18.882,1243374
2005-03-30,19.373,19.513,19.227,19.513,918637
2005-03-31,19.739,19.859,19.594,19.689,984021
2005-04-01,19.726,19.756,19.483,19.588,476754
2005-04-04,19.351,19.535,19.344,19.455,665820
2005-04-05,19.249,19.464,19.233,19.44,651109
2005-04-06,19.44,19.601,19.359,19.513,1013986
2005-04-07,19.601,19.823,19.55,19.594,937707
2005-04-08,19.776,19.823,19.645,19.764,991102
2005-04-11,19.769,19.823,19.689,19.756,627679
2005-04-12,19.814,19.867,19.571,19.843,997639
2005-04-13,19.426,19.492,19.277,19.323,1709776
2005-04-14,19.285,19.337,18.743,18.771,1920637
2005-04-15,18.941,19.042,18.309,18.367,2226307
2005-04-18,18.661,18.845,18.552,18.757,1391577
2005-04-19,19.125,19.293,19.072,19.293,980208
2005-04-20,19.337,19.359,19.06,19.118,879952
2005-04-21,19.168,19.308,18.992,19.265,880498
2005-04-22,19.299,19.464,19.176,19.299,1037961
2005-04-25,19.337,19.535,19.212,19.492,801494
2005-04-26,18.955,19.042,18.854,18.919,962770
2005-04-27,18.603,18.639,18.382,18.573,1075014
2005-04-28,17.935,18.163,17.889,17.986,1670546
2005-04-29,18.309,18.414,18.207,18.3,892483
2005-05-02,18.367,18.603,18.324,18.552,696880
2005-05-03,18.414,18.471,18.287,18.332,599893
2005-05-04,18.418,18.728,18.405,18.669,666367
2005-05-05,18.947,19.052,18.743,18.926,490918
2005-05-06,19.014,19.198,19.006,19.125,422811
2005-05-09,19.205,19.277,19.139,19.233,691427
2005-05-10,18.882,18.882,18.669,18.669,732295
2005-05-11,18.699,18.766,18.478,18.631,692521
2005-05-12,18.243,18.271,17.994,18.002,719218
2005-05-13,17.767,17.767,17.436,17.574,987292
2005-05-16,17.796,17.978,17.759,17.978,812934
2005-05-17,17.737,17.994,17.708,17.905,902289
