Date,Open,High,Low,Close,Volume
1984-07-19,1.0094,1.0117,1.0031,1.0031,55335365
1984-07-20,1.0132,1.0196,1.0067,1.011,91666477
1984-07-23,1.0067,1.0152,0.9983,1.011,194985475
1984-07-24,1.0145,1.0255,1.0128,1.0189,91225581
1984-07-25,1.014,1.0373,1.0122,1.0268,108197383
1984-07-26,1.031,1.0523,1.0247,1.0268,291227694
1984-07-27,1.0195,1.0195,1.011,1.011,61548658
1984-07-30,1.0087,1.0174,1.0047,1.011,69011253
1984-07-31,1.0122,1.0268,1.0101,1.0268,62689166
1984-08-01,1.0285,1.0586,1.0266,1.0586,167196998
1984-08-02,1.0519,1.1005,1.0265,1.09,226558230
1984-08-03,1.0864,1.099,1.0738,1.0822,182605093
1984-08-06,1.0758,1.0758,1.0506,1.0506,175568027
1984-08-07,1.0485,1.0633,1.0461,1.0506,206588113
1984-08-08,1.049,1.0532,1.0428,1.0428,119114849
1984-08-09,1.05,1.0647,1.0479,1.0586,86920321
1984-08-10,1.062,1.075,1.062,1.0665,136784991
1984-08-13,1.0665,1.0683,1.0579,1.0665,73865307
1984-08-14,1.0562,1.0647,1.0562,1.0586,66463362
1984-08-15,1.0564,1.0689,1.0541,1.0586,94102713
1984-08-16,1.0579,1.0707,1.0558,1.0665,44064964
1984-08-17,1.0683,1.075,1.0579,1.0665,49502468
1984-08-20,1.0594,1.0743,1.0594,1.0743,89348476
1984-08-21,1.0733,1.0965,1.0711,1.09,148817009
1984-08-22,1.0878,1.0943,1.0857,1.09,54040115
1984-08-23,1.0841,1.0862,1.0799,1.0822,76931292
1984-08-24,1.0783,1.0783,1.072,1.0743,203433046
1984-08-27,1.0743,1.0805,1.0699,1.0743,47224573
1984-08-28,1.0721,1.0784,1.0721,1.0743,39723884
1984-08-29,1.0743,1.0807,1.0743,1.0743,73205443
1984-08-30,1.072,1.0762,1.0699,1.0743,50764645
1984-08-31,1.0699,1.0743,1.0699,1.0743,67530603
1984-09-04,1.0763,1.0784,1.0721,1.0743,28757087
1984-09-05,1.0707,1.0728,1.0665,1.0665,96886425
1984-09-06,1.0679,1.0784,1.0658,1.0743,540102948
1984-09-07,1.0808,1.0829,1.0743,1.0743,50095269
1984-09-10,1.0658,1.0763,1.0638,1.0743,350208596
1984-09-11,1.0665,1.0706,1.0665,1.0665,293627200
1984-09-12,1.0699,1.0762,1.0699,1.0743,30727832
1984-09-13,1.0758,1.0864,1.0693,1.0822,525691083
1984-09-14,1.0921,1.0943,1.0857,1.09,101549894
1984-09-17,1.0878,1.0963,1.0836,1.09,478792588
1984-09-18,1.0943,1.0965,1.09,1.09,70307656
1984-09-19,1.0851,1.1064,1.0831,1.0979,613088845
1984-09-20,1.0973,1.1143,1.0953,1.1059,245303811
1984-09-21,1.1095,1.1201,1.1095,1.1136,1026626778
1984-09-24,1.1158,1.1226,1.1136,1.1136,260644077
1984-09-25,1.1094,1.1179,1.103,1.1136,59994216
1984-09-26,1.1116,1.1202,1.1094,1.1136,50977743
1984-09-27,1.116,1.1202,1.1116,1.1136,141766674
1984-09-28,1.1194,1.1239,1.1173,1.1218,63329045
1984-10-01,1.1218,1.1256,1.1194,1.1218,153690466
1984-10-02,1.1194,1.1239,1.1173,1.1218,154381831
1984-10-03,1.1179,1.1179,1.1136,1.1136,68594538
1984-10-04,1.116,1.116,1.1116,1.1136,37314321
1984-10-05,1.1122,1.1144,1.1037,1.1059,82438771
1984-10-08,1.1086,1.1086,1.0959,1.0979,22417658
1984-10-09,1.1023,1.1066,1.0957,1.0979,40247825
1984-10-10,1.0979,1.1001,1.0936,1.0979,66905963
1984-10-11,1.1037,1.1103,1.1014,1.1059,54513897
1984-10-12,1.1051,1.1158,1.1051,1.1136,66787143
1984-10-15,1.1199,1.1395,1.1178,1.1374,140351671
1984-10-16,1.1366,1.1453,1.1366,1.1453,88307112
1984-10-17,1.1402,1.1575,1.1379,1.1535,63971554
1984-10-18,1.1637,1.1794,1.1617,1.1769,123387677
1984-10-19,1.1881,1.2014,1.1841,1.1927,130802527
1984-10-22,1.1899,1.1923,1.1747,1.1769,52939748
1984-10-23,1.17,1.17,1.1265,1.1374,267994427
1984-10-24,1.1347,1.1366,1.1218,1.1218,171562757
1984-10-25,1.1321,1.1475,1.128,1.1453,220871515
1984-10-26,1.1395,1.1419,1.1353,1.1374,81336250
1984-10-29,1.1311,1.1374,1.1265,1.1374,82662191
1984-10-30,1.1329,1.1419,1.1308,1.1374,91149116
1984-10-31,1.1329,1.1419,1.1308,1.1374,96815700
1984-11-01,1.1329,1.1419,1.1329,1.1374,129502230
1984-11-02,1.1309,1.1419,1.1309,1.1374,108700396
1984-11-05,1.1355,1.1438,1.1355,1.1374,95539215
1984-11-06,1.1322,1.1477,1.1322,1.1453,136993164
1984-11-07,1.1542,1.1558,1.1429,1.1453,118803150
1984-11-08,1.1419,1.1437,1.1329,1.1374,67446196
1984-11-09,1.136,1.1424,1.1297,1.1297,88247366
1984-11-12,1.1256,1.1256,1.1218,1.1218,35188792
1984-11-13,1.1202,1.1226,1.1116,1.1136,40920909
1984-11-14,1.1136,1.116,1.1053,1.1136,118670633
1984-11-15,1.1208,1.1338,1.1208,1.1297,142588732
1984-11-16,1.1297,1.1338,1.1273,1.1297,133792152
1984-11-19,1.1283,1.1302,1.1218,1.1218,94250611
1984-11-20,1.1308,1.1374,1.1289,1.1374,91356430
1984-11-21,1.1311,1.1419,1.129,1.1374,64491430
1984-11-23,1.1409,1.1733,1.1409,1.1689,89158853
1984-11-26,1.1733,1.1777,1.1669,1.1689,131860518
