Date,Open,High,Low,Close,Volume
2008-03-18,10.399,10.399,10.399,10.399
2008-03-19,14.062,16.309,12.998,13.356,749416163
2008-03-20,13.803,15.361,13.59,15.211,210480599
2008-03-24,15.89,15.999,13.945,14.116,158343079
2008-03-25,14.318,15.187,14.138,14.949,92200860
2008-03-26,14.825,15.24,14.553,15.117,45631637
2008-03-27,15.139,15.3,14.807,14.866,42136374
2008-03-28,14.978,14.995,14.691,14.832,26125170
2008-03-31,14.794,15.004,14.665,14.738,23451476
2008-04-01,14.903,15.052,14.253,14.562,63923129
2008-04-02,14.589,14.728,14.299,14.728,46379638
2008-04-03,14.641,15.668,14.612,15.48,106694894
2008-04-04,15.338,15.437,15.07,15.24,38498694
2008-04-07,15.384,15.551,15.131,15.37,29949184
2008-04-08,15.338,16.128,15.316,16.093,57081398
2008-04-09,16.177,16.241,15.507,15.549,51132444
2008-04-10,15.637,15.771,15.386,15.626,23678357
2008-04-11,15.42,15.781,15.42,15.626,27961565
2008-04-14,15.765,15.89,15.487,15.524,30089572
2008-04-15,15.668,15.73,15.127,15.211,25284303
2008-04-16,15.258,15.824,15.258,15.632,26601627
2008-04-17,15.66,16.012,15.602,15.846,23759891
2008-04-18,16.074,16.65,15.882,16.309,110138314
2008-04-21,16.422,17.134,16.272,16.773,62287090
2008-04-22,16.998,17.111,16.542,16.61,50115345
2008-04-23,16.768,16.947,16.471,16.562,39493605
2008-04-24,16.828,17.25,16.552,17.088,41340253
2008-04-25,17.962,17.981,17.469,17.748,107321438
2008-04-28,18.082,18.268,17.702,17.875,140173007
2008-04-29,17.526,19.116,16.78,19.116,208706916
2008-04-30,19.239,20.044,19.162,19.723,156067043
2008-05-01,19.945,20.713,19.829,20.185,123119670
2008-05-02,20.63,20.681,19.144,19.557,144542878
2008-05-05,19.581,20.207,19.101,20.102,74442716
2008-05-06,20.2,20.835,20.03,20.688,80298540
2008-05-07,20.993,21.233,20.718,20.917,106268468
2008-05-08,21.153,21.212,20.313,20.633,98231745
2008-05-09,20.281,20.483,19.503,19.583,99760319
2008-05-12,19.771,19.967,18.459,19.358,156075144
2008-05-13,19.341,19.735,19.094,19.47,56348890
2008-05-14,19.688,19.936,19.251,19.434,54369783
2008-05-15,19.506,19.6,19.172,19.439,38850078
2008-05-16,19.547,19.581,19.206,19.468,36034600
2008-05-19,19.444,20.027,19.416,19.693,48288619
2008-05-20,19.588,19.815,19.36,19.554,43057997
2008-05-21,19.54,19.719,19.03,19.108,44247923
2008-05-22,19.042,19.049,18.001,18.271,90246272
2008-05-23,17.925,18.271,17.753,18.046,44663070
2008-05-27,18.18,18.658,17.576,18.611,66443591
2008-05-28,18.976,19.369,18.802,19.362,56098574
2008-05-29,19.719,20.551,19.619,20.149,106425593
2008-05-30,20.33,20.695,20.281,20.411,76210512
2008-06-02,20.375,20.551,19.995,20.342,38985034
2008-06-03,20.565,20.787,20.333,20.695,51285263
2008-06-04,20.58,20.823,20.156,20.202,43056074
2008-06-05,20.434,20.618,20.228,20.618,28622734
2008-06-06,20.303,20.324,19.748,19.771,44185003
2008-06-09,19.853,20.077,19.04,19.413,47853203
2008-06-10,18.979,19.586,18.815,18.98,38170801
2008-06-11,19.144,19.144,18.34,18.372,60331346
2008-06-12,18.66,19.089,18.565,18.804,47182185
2008-06-13,18.969,19.336,18.942,19.269,32492344
2008-06-16,19.257,19.735,19.169,19.681,36394554
2008-06-17,19.876,20.084,19.778,20.011,35213141
2008-06-18,19.787,20.018,19.721,19.82,35707918
2008-06-19,19.731,19.947,19.291,19.916,39067355
2008-06-20,19.609,19.972,19.557,19.753,45044911
2008-06-23,19.817,19.936,19.15,19.159,31912994
2008-06-24,18.921,19.602,18.556,19.535,52791646
2008-06-25,19.701,19.952,19.348,19.395,53655077
2008-06-26,19.049,19.082,18.439,18.696,81008040
2008-06-27,18.626,19.586,18.565,19.521,186216841
2008-06-30,19.383,19.578,18.979,19.217,52179507
2008-07-01,18.822,19.241,18.718,19.241,47526315
2008-07-02,19.358,19.475,18.742,18.771,35799146
2008-07-03,18.756,18.863,18.258,18.451,30419244
2008-07-07,18.553,18.894,17.491,17.873,84576401
2008-07-08,17.7,18.79,17.076,18.686,101347765
2008-07-09,18.672,18.696,17.82,17.932,58526624
2008-07-10,17.906,18.345,17.464,18.258,55904310
2008-07-11,17.868,18.304,17.491,17.621,57802131
2008-07-14,17.983,18.005,17.134,17.153,45160577
2008-07-15,16.843,16.855,15.902,16.172,89168801
2008-07-16,16.15,17.148,15.72,17.072,97831980
2008-07-17,17.42,17.738,16.865,17.738,71179635
2008-07-18,17.547,17.607,17.045,17.348,49327432
2008-07-21,17.469,17.711,16.917,16.994,55995332
2008-07-22,16.45,17.544,16.047,17.502,69202476
2008-07-23,17.372,17.724,17.158,17.312,52839489
2008-07-24,17.233,17.427,16.532,16.562,38748241
2008-07-25,16.672,17.099,16.326,17.008,40925628
2008-07-28,17.113,17.395,16.603,16.675,37774286
2008-07-29,16.787,17.955,16.783,17.955,51912993
2008-07-30,18.258,18.648,17.554,18.541,80484895
2008-07-31,18.015,18.471,16.898,17.267,157512263
2008-08-01,17.324,17.514,16.627,16.955,65302240
2008-08-04,16.962,17.395,16.901,17.134,45158770
2008-08-05,17.3,17.544,17.092,17.395,36352129
2008-08-06,17.205,17.207,16.797,16.896,43287900
2008-08-07,16.728,16.84,16.39,16.426,46418965
2008-08-08,16.489,17.216,16.335,17.158,38459189
2008-08-11,17.12,18.082,17.006,17.676,58484051
2008-08-12,17.537,17.679,17.158,17.205,35691005
2008-08-13,17.193,17.531,17.129,17.474,31664368
2008-08-14,17.46,17.913,17.395,17.911,27347545
2008-08-15,17.96,18.089,17.686,17.913,27511812
2008-08-18,17.873,18.022,17.523,17.711,27353210
2008-08-19,17.597,17.781,17.398,17.43,22343423
2008-08-20,17.514,17.657,17.41,17.625,19166193
2008-08-21,17.481,17.64,17.297,17.581,16448880
2008-08-22,17.81,17.913,17.453,17.511,22172804
2008-08-25,17.377,17.7,17.283,17.329,19082091
2008-08-26,17.413,17.561,17.221,17.334,19757714
2008-08-27,17.259,17.609,17.216,17.597,20252046
2008-08-28,17.666,17.918,17.531,17.88,28291669
2008-08-29,17.715,17.962,17.654,17.938,20444540
2008-09-02,18.159,18.316,17.582,17.723,31627147
2008-09-03,17.623,17.805,17.033,17.265,37445619
2008-09-04,17.139,17.165,16.486,16.662,39852536
2008-09-05,16.535,17.013,16.368,16.962,42991582
2008-09-08,17.374,17.559,16.231,16.566,59950333
2008-09-09,16.627,16.627,15.878,15.95,52763351
2008-09-10,15.897,16.518,15.749,16.319,46494741
2008-09-11,15.93,16.867,15.848,16.768,49860883
2008-09-12,16.525,16.937,16.368,16.935,29873809
2008-09-15,16.227,16.776,16.133,16.4,40980313
2008-09-16,15.747,16.299,15.361,15.683,88425660
2008-09-17,15.553,16.059,15.129,15.149,71440845
2008-09-18,15.175,15.89,13.799,15.813,89052827
2008-09-19,16.783,16.819,15.846,16.443,72932417
2008-09-22,16.289,16.306,15.338,15.403,48958208
2008-09-23,15.563,15.945,15.153,15.813,46383142
2008-09-24,15.848,16.004,15.48,15.524,25961105
2008-09-25,15.541,15.712,15.253,15.268,25275641
2008-09-26,14.825,14.985,14.369,14.663,54148229
2008-09-29,14.251,14.293,13.21,13.661,82970380
2008-09-30,13.327,14.52,13.327,14.51,40969865
2008-10-01,14.357,14.678,13.995,14.492,28662897
2008-10-02,14.534,14.534,13.544,13.612,37256108
2008-10-03,13.962,14.22,13.31,13.434,63971188
2008-10-06,12.626,13.24,11.875,13.089,92413788
2008-10-07,13.235,13.341,11.965,12.09,80242286
2008-10-08,11.584,12.864,11.284,12.439,79574045
2008-10-09,12.715,13.221,11.679,11.78,45007443
2008-10-10,11.108,12.753,11.108,12.289,79492783
2008-10-13,12.996,13.945,12.667,13.914,52303367
2008-10-14,14.653,14.68,13.059,13.617,56219600
2008-10-15,13.122,13.235,11.471,11.756,81155513
2008-10-16,11.851,12.604,11.354,12.543,59324243
2008-10-17,12.174,13.015,12.174,12.339,37144592
2008-10-20,12.599,12.721,12.083,12.292,38052853
2008-10-21,12.137,12.543,11.885,11.984,30690112
2008-10-22,11.808,12.289,11.344,11.466,42578584
2008-10-23,11.524,11.712,10.81,11.421,50743578
2008-10-24,10.351,11.463,10.336,11.339,43157190
2008-10-27,11.11,11.63,10.976,11.013,44351642
2008-10-28,11.32,12.193,11.12,11.808,61819931
2008-10-29,11.912,12.648,11.702,11.982,59277247
2008-10-30,11.958,13.275,11.956,12.821,79246514
2008-10-31,12.738,13.255,12.527,13.082,42706365
2008-11-03,13.217,13.26,12.268,12.405,30157644
2008-11-04,12.852,14.286,12.735,14.135,78155909
2008-11-05,13.777,13.992,13.339,13.348,47618074
2008-11-06,13.008,13.235,11.993,12.181,55110701
2008-11-07,12.395,12.949,12.129,12.645,32700827
2008-11-10,13.071,13.071,12.102,12.286,28053578
2008-11-11,12.051,12.996,11.903,12.715,34267350
2008-11-12,12.395,13.153,12.097,12.232,45223285
2008-11-13,12.261,12.898,11.789,12.866,40985779
2008-11-14,12.553,13.471,12.395,12.819,39571461
2008-11-17,12.553,12.816,12.211,12.469,31011192
2008-11-18,12.476,13.018,12.434,12.912,33367629
2008-11-19,12.763,13.198,12.112,12.193,36975562
2008-11-20,11.866,12.126,11.344,11.378,53943197
2008-11-21,11.721,11.721,10.29,10.962,89677456
2008-11-24,11.25,11.815,10.82,11.749,47445195
2008-11-25,11.903,12.046,11.582,11.707,47559914
2008-11-26,11.536,12.289,11.393,12.289,29270307
2008-11-28,12.223,12.464,12.095,12.422,13445975
2008-12-01,12.053,12.087,11.265,11.356,32758012
2008-12-02,11.508,11.758,11.232,11.739,28108514
2008-12-03,11.373,12.467,11.371,12.393,38508092
2008-12-04,12.272,12.467,11.868,12.008,32248490
2008-12-05,11.756,12.638,11.463,12.569,43513422
2008-12-08,12.857,13.631,12.757,13.275,56164183
2008-12-09,13.117,13.341,12.551,12.653,33983485
2008-12-10,12.562,12.728,12.041,12.564,31930362
2008-12-11,12.383,12.901,12.225,12.31,31752746
2008-12-12,11.939,12.743,11.936,12.515,26646689
2008-12-15,12.481,12.71,12.236,12.467,23121449
2008-12-16,12.597,12.945,12.464,12.942,32500794
2008-12-17,12.831,13.235,12.777,13.084,26500340
2008-12-18,13.087,13.281,12.78,12.927,32129556
2008-12-19,12.884,13.29,12.712,12.991,37646691
2008-12-22,12.964,13.056,12.522,12.705,14897707
2008-12-23,12.651,12.857,12.555,12.681,11316442
2008-12-24,12.631,12.705,12.443,12.501,6906417
2008-12-26,12.474,12.636,12.272,12.586,6850999
2008-12-29,12.539,12.667,12.272,12.329,14604576
2008-12-30,12.335,12.335,11.881,12.051,18089459
2008-12-31,11.963,12.472,11.961,12.395,17317020
2009-01-02,12.508,12.696,12.344,12.631,13998619
2009-01-05,12.527,13.071,12.527,12.721,17559009
2009-01-06,12.881,13.703,12.881,13.617,34420595
2009-01-07,13.399,13.697,13.233,13.322,30129712
2009-01-08,13.238,13.308,12.591,13.178,36693187
2009-01-09,13.24,13.31,12.945,13.146,17668139
2009-01-12,13.068,13.272,12.422,12.518,33351643
2009-01-13,12.467,12.607,12.176,12.559,24470769
2009-01-14,12.292,12.434,11.868,12.046,26773589
2009-01-15,11.907,12.018,11.225,11.672,50223338
2009-01-16,11.589,11.689,10.685,11.204,73211964
2009-01-20,10.884,10.969,9.94,10.027,63223489
2009-01-21,10.211,10.671,10.092,10.442,53423443
2009-01-22,10.346,10.796,10.218,10.442,33772507
2009-01-23,10.09,10.506,9.874,10.475,23925075
2009-01-26,10.47,10.692,10.05,10.067,25470408
2009-01-27,10.279,10.445,10.079,10.435,27970328
2009-01-28,10.851,11.221,10.694,11.161,33956008
2009-01-29,10.858,11.371,10.694,10.935,27608997
2009-01-30,11.12,11.665,11.076,11.665,32075592
2009-02-02,11.407,11.813,11.235,11.808,30193207
2009-02-03,11.866,12.041,11.391,11.438,30638979
2009-02-04,11.548,11.873,11.477,11.613,35082201
2009-02-05,12.344,13.022,12.174,12.702,102327365
2009-02-06,12.753,13.235,12.688,13.096,48559438
2009-02-09,13.122,13.319,12.903,13.076,33750446
2009-02-10,13.03,13.235,12.673,12.728,40285334
2009-02-11,12.787,13.054,12.645,12.988,25040801
2009-02-12,12.828,13.378,12.551,13.331,36851363
2009-02-13,13.454,13.697,13.062,13.223,43156223
2009-02-17,12.924,13.047,12.686,12.821,37641753
2009-02-18,12.896,13.444,12.821,13.272,38439299
