Date,Open,High,Low,Close,Volume
2005-02-25,48.588,48.856,48.588,48.82,2394
2005-02-28,48.838,48.838,48.588,48.749,3478
2005-03-01,48.967,49.214,48.967,49.214,2174
2005-03-02,49.15,49.527,49.15,49.345,1739
2005-03-03,49.383,49.383,49.106,49.316,4455
2005-03-04,49.564,49.677,49.564,49.592,2174
2005-03-07,49.767,49.886,49.668,49.84,7067
2005-03-08,49.732,49.732,49.454,49.527,6086
2005-03-09,49.05,49.133,48.838,48.846,2610
2005-03-10,48.921,48.939,48.739,48.921,3587
2005-03-11,49.015,49.022,48.801,48.882,6304
2005-03-14,48.949,48.949,48.829,48.873,2069
2005-03-15,49.326,49.383,49.096,49.096,1955
2005-03-16,48.902,48.912,48.682,48.682,7717
2005-03-17,48.912,48.912,48.71,48.865,1955
2005-03-18,48.672,48.672,48.407,48.407,3370
2005-03-21,48.407,48.5,48.085,48.5,3370
2005-03-22,48.578,48.578,48.37,48.37,3370
2005-03-23,47.837,47.926,47.817,47.854,4894
2005-03-24,48.046,48.13,47.936,47.936,3697
2005-03-28,48.257,48.257,48.257,48.257,1195
2005-03-29,48.121,48.24,47.726,47.726,5328
2005-03-30,47.926,48.274,47.926,48.194,1631
2005-03-31,48.472,48.472,48.351,48.351,326
2005-04-01,48.739,48.739,47.926,48.094,5544
2005-04-04,47.864,47.918,47.677,47.837,870
2005-04-05,48.265,48.453,48.265,48.397,1525
2005-04-06,48.462,48.5,48.265,48.274,6197
2005-04-07,48.16,48.462,48.16,48.425,1631
2005-04-08,48.625,48.625,48.13,48.15,2610
2005-04-11,47.918,48.019,47.918,48.019,435
2005-04-12,47.837,48.204,47.56,48.204,6957
2005-04-13,48.211,48.211,47.662,47.662,1955
2005-04-14,47.569,47.569,47.118,47.192,4455
2005-04-15,46.593,46.659,45.997,46.069,3697
2005-04-18,45.968,46.18,45.857,46.105,5761
2005-04-19,46.289,46.289,46.078,46.17,5977
2005-04-20,46.032,46.069,45.507,45.507,2718
2005-04-21,46.06,46.493,45.968,46.493,2826
2005-04-22,46.383,46.383,45.997,45.997,650
2005-04-25,46.279,46.289,45.987,45.987,2498
2005-04-26,46.217,46.419,46.052,46.096,4569
2005-04-27,45.638,46.069,45.592,46.042,2281
2005-04-28,45.773,45.857,45.773,45.857,545
2005-04-29,45.592,45.592,44.838,45.086,12827
2005-05-02,45.765,45.765,45.399,45.399,1739
2005-05-03,45.748,46.006,45.673,45.673,19458
2005-05-04,45.997,46.639,45.913,46.639,9022
2005-05-05,46.458,46.621,46.448,46.621,1525
2005-05-06,46.833,46.833,46.519,46.593,3262
2005-05-09,46.538,46.732,46.529,46.732,870
2005-05-10,46.631,46.631,46.261,46.261,4022
2005-05-11,46.27,46.409,46.006,46.409,1195
2005-05-12,46.474,46.547,46.032,46.032,2174
2005-05-13,46.042,46.153,45.572,45.812,3697
2005-05-16,46.015,46.391,46.015,46.391,2069
2005-05-17,46.458,46.88,46.458,46.88,4783
2005-05-18,47.265,47.745,47.265,47.745,23807
2005-05-19,47.789,48.066,47.789,48.066,6740
2005-05-20,48.019,48.103,48.019,48.103,326
2005-05-23,48.221,48.472,48.221,48.443,2498
2005-05-24,48.178,48.36,48.178,48.36,1631
2005-05-25,48.194,48.194,47.992,48.085,1525
2005-05-26,48.351,48.435,48.341,48.435,5434
2005-05-27,48.5,48.543,48.453,48.525,1955
2005-05-31,48.443,48.443,48.313,48.323,3370
2005-06-01,48.341,48.811,48.341,48.5,1412
2005-06-02,48.749,49.005,48.749,49.005,1850
2005-06-03,48.873,48.882,48.625,48.625,17501
2005-06-06,48.71,48.749,48.509,48.719,10110
2005-06-07,48.846,49.272,48.846,49.06,4894
2005-06-08,49.031,49.031,48.552,48.552,5434
2005-06-09,48.525,48.995,48.516,48.856,8803
2005-06-10,48.892,48.949,48.692,48.838,3370
2005-06-13,48.846,48.957,48.739,48.931,5218
2005-06-14,49.262,49.488,49.262,49.429,6957
2005-06-15,49.518,49.592,49.214,49.437,8044
2005-06-16,49.554,49.695,49.527,49.695,21850
2005-06-17,49.943,49.943,49.686,49.821,3152
2005-06-20,49.564,49.739,49.544,49.739,1412
2005-06-21,49.777,49.923,49.686,49.777,3043
2005-06-22,50.008,50.008,49.704,49.859,3587
2005-06-23,49.813,49.85,49.116,49.116,4242
2005-06-24,49.116,49.116,48.701,48.765,7392
2005-06-27,48.663,48.672,48.378,48.57,10872
2005-06-28,48.57,49.176,48.57,49.176,4783
2005-06-29,49.214,49.272,48.931,49.031,2281
2005-06-30,49.214,49.214,48.757,48.757,5761
2005-07-01,48.949,48.967,48.783,48.82,34569
2005-07-05,48.873,49.402,48.873,49.335,4569
2005-07-06,49.307,49.307,48.986,49.078,5434
2005-07-07,48.562,49.05,48.562,49.05,3915
2005-07-08,49.205,49.659,49.159,49.554,1739
2005-07-11,49.981,50.218,49.981,50.052,3587
2005-07-12,50.228,50.466,50.068,50.382,1850
2005-07-13,50.276,50.4,50.173,50.291,2936
2005-07-14,50.476,50.522,50.218,50.218,1850
2005-07-15,50.447,50.697,50.382,50.661,2394
2005-07-18,50.697,50.704,50.503,50.661,5328
2005-07-19,50.633,50.956,50.633,50.956,36743
2005-07-20,50.613,51.083,50.613,51.083,4455
2005-07-21,50.908,51,50.643,50.805,3043
2005-07-22,51.019,51.176,50.908,51.156,7501
2005-07-25,51.176,51.285,50.751,50.751,7717
2005-07-26,50.787,51.127,50.787,51.027,2069
2005-07-27,51.063,51.193,50.853,51.193,2498
2005-07-28,51.472,51.783,51.303,51.764,4022
2005-07-29,51.673,51.673,51.33,51.33,2174
2005-08-01,51.434,51.442,51.33,51.442,1087
2005-08-02,51.367,51.489,51.367,51.395,11304
2005-08-03,51.405,51.405,51.156,51.303,4783
2005-08-04,50.796,50.918,50.613,50.787,3587
2005-08-05,50.733,50.733,50.228,50.228,2174
2005-08-08,50.338,50.338,50.107,50.107,1087
2005-08-09,50.236,50.623,50.078,50.578,114469
2005-08-10,50.643,51.083,50.623,50.623,1306
2005-08-11,50.67,50.843,50.503,50.54,2069
2005-08-12,50.704,50.724,50.318,50.724,3697
2005-08-15,50.623,50.918,50.623,50.918,545
2005-08-16,50.633,50.633,50.087,50.173,3262
2005-08-17,50.068,50.338,50.043,50.291,3262
2005-08-18,49.981,50.136,49.981,50.043,980
2005-08-19,50.163,50.163,49.831,49.905,5109
2005-08-22,49.84,50.097,49.714,49.813,5000
2005-08-23,49.813,49.831,49.488,49.677,8803
2005-08-24,49.573,49.962,49.365,49.392,5544
2005-08-25,49.392,49.544,49.392,49.488,2281
2005-08-26,49.429,49.429,49.186,49.335,1087
2005-08-29,48.995,49.383,48.995,49.383,1195
2005-08-30,49.262,49.262,48.739,48.791,2718
2005-08-31,49.015,49.124,48.801,49.005,57181
2005-09-01,49.234,49.409,48.892,48.967,1525
2005-09-02,48.986,48.986,48.719,48.719,1087
2005-09-06,48.931,49.419,48.931,49.419,760
2005-09-07,49.419,49.952,49.419,49.952,3043
2005-09-08,49.535,49.602,49.454,49.481,21850
2005-09-09,49.612,49.877,49.612,49.758,35002
2005-09-12,49.758,50.027,49.758,50.027,870
2005-09-13,49.886,49.886,49.429,49.429,9131
2005-09-14,49.463,49.463,48.939,48.939,6414
2005-09-15,48.939,48.986,48.729,48.882,4022
2005-09-16,49.087,49.087,48.791,48.995,1631
2005-09-19,48.931,48.931,48.265,48.265,7501
2005-09-20,48.425,48.453,47.46,47.56,2936
2005-09-21,47.486,47.486,46.686,46.686,9891
2005-09-22,46.759,47.522,46.649,47.467,13805
2005-09-23,47.258,47.697,47.248,47.605,1412
2005-09-26,47.881,48.056,47.431,47.697,5218
2005-09-27,47.707,47.736,47.412,47.624,4348
2005-09-28,47.614,47.633,47.212,47.293,7174
2005-09-29,47.145,47.653,47.118,47.578,26308
2005-09-30,47.697,48.046,47.653,48.019,6848
2005-10-03,48.066,48.221,47.955,48.121,7392
2005-10-04,47.972,48.194,47.605,47.677,8803
2005-10-05,47.677,47.677,46.925,46.925,1850
2005-10-06,47.045,47.258,46.573,46.907,65984
