Date,Open,High,Low,Close,Volume
2005-02-25,47.394,47.616,47.299,47.573,3851
2005-02-28,47.616,47.736,47.437,47.573,5485
2005-03-01,47.72,48.004,47.72,48.004,5950
2005-03-02,47.712,48.019,47.712,47.96,4202
2005-03-03,48.08,48.132,47.874,48.028,7001
2005-03-04,48.097,48.31,48.097,48.285,2917
2005-03-07,48.26,48.26,48.043,48.123,9216
2005-03-08,48.132,48.132,47.916,47.942,4431
2005-03-09,47.72,47.779,47.489,47.573,3733
2005-03-10,47.66,47.824,47.573,47.607,3502
2005-03-11,47.642,47.762,47.367,47.43,1867
2005-03-14,47.523,47.557,47.489,47.539,2566
2005-03-15,47.583,47.642,47.36,47.36,2801
2005-03-16,47.316,47.316,47,47,5599
2005-03-17,47.051,47.267,47.027,47.172,2218
2005-03-18,47.23,47.23,47.027,47.051,1518
2005-03-21,47.127,47.127,46.784,46.905,8751
2005-03-22,46.922,47.018,46.683,46.683,6531
2005-03-23,46.666,46.964,46.624,46.872,11435
2005-03-24,46.88,47.027,46.846,46.846,15401
2005-03-28,46.932,47.136,46.898,47.076,10964
2005-03-29,46.855,47.146,46.818,46.818,5368
2005-03-30,47.059,47.498,47.059,47.498,17382
2005-03-31,47.36,47.394,47.267,47.316,12249
2005-04-01,47.402,47.402,46.7,46.94,27999
2005-04-04,46.973,47.136,46.827,47.136,5485
2005-04-05,47.146,47.377,47.146,47.367,1284
2005-04-06,47.489,47.489,47.24,47.24,7932
2005-04-07,47.258,47.573,47.197,47.549,4901
2005-04-08,47.668,47.688,47.472,47.514,6067
2005-04-11,47.567,47.607,47.489,47.504,4431
2005-04-12,47.489,47.815,47.164,47.744,7699
2005-04-13,47.704,47.797,47.402,47.514,11435
2005-04-14,47.591,47.668,47.446,47.446,8165
2005-04-15,47.385,47.42,46.922,46.957,9332
2005-04-18,46.957,46.991,46.658,46.743,3615
2005-04-19,46.794,46.905,46.544,46.889,16449
2005-04-20,46.818,46.863,46.143,46.143,7817
2005-04-21,46.666,46.973,46.529,46.94,52847
2005-04-22,46.743,46.811,46.425,46.425,4666
2005-04-25,46.587,46.94,46.587,46.932,4548
2005-04-26,46.743,46.957,46.709,46.709,3502
2005-04-27,46.279,46.846,46.279,46.743,42812
2005-04-28,46.743,46.94,46.512,46.512,3967
2005-04-29,46.596,46.743,46.236,46.743,8401
2005-05-02,46.784,47.11,46.784,47.11,215819
2005-05-03,46.932,47.385,46.932,47.23,2448
2005-05-04,47.333,47.753,47.333,47.688,60080
2005-05-05,47.634,47.634,47.188,47.607,3382
2005-05-06,47.762,47.762,47.402,47.402,4318
2005-05-09,47.402,47.688,47.402,47.616,4784
2005-05-10,47.463,47.557,47.23,47.402,6417
2005-05-11,47.489,47.634,47.146,47.616,47480
2005-05-12,47.616,47.651,47.316,47.43,10500
2005-05-13,47.316,47.351,46.734,47.018,7466
2005-05-16,47.059,47.523,47.051,47.523,7234
2005-05-17,47.367,47.72,47.341,47.72,7466
2005-05-18,48.019,48.302,47.84,48.26,11201
2005-05-19,48.278,48.415,48.14,48.415,5950
2005-05-20,48.44,48.551,48.207,48.541,16682
2005-05-23,48.483,48.705,48.302,48.475,6649
2005-05-24,48.475,48.533,48.207,48.501,6531
2005-05-25,48.405,48.431,48.043,48.31,11435
2005-05-26,48.371,48.458,48.302,48.371,6531
2005-05-27,48.32,48.345,48.199,48.285,63230
2005-05-31,48.089,48.175,47.997,48.061,6649
2005-06-01,47.933,48.501,47.933,48.207,4431
2005-06-02,48.183,48.575,48.183,48.575,9452
2005-06-03,48.448,48.466,47.933,48.156,11784
2005-06-06,48.14,48.251,47.9,48.113,8751
2005-06-07,48.329,48.575,48.26,48.493,5950
2005-06-08,48.526,48.559,48.113,48.217,8515
2005-06-09,48.132,48.396,48.097,48.293,14816
2005-06-10,48.345,48.379,47.916,48.148,8401
2005-06-13,48.175,48.44,47.978,48.235,14930
2005-06-14,48.227,48.387,48.132,48.293,5485
2005-06-15,48.363,48.363,47.951,48.354,25548
2005-06-16,48.217,48.396,48.19,48.354,5834
2005-06-17,48.526,48.559,48.285,48.387,5599
2005-06-20,48.26,48.431,48.028,48.431,4901
2005-06-21,48.431,48.431,48.183,48.32,7932
2005-06-22,48.475,48.475,48.183,48.235,10847
2005-06-23,48.293,48.329,47.66,47.849,10033
2005-06-24,47.704,47.72,47.316,47.351,22865
2005-06-27,47.299,47.351,47.146,47.316,13884
2005-06-28,47.573,47.806,47.557,47.762,7351
2005-06-29,47.815,47.882,47.53,47.53,17033
2005-06-30,47.66,47.736,47.275,47.275,6649
2005-07-01,47.42,47.599,47.333,47.455,10150
2005-07-05,47.489,47.84,47.489,47.72,7001
2005-07-06,47.704,47.704,47.316,47.36,29284
2005-07-07,47.146,47.367,47.018,47.367,5017
2005-07-08,47.188,47.779,47.188,47.779,11315
2005-07-11,47.815,48.148,47.815,48.106,40714
2005-07-12,48.26,48.379,48.132,48.32,4431
2005-07-13,48.32,48.387,48.235,48.354,4318
2005-07-14,48.533,48.672,48.509,48.672,3266
2005-07-15,48.602,48.602,48.526,48.594,3733
2005-07-18,48.483,48.584,48.44,48.517,4666
2005-07-19,48.517,48.517,48.268,48.371,40479
2005-07-20,48.19,48.458,48.061,48.458,9452
2005-07-21,48.517,48.517,48.217,48.26,6531
2005-07-22,48.31,48.541,48.251,48.526,5950
2005-07-25,48.466,48.466,48.251,48.302,7817
2005-07-26,48.431,48.611,48.354,48.526,43514
2005-07-27,48.568,48.629,48.396,48.568,25898
2005-07-28,48.638,49.014,48.638,48.971,7932
2005-07-29,48.971,49.033,48.826,48.826,4548
2005-08-01,48.826,48.826,48.575,48.575,1984
2005-08-02,48.689,48.799,48.689,48.758,7118
2005-08-03,48.713,48.784,48.568,48.784,7699
2005-08-04,48.758,48.758,48.379,48.415,2448
2005-08-05,48.285,48.285,48.019,48.028,3382
2005-08-08,48.043,48.156,47.874,47.933,6182
2005-08-09,48.071,48.089,47.924,48.043,6299
2005-08-10,48.207,48.415,47.882,47.96,3266
2005-08-11,47.916,48.148,47.824,47.987,2917
2005-08-12,48.071,48.071,47.736,47.9,6067
2005-08-15,47.96,48.199,47.806,48.113,6649
2005-08-16,48.207,48.207,47.688,47.704,6531
