Date,Open,High,Low,Close,Volume
2005-02-25,44.831,45.252,44.761,45.252,20242
2005-02-28,45.193,45.193,44.865,44.968,16308
2005-03-01,45.41,45.452,45.295,45.442,7171
2005-03-02,45.132,45.565,45.132,45.244,7979
2005-03-03,45.357,45.357,44.951,45.158,13184
2005-03-04,45.461,45.774,45.461,45.774,4047
2005-03-07,45.816,46.03,45.764,45.764,2890
2005-03-08,45.737,45.797,45.66,45.719,2313
2005-03-09,45.522,45.522,45.091,45.122,3814
2005-03-10,45.295,45.295,45.166,45.166,2890
2005-03-11,45.289,45.289,44.786,44.786,2313
2005-03-14,45.184,45.184,45.114,45.132,1038
2005-03-15,45.279,45.279,44.985,45.057,2546
2005-03-16,44.823,44.823,44.536,44.613,9599
2005-03-17,44.415,44.588,44.415,44.527,3354
2005-03-18,44.165,44.242,44.165,44.242,2313
2005-03-21,44.174,44.174,43.757,43.862,2546
2005-03-22,44.017,44.017,43.232,43.232,1852
2005-03-23,43.044,43.232,43.044,43.232,2083
2005-03-24,43.142,43.307,43.016,43.068,6942
2005-03-28,43.125,43.125,43.107,43.107,577
2005-03-29,43.062,43.299,43.062,43.062,6015
2005-03-30,43.068,43.359,43.068,43.265,1620
2005-03-31,43.307,43.413,43.307,43.413,2313
2005-04-01,43.603,43.603,42.702,42.711,5784
2005-04-04,42.799,43.16,42.627,43.16,52277
2005-04-05,43.16,43.241,43.142,43.142,5901
2005-04-06,43.368,43.566,43.34,43.422,4973
2005-04-07,43.422,43.618,43.422,43.532,1502
2005-04-08,43.448,43.448,43.204,43.284,3354
2005-04-11,43.378,43.378,43.178,43.35,1620
2005-04-12,43.091,43.17,43.044,43.044,4628
2005-04-13,43.792,43.792,43.142,43.142,2890
2005-04-14,43.044,43.044,42.86,42.86,3471
2005-04-15,42.9,42.925,42.279,42.279,7749
2005-04-18,42.437,42.728,42.373,42.627,10524
2005-04-19,42.824,42.877,42.711,42.79,3585
2005-04-20,42.627,42.661,42.15,42.15,3007
2005-04-21,42.445,42.478,42.201,42.478,3239
2005-04-22,42.373,42.6,42.15,42.15,923
2005-04-25,42.537,42.883,42.537,42.832,3239
2005-04-26,42.762,42.907,42.762,42.841,811
2005-04-27,42.478,43.178,42.478,43.085,2430
2005-04-28,43.085,43.116,42.841,42.841,4395
2005-04-29,42.799,42.925,42.519,42.925,21743
2005-05-02,43.49,43.524,43.142,43.404,5784
2005-05-03,43.532,43.741,43.359,43.359,1389
2005-05-04,43.706,44.294,43.61,44.216,12029
2005-05-05,44.286,44.286,43.905,44.174,1389
2005-05-06,44.249,44.249,43.905,44.042,1620
2005-05-09,43.94,44.224,43.828,44.224,4047
2005-05-10,44.017,44.017,43.646,43.646,3239
2005-05-11,43.732,44.042,43.698,44.042,4628
2005-05-12,44.068,44.068,43.508,43.549,6594
2005-05-13,43.49,43.49,43.006,43.116,8561
2005-05-16,43.265,43.855,43.265,43.837,4508
2005-05-17,43.69,44.113,43.636,44.113,4741
2005-05-18,44.476,44.814,44.449,44.7,7517
2005-05-19,44.657,44.838,44.527,44.838,5901
2005-05-20,44.7,44.708,44.553,44.708,1156
2005-05-23,44.786,44.934,44.7,44.934,2313
2005-05-24,44.683,44.683,44.536,44.536,3932
2005-05-25,44.605,44.605,44.344,44.425,2890
2005-05-26,44.484,44.814,44.484,44.814,3814
2005-05-27,44.752,44.856,44.7,44.823,3354
2005-05-31,44.856,44.856,44.683,44.786,4861
2005-06-01,44.743,45.295,44.743,44.96,3354
2005-06-02,44.915,45.091,44.897,45.082,6594
2005-06-03,45.098,45.098,44.795,44.814,4861
2005-06-06,44.814,44.838,44.725,44.838,2890
2005-06-07,45.149,45.357,45.114,45.114,18735
2005-06-08,45.114,45.211,45.021,45.021,6015
2005-06-09,44.925,45.184,44.897,45.107,1389
2005-06-10,45.202,45.202,44.856,45.011,2083
2005-06-13,44.96,45.141,44.915,44.977,2546
2005-06-14,45.003,45.184,45.003,45.184,6476
2005-06-15,45.347,45.347,45.114,45.339,8095
2005-06-16,45.331,45.513,45.331,45.513,3700
2005-06-17,45.632,45.781,45.616,45.781,6246
2005-06-20,45.632,45.832,45.513,45.824,4279
2005-06-21,45.719,45.806,45.704,45.781,5554
2005-06-22,45.954,45.97,45.774,45.797,3700
2005-06-23,45.85,45.85,45.402,45.442,5664
2005-06-24,45.244,45.452,45.244,45.304,5202
2005-06-27,45.073,45.114,45.003,45.107,19427
2005-06-28,45.252,45.478,45.252,45.478,7286
2005-06-29,45.688,45.756,45.582,45.695,7749
2005-06-30,45.857,45.886,45.669,45.756,2430
2005-07-01,45.591,45.651,45.442,45.54,18735
2005-07-05,45.442,45.927,45.442,45.824,4164
2005-07-06,45.824,45.927,45.679,45.679,7749
2005-07-07,45.202,45.573,45.202,45.573,4508
2005-07-08,45.66,46.223,45.66,46.223,5435
2005-07-11,46.265,46.456,46.265,46.378,2546
2005-07-12,46.488,46.594,46.378,46.506,3354
2005-07-13,46.627,46.627,46.438,46.618,22092
2005-07-14,46.784,46.784,46.602,46.664,5435
2005-07-15,46.664,46.713,46.488,46.671,2773
2005-07-18,46.533,46.533,46.35,46.388,6594
2005-07-19,46.388,46.543,46.388,46.48,40831
2005-07-20,46.35,46.713,46.342,46.611,6360
2005-07-21,46.646,46.646,46.265,46.36,4395
2005-07-22,46.333,46.559,46.299,46.559,4861
2005-07-25,46.646,46.671,46.42,46.42,8792
2005-07-26,46.559,46.602,46.43,46.578,2658
2005-07-27,46.611,46.611,46.388,46.586,5202
2005-07-28,46.713,46.784,46.586,46.784,2773
2005-07-29,46.731,46.731,46.447,46.447,5784
2005-08-01,46.43,46.569,46.42,46.447,3354
2005-08-02,46.559,46.696,46.515,46.637,20474
2005-08-03,46.688,46.766,46.586,46.766,6594
2005-08-04,46.688,46.688,46.43,46.447,4395
2005-08-05,46.342,46.342,45.695,45.806,10178
2005-08-08,45.764,45.764,45.385,45.487,8792
2005-08-09,45.651,45.797,45.598,45.641,17230
2005-08-10,45.954,46.207,45.719,45.79,7055
2005-08-11,45.598,45.946,45.598,45.946,4395
2005-08-12,45.737,45.806,45.522,45.806,4047
2005-08-15,45.712,46.076,45.66,46.048,4861
2005-08-16,46.048,46.127,45.85,45.85,3354
2005-08-17,45.832,45.91,45.608,45.797,7403
2005-08-18,45.719,45.797,45.531,45.719,6821
2005-08-19,45.756,45.876,45.756,45.841,4279
2005-08-22,45.867,45.996,45.756,45.841,8212
2005-08-23,45.996,45.996,45.616,45.797,6360
2005-08-24,45.737,45.85,45.366,45.428,17118
2005-08-25,45.433,45.565,45.385,45.47,11334
2005-08-26,45.478,45.478,45.091,45.107,11795
2005-08-29,44.873,45.313,44.831,45.289,6821
2005-08-30,44.985,45.066,44.814,45.048,4861
2005-08-31,45.048,45.385,44.847,45.385,19201
2005-09-01,45.433,45.79,45.211,45.719,9948
2005-09-02,45.712,45.737,45.549,45.591,3007
2005-09-06,45.651,46.085,45.651,46.012,11334
2005-09-07,46.153,46.153,45.894,46.091,4395
2005-09-08,45.919,45.996,45.816,45.876,52505
2005-09-09,45.91,46.17,45.903,46.085,4973
2005-09-12,46.216,46.273,46.144,46.17,7055
2005-09-13,46.127,46.144,45.894,45.954,7403
2005-09-14,45.996,46.085,45.764,45.764,4741
2005-09-15,45.841,45.841,45.719,45.747,1389
2005-09-16,46.057,46.42,46.012,46.42,6594
2005-09-19,46.396,46.396,45.987,46.038,6129
2005-09-20,46.216,46.43,45.79,45.79,5554
2005-09-21,45.737,45.737,45.003,45.003,7979
2005-09-22,44.856,45.27,44.7,45.27,4861
2005-09-23,45.114,45.505,44.985,45.428,2313
2005-09-26,45.433,45.433,45.048,45.158,7171
2005-09-27,45.202,45.236,44.925,45.082,6594
2005-09-28,45.132,45.252,44.795,44.838,6476
2005-09-29,44.96,45.531,44.786,45.505,10292
2005-09-30,45.582,45.582,45.433,45.531,3814
