Date,Open,High,Low,Close,Volume
2005-02-25,48.36,48.36,48.36,48.36,895
2005-03-01,48.519,48.609,48.491,48.564,6928
2005-03-02,48.5,48.859,48.5,48.734,782
2005-03-03,48.795,48.887,48.528,48.887,3688
2005-03-04,49.112,49.504,49.102,49.504,3911
2005-03-07,49.745,49.844,49.727,49.774,4357
2005-03-08,49.755,49.782,49.672,49.672,4134
2005-03-09,49.371,49.476,49.371,49.398,4021
2005-03-10,49.289,49.297,49.037,49.244,4469
2005-03-11,49.414,49.414,49.13,49.13,1789
2005-03-14,49.271,49.343,49.164,49.182,5139
2005-03-15,49.316,49.316,49.198,49.198,3352
2005-03-16,49.083,49.083,48.564,48.636,4134
2005-03-17,48.708,48.833,48.617,48.654,4244
2005-03-18,48.734,48.734,48.654,48.654,670
2005-03-21,48.564,48.743,48.564,48.726,1565
2005-03-22,48.95,48.983,48.752,48.752,1677
2005-03-23,48.5,48.5,48.268,48.268,5476
2005-03-24,48.636,48.636,48.5,48.5,2460
2005-03-28,48.591,48.591,48.51,48.564,895
2005-03-29,48.369,48.475,47.769,47.769,6147
2005-03-30,47.981,48.277,47.981,48.277,558
2005-03-31,48.377,48.422,48.304,48.304,2794
2005-04-01,48.5,48.5,47.874,47.874,3131
2005-04-04,47.696,47.947,47.696,47.947,29167
2005-04-05,47.981,48.144,47.965,48.144,2569
2005-04-06,48.313,48.429,48.207,48.225,4244
2005-04-07,48.387,48.465,48.387,48.465,6370
2005-04-08,48.331,48.331,48.154,48.154,1342
2005-04-11,48.037,48.162,47.991,48.08,782
2005-04-12,48.029,48.029,47.588,47.947,3131
2005-04-13,48.277,48.277,47.571,47.624,3131
2005-04-14,47.338,47.338,47.015,47.034,1004
2005-04-15,46.854,46.854,46.371,46.371,4806
2005-04-18,46.228,46.408,45.89,46.274,5811
2005-04-19,46.416,46.48,46.389,46.443,1451
2005-04-20,46.756,46.756,46.122,46.122,1677
2005-04-21,46.489,46.756,46.453,46.756,1789
2005-04-22,46.864,46.971,46.399,46.399,4915
2005-04-25,47.034,47.169,46.873,46.873,1119
2005-04-26,47.052,47.052,46.686,46.686,1789
2005-04-27,46.139,46.612,46.139,46.612,1227
2005-04-28,46.425,46.443,46.023,46.023,4692
2005-04-29,45.852,46.399,45.852,46.399,28050
2005-05-02,46.827,46.827,46.542,46.748,3131
2005-05-03,46.631,46.631,46.631,46.631,223
2005-05-04,46.677,46.845,46.677,46.845,3240
2005-05-05,46.891,46.891,46.891,46.891,111
2005-05-06,47.132,47.231,46.981,47.096,35872
2005-05-09,47.034,47.293,46.998,47.293,1342
2005-05-10,46.99,47.06,46.712,46.811,4469
2005-05-11,46.881,47.204,46.56,47.204,3240
2005-05-12,47.142,47.169,46.631,46.631,2346
2005-05-13,46.641,46.722,46.55,46.658,1900
2005-05-16,46.587,46.811,46.587,46.811,1451
2005-05-17,46.802,46.881,46.686,46.686,1565
2005-05-18,47.571,48.162,47.508,48.09,4915
2005-05-19,48.054,48.162,47.955,48.162,3131
2005-05-20,48.019,48.071,47.955,48.019,1227
2005-05-23,48.233,48.538,48.225,48.519,5030
2005-05-24,48.286,48.34,48.197,48.34,1789
2005-05-25,48.054,48.054,47.865,47.865,1677
2005-05-26,48.251,48.268,48.107,48.17,2123
2005-05-27,48.197,48.286,48.197,48.286,1342
2005-05-31,48.117,48.117,48.117,48.117,1451
2005-06-01,48.216,48.456,48.216,48.286,5139
2005-06-02,48.395,48.5,48.387,48.395,2123
2005-06-03,48.412,48.412,48.126,48.126,2907
2005-06-06,47.965,48.144,47.965,48.135,5586
2005-06-07,48.189,48.805,48.189,48.555,1677
2005-06-08,48.412,48.412,48.331,48.331,334
2005-06-09,47.858,48.08,47.832,48.08,670
2005-06-10,47.965,47.973,47.893,47.893,1004
2005-06-13,48.251,48.251,48.162,48.162,1565
2005-06-14,48.197,48.242,48.117,48.17,13970
2005-06-15,48.17,48.17,47.973,48.044,2236
2005-06-16,48.277,48.369,48.216,48.369,1119
2005-06-17,48.591,48.795,48.591,48.786,8380
2005-06-20,48.664,48.664,48.475,48.475,2236
2005-06-21,48.547,48.555,48.331,48.395,3131
2005-06-22,48.591,48.617,48.286,48.313,2569
2005-06-23,48.331,48.36,47.553,47.563,4806
2005-06-24,47.06,47.06,46.854,46.854,1004
2005-06-27,46.929,46.929,46.729,46.919,2569
2005-06-28,47.383,47.571,47.355,47.553,2684
2005-06-29,47.661,47.841,47.616,47.616,2460
2005-06-30,47.759,47.785,47.328,47.328,2346
2005-07-01,47.438,47.474,47.301,47.301,15088
2005-07-05,47.285,47.652,47.285,47.652,1227
2005-07-06,47.579,47.596,47.328,47.328,4134
2005-07-07,46.929,47.034,46.836,47.034,1451
2005-07-08,47.373,48.001,47.373,48.001,5924
2005-07-11,48.225,48.313,48.225,48.268,2460
2005-07-12,48.369,48.369,48.09,48.233,1342
2005-07-13,48.268,48.268,48.135,48.268,1900
2005-07-14,48.574,48.617,48.456,48.5,6034
2005-07-15,48.323,48.555,48.323,48.555,2794
2005-07-18,48.404,48.475,48.387,48.387,895
2005-07-19,48.395,48.849,48.395,48.849,72300
2005-07-20,48.626,49.398,48.626,49.398,3131
2005-07-21,49.577,49.577,49.174,49.174,2012
2005-07-22,49.234,49.361,49.112,49.361,3464
2005-07-25,49.405,49.405,49.001,49.001,5030
2005-07-26,49.155,49.254,49.074,49.182,1565
2005-07-27,49.263,49.263,49.092,49.263,2460
2005-07-28,49.371,49.655,49.371,49.655,1789
2005-07-29,49.681,49.681,49.449,49.449,2460
2005-08-01,49.531,49.647,49.44,49.585,3911
2005-08-02,49.361,49.513,49.361,49.431,11062
2005-08-03,49.182,49.361,49.182,49.263,2460
2005-08-04,49.307,49.307,48.95,48.95,2684
2005-08-05,48.915,48.915,48.636,48.645,895
2005-08-08,48.717,48.717,48.475,48.475,1342
2005-08-09,48.673,48.897,48.673,48.833,3688
2005-08-10,48.95,48.983,48.95,48.983,1227
2005-08-11,48.992,48.992,48.923,48.941,1565
2005-08-12,49.02,49.065,48.849,49.065,670
2005-08-15,49.198,49.198,49.146,49.146,670
2005-08-16,49.001,49.001,48.547,48.547,4244
2005-08-17,48.582,48.833,48.582,48.777,3018
2005-08-18,48.574,48.574,48.456,48.491,1451
2005-08-19,48.609,48.76,48.609,48.636,2123
2005-08-22,48.777,48.966,48.6,48.626,36205
2005-08-23,48.564,48.69,48.412,48.555,1789
2005-08-24,48.377,48.564,48.144,48.154,3575
2005-08-25,48.189,48.277,48.189,48.216,1227
2005-08-26,48.099,48.135,47.874,47.991,4806
2005-08-29,47.928,48.295,47.928,48.295,782
2005-08-30,47.705,47.858,47.652,47.652,558
2005-08-31,47.841,48.099,47.841,48.099,447
2005-09-01,48.555,48.555,48.422,48.51,8494
2005-09-02,48.555,48.681,48.491,48.491,3575
2005-09-06,49.037,49.092,48.95,49.092,4915
2005-09-07,49.102,49.191,48.974,49.174,2569
2005-09-08,49.028,49.112,48.974,48.974,2123
2005-09-09,49.02,49.263,48.974,49.216,1677
2005-09-12,49.333,49.585,49.333,49.585,1227
2005-09-13,49.325,49.431,49.191,49.297,5251
2005-09-14,49.297,49.297,48.869,48.907,1451
2005-09-15,48.915,48.95,48.814,48.823,5030
