Date,Open,High,Low,Close,Volume
2005-02-25,26.502,26.889,26.427,26.88,1149234
2005-02-28,26.871,26.871,26.453,26.622,2528642
2005-03-01,26.804,26.871,26.57,26.658,1995778
2005-03-02,26.588,26.683,26.364,26.579,948489
2005-03-03,26.561,26.734,26.435,26.553,548514
2005-03-04,26.758,27.392,26.708,27.386,1495023
2005-03-07,27.401,27.401,27.086,27.086,1373335
2005-03-08,27.086,27.155,26.973,27.015,1019607
2005-03-09,27.145,27.335,27.043,27.078,2718645
2005-03-10,27.172,27.188,26.543,26.734,4286303
2005-03-11,26.674,27.111,26.674,26.897,3614119
2005-03-14,26.804,26.964,26.665,26.889,1468395
2005-03-15,27.06,27.06,26.75,26.758,1378361
2005-03-16,26.543,26.658,26.144,26.186,5738933
2005-03-17,26.246,26.57,26.177,26.495,3008029
2005-03-18,26.495,26.511,26.237,26.401,2803547
2005-03-21,26.543,26.543,26.153,26.246,1494087
2005-03-22,26.338,26.622,26.135,26.161,1618814
2005-03-23,26.144,26.212,25.879,25.905,2475162
2005-03-24,26.117,26.153,25.897,25.905,1956768
2005-03-28,26.032,26.032,25.756,25.756,1358737
2005-03-29,25.699,25.981,25.176,25.185,2636668
2005-03-30,25.271,25.612,25.271,25.612,2433699
2005-03-31,25.775,25.928,25.689,25.826,1779264
2005-04-01,25.699,26.135,25.656,25.748,2287027
2005-04-04,25.612,25.612,25.408,25.596,978853
2005-04-05,25.517,25.715,25.491,25.647,532750
2005-04-06,25.739,25.897,25.739,25.775,1195830
2005-04-07,25.888,26.065,25.835,26.056,1600475
2005-04-08,26.065,26.101,25.664,25.681,1100068
2005-04-11,25.765,25.765,25.473,25.596,323130
2005-04-12,25.535,25.656,25.159,25.57,1734190
2005-04-13,25.561,25.561,24.783,24.859,3329408
2005-04-14,24.833,24.859,24.028,24.164,9186992
2005-04-15,23.949,24.182,23.524,23.563,3698901
2005-04-18,23.679,24.019,23.563,23.942,5080291
2005-04-19,24.371,24.756,24.019,24.235,2013528
2005-04-20,24.576,24.576,23.769,23.83,2802608
2005-04-21,24.09,24.293,23.822,24.276,2544991
2005-04-22,24.364,24.364,23.796,24.047,1742479
2005-04-25,24.063,24.346,24.063,24.284,1116652
2005-04-26,24.138,24.302,23.812,23.822,2315868
2005-04-27,23.453,23.696,23.283,23.591,6994323
2005-04-28,23.721,23.805,23.327,23.402,6796731
2005-04-29,23.573,24.114,23.516,23.984,4433099
2005-05-02,23.993,24.225,23.984,24.182,3343888
2005-05-03,24.138,24.455,24.09,24.336,2020650
2005-05-04,24.446,24.712,24.336,24.712,1481592
2005-05-05,24.62,24.824,24.395,24.568,3624160
2005-05-06,24.585,24.799,24.559,24.628,1244178
2005-05-09,24.542,24.671,24.404,24.595,1079515
2005-05-10,24.404,24.463,24.164,24.225,1342856
2005-05-11,24.235,24.329,23.974,24.251,3213793
2005-05-12,24.235,24.293,23.516,23.591,3691893
2005-05-13,23.635,23.679,22.865,23.129,5390347
2005-05-16,22.9,23.257,22.9,23.23,2304542
2005-05-17,23.17,23.627,23.129,23.554,2754380
2005-05-18,23.635,24.251,23.635,24.156,5430519
2005-05-19,24.164,24.216,23.892,24.037,2611326
2005-05-20,23.984,23.984,23.752,23.884,4479343
2005-05-23,23.83,24.164,23.805,24.072,2262501
2005-05-24,24.01,24.081,23.901,23.993,2350206
2005-05-25,23.848,23.974,23.591,23.743,3798864
2005-05-26,23.761,23.966,23.761,23.928,1429977
2005-05-27,24.001,24.028,23.876,24.001,1486380
2005-05-31,23.857,23.949,23.635,23.83,2258883
2005-06-01,23.83,24.276,23.805,24.19,5200343
2005-06-02,24.19,24.19,23.984,24.114,2142806
2005-06-03,24.138,24.293,23.984,24.063,2667029
2005-06-06,24.028,24.063,23.928,23.993,3233414
2005-06-07,24.081,24.395,24.081,24.138,4569963
2005-06-08,24.276,24.276,23.957,23.974,2908178
2005-06-09,23.892,23.919,23.643,23.876,2829238
2005-06-10,23.935,24.235,23.935,24.09,2472357
2005-06-13,24.122,24.404,23.957,24.244,3457279
2005-06-14,24.197,24.336,24.197,24.284,2363282
2005-06-15,24.346,24.517,24.147,24.517,3791738
2005-06-16,24.532,24.919,24.532,24.774,4226161
2005-06-17,24.885,24.885,24.654,24.662,2703814
2005-06-20,24.662,24.662,24.336,24.404,2277099
2005-06-21,24.388,24.388,24.19,24.276,1733371
2005-06-22,23.935,24.413,23.935,24.251,1564623
2005-06-23,24.216,24.293,23.679,23.679,3143962
2005-06-24,23.67,23.73,23.292,23.412,2544760
2005-06-27,23.385,23.472,23.283,23.351,3717818
2005-06-28,23.436,23.721,23.428,23.721,2297070
2005-06-29,23.591,23.721,23.563,23.617,1284349
2005-06-30,23.591,23.627,23.121,23.239,2378229
2005-07-01,23.292,23.36,23.121,23.222,2149110
2005-07-05,23.138,23.327,23.095,23.283,1082673
2005-07-06,23.257,23.36,23.17,23.205,2164992
2005-07-07,22.916,23.265,22.865,23.257,2836243
2005-07-08,23.292,23.743,23.292,23.713,4612005
2005-07-11,23.679,24.037,23.679,24.037,3348440
2005-07-12,24.054,24.072,23.769,23.974,4937936
2005-07-13,23.957,24.037,23.778,23.901,3614935
