Date,Open,High,Low,Close,Volume
2005-02-25,21.874,22.284,21.797,22.216,4671378
2005-02-28,22.269,22.315,21.98,22.065,2593281
2005-03-01,22.102,22.276,22.026,22.126,1948675
2005-03-02,22.216,22.241,21.996,22.102,3384151
2005-03-03,22.216,22.269,22.026,22.216,3044342
2005-03-04,22.362,22.595,22.256,22.565,2251624
2005-03-07,22.595,22.771,22.595,22.725,1487346
2005-03-08,22.763,22.763,22.513,22.573,2319693
2005-03-09,22.688,22.688,22.148,22.17,5631432
2005-03-10,22.216,22.382,22.05,22.315,3158884
2005-03-11,22.332,22.437,22.163,22.216,2312453
2005-03-14,22.233,22.573,22.186,22.558,728466
2005-03-15,22.565,22.725,22.462,22.462,3358743
2005-03-16,22.446,22.52,22.141,22.256,5330200
2005-03-17,22.292,22.454,22.269,22.382,1097507
2005-03-18,22.368,22.368,22.004,22.148,1779892
2005-03-21,22.256,22.256,22.08,22.141,1220343
2005-03-22,22.163,22.233,21.669,21.691,4887298
2005-03-23,21.708,21.708,21.367,21.585,8654315
2005-03-24,21.683,21.905,21.647,21.814,3131767
2005-03-28,21.952,22.004,21.83,21.854,1076970
2005-03-29,21.952,21.952,21.549,21.578,1719065
2005-03-30,21.708,21.929,21.585,21.929,1546066
2005-03-31,22.012,22.17,21.797,22.141,1012849
2005-04-01,22.332,22.406,22.043,22.216,2244516
2005-04-04,22.397,22.397,22.073,22.276,2204620
2005-04-05,22.256,22.421,22.233,22.406,1610844
2005-04-06,22.467,22.552,22.332,22.341,1001395
2005-04-07,22.406,22.573,22.362,22.544,1330410
2005-04-08,22.636,22.636,22.324,22.368,1395317
2005-04-11,22.505,22.65,22.347,22.59,1933405
2005-04-12,22.711,22.862,22.382,22.8,1013244
2005-04-13,22.862,22.862,22.603,22.643,892911
2005-04-14,22.565,22.711,22.406,22.43,1032205
2005-04-15,22.362,22.505,21.996,22.035,1540538
2005-04-18,22.019,22.225,21.874,22.118,1302761
2005-04-19,22.177,22.446,22.026,22.43,1059590
2005-04-20,22.482,22.482,22.225,22.233,1026147
2005-04-21,22.11,22.505,22.11,22.43,5066484
2005-04-22,22.52,22.595,22.39,22.573,2842509
2005-04-25,22.711,22.763,22.595,22.725,852228
2005-04-26,22.771,22.771,22.437,22.437,1642970
2005-04-27,22.558,22.711,22.269,22.603,757960
2005-04-28,22.703,22.711,22.43,22.505,2939937
2005-04-29,22.446,22.832,22.446,22.824,1238248
2005-05-02,22.952,23.015,22.818,22.886,1442582
2005-05-03,23.015,23.015,22.703,22.771,3021960
2005-05-04,22.922,22.922,22.628,22.792,1969217
2005-05-05,22.938,22.938,22.489,22.703,1379914
2005-05-06,22.636,22.778,22.628,22.65,1974354
2005-05-09,22.65,22.848,22.505,22.839,4131579
2005-05-10,22.862,22.862,22.65,22.671,1103562
2005-05-11,22.786,22.818,22.565,22.778,902256
2005-05-12,22.848,22.848,22.513,22.52,1028912
2005-05-13,22.454,22.75,21.797,22.156,2700979
2005-05-16,22.163,22.298,22.043,22.298,3944097
2005-05-17,22.406,22.59,22.225,22.558,1010084
2005-05-18,22.703,22.757,22.544,22.565,1668643
2005-05-19,22.65,22.725,22.558,22.695,644073
2005-05-20,22.414,22.725,22.414,22.688,1143450
2005-05-23,22.573,22.688,22.52,22.603,828396
2005-05-24,22.62,22.671,22.52,22.603,595357
2005-05-25,22.658,22.695,22.536,22.664,525052
2005-05-26,22.573,22.778,22.573,22.725,1158992
2005-05-27,22.725,22.839,22.671,22.818,1876265
2005-05-31,22.878,22.96,22.75,22.809,2032149
2005-06-01,22.892,23.21,22.824,23.104,2804722
2005-06-02,23.164,23.164,23.052,23.075,1828079
2005-06-03,23.104,23.197,22.952,23.151,1532375
2005-06-06,23.164,23.164,23.015,23.128,1223372
2005-06-07,23.128,23.439,23.128,23.181,4088394
2005-06-08,23.243,23.379,23.173,23.228,1353056
2005-06-09,23.203,23.25,23.052,23.25,1309477
2005-06-10,23.235,23.408,23.219,23.334,1628090
2005-06-13,23.395,23.47,23.235,23.431,629593
2005-06-14,23.454,23.593,23.408,23.493,1559890
2005-06-15,23.479,23.544,23.243,23.379,683176
2005-06-16,23.508,23.508,23.21,23.343,1526056
2005-06-17,23.334,23.508,23.219,23.446,1215602
2005-06-20,23.501,23.508,23.279,23.493,1782526
2005-06-21,23.431,23.568,23.431,23.525,982966
2005-06-22,24.245,24.245,23.47,23.736,2500859
2005-06-23,23.776,23.925,23.683,23.803,1788976
2005-06-24,23.849,23.881,23.615,23.637,1195855
2005-06-27,23.69,23.787,23.559,23.781,1193353
2005-06-28,23.881,24.025,23.781,24.019,1461147
2005-06-29,24.14,24.14,23.881,23.948,3095689
2005-06-30,24.046,24.167,23.948,23.972,3038944
2005-07-01,24.084,24.222,23.98,24.191,842089
2005-07-05,24.167,24.328,24.053,24.239,1433631
2005-07-06,24.239,24.314,23.827,23.827,1597414
2005-07-07,23.665,24.053,23.544,24.019,2864628
2005-07-08,24.062,24.297,24.002,24.297,1955525
2005-07-11,24.381,24.481,24.297,24.432,1884954
2005-07-12,24.571,24.595,24.389,24.503,2542459
2005-07-13,24.562,24.625,24.481,24.571,2570632
2005-07-14,24.715,24.762,24.191,24.328,1978434
2005-07-15,24.328,24.42,24.231,24.319,1424286
2005-07-18,24.319,24.373,24.253,24.306,1377942
2005-07-19,24.314,24.381,24.207,24.328,1422702
2005-07-20,24.373,24.473,24.167,24.457,1245094
2005-07-21,24.495,24.495,23.925,24.019,4977354
2005-07-22,23.948,24.26,23.948,24.153,1585300
2005-07-25,24.319,24.425,24.159,24.159,1880876
2005-07-26,24.281,24.36,24.174,24.245,4140403
2005-07-27,24.344,24.389,24.222,24.352,5217104
2005-07-28,24.373,24.518,24.245,24.503,3434575
2005-07-29,24.654,24.654,24.481,24.512,4027434
2005-08-01,24.647,24.676,24.153,24.191,2590910
2005-08-02,24.267,24.753,24.231,24.753,4289567
2005-08-03,24.753,25.064,24.602,24.821,6945387
2005-08-04,24.914,24.914,24.618,24.662,2205019
2005-08-05,24.654,24.654,24.084,24.239,3657079
2005-08-08,24.215,24.344,23.674,23.742,9185691
2005-08-09,23.776,23.993,23.776,23.993,3706055
2005-08-10,23.925,24.367,23.873,23.986,3713168
2005-08-11,24.077,24.231,23.904,24.133,1348052
2005-08-12,24.124,24.182,23.925,24.109,2026227
2005-08-15,24.147,24.222,24.046,24.199,1412699
2005-08-16,24.133,24.222,23.819,23.819,2649895
2005-08-17,23.888,23.888,23.576,23.796,3098059
2005-08-18,23.698,23.925,23.593,23.888,2254389
2005-08-19,24.053,24.053,23.916,24.031,1225872
2005-08-22,24.053,24.253,24.002,24.191,1557254
2005-08-23,24.245,24.441,24.207,24.389,3951866
2005-08-24,24.449,24.625,24.231,24.274,2225556
2005-08-25,24.595,24.595,24.314,24.457,1722094
2005-08-26,24.465,24.533,24.314,24.42,1147271
2005-08-29,24.344,24.555,24.207,24.518,2132343
2005-08-30,24.457,24.571,24.281,24.481,1161095
2005-08-31,24.503,24.731,24.441,24.669,2786689
2005-09-01,24.609,25.098,24.609,25.055,3397712
2005-09-02,25.08,25.178,24.998,25.064,2608551
2005-09-06,25.217,25.429,25.155,25.301,2673065
2005-09-07,25.316,25.369,25.164,25.316,2032019
2005-09-08,25.337,25.353,25.041,25.098,2028598
2005-09-09,25.178,25.459,25.14,25.391,4509175
2005-09-12,25.512,25.634,25.232,25.369,1563708
2005-09-13,25.459,25.459,25.146,25.146,2311793
2005-09-14,25.217,25.353,25.14,25.239,925432
2005-09-15,25.391,25.499,25.369,25.475,2227268
2005-09-16,25.443,25.521,25.211,25.512,2181319
2005-09-19,25.529,25.649,25.415,25.436,1394132
2005-09-20,25.506,25.573,25.277,25.337,1885220
2005-09-21,25.323,25.369,24.684,24.897,3545434
2005-09-22,24.776,24.853,24.595,24.762,3051451
2005-09-23,24.768,24.86,24.647,24.821,2436603
2005-09-26,24.975,25.08,24.869,25.028,948205
2005-09-27,25.028,25.11,24.821,25.035,1317641
2005-09-28,25.186,25.344,25.098,25.293,2093240
2005-09-29,25.232,25.649,25.186,25.544,2521656
2005-09-30,25.558,25.657,25.415,25.521,1972640
2005-10-03,25.672,25.815,25.491,25.809,3382046
2005-10-04,25.596,25.863,25.316,25.361,3842588
2005-10-05,25.293,25.443,24.578,24.625,5718851
2005-10-06,24.533,24.64,23.888,24.297,9920216
2005-10-07,24.352,24.555,24.245,24.512,2293361
2005-10-10,24.715,24.829,24.002,24.077,2860546
2005-10-11,24.153,24.352,24.069,24.133,2966531
2005-10-12,24.031,24.281,23.599,23.674,5780603
2005-10-13,23.47,23.585,22.991,23.173,11242194
2005-10-14,23.243,23.446,23.137,23.439,5526106
2005-10-17,23.286,23.849,23.286,23.698,4541436
2005-10-18,23.835,23.835,23.189,23.303,3067515
2005-10-19,23.243,23.387,22.792,23.363,8965161
2005-10-20,23.203,23.415,22.628,22.75,4245202
2005-10-21,22.558,23.164,22.482,23.052,3490134
2005-10-24,22.892,23.674,22.892,23.645,3223396
2005-10-25,23.508,23.873,23.439,23.674,5709242
2005-10-26,23.776,23.776,23.325,23.387,5853672
2005-10-27,23.258,23.508,23.097,23.12,2919264
2005-10-28,22.991,23.637,22.991,23.585,4541171
2005-10-31,23.881,23.993,23.658,23.888,3429840
2005-11-01,23.964,23.964,23.395,23.415,4405028
2005-11-02,23.334,23.544,23.173,23.508,6521971
2005-11-03,23.401,23.674,23.379,23.493,5181559
2005-11-04,23.47,23.75,23.408,23.461,3821124
2005-11-07,24.002,24.002,23.325,23.401,5490426
2005-11-08,23.279,23.568,23.243,23.395,2301524
2005-11-09,23.279,23.742,23.279,23.599,4256128
2005-11-10,23.551,23.69,23.189,23.486,3800326
2005-11-11,23.47,23.53,23.164,23.274,2432129
2005-11-14,23.164,23.395,23.097,23.12,3634698
2005-11-15,23.243,23.343,23.015,23.164,3060403
2005-11-16,23.146,23.461,23.137,23.379,4548676
2005-11-17,23.401,23.75,23.401,23.721,4090370
2005-11-18,23.758,23.904,23.415,23.674,4214783
2005-11-21,23.736,23.819,23.623,23.73,2349710
2005-11-22,23.776,23.842,23.607,23.73,3915006
2005-11-23,23.787,24.101,23.707,24.025,3819943
2005-11-25,24.031,24.117,24.011,24.117,392870
2005-11-28,24.019,24.153,23.932,24.025,2317189
2005-11-29,24.174,24.281,24.046,24.084,2384601
2005-11-30,24.253,24.26,23.827,23.849,2932039
2005-12-01,23.896,24.571,23.137,23.94,2384468
2005-12-02,23.986,24.011,23.842,23.98,2059272
2005-12-05,23.932,24.101,23.787,23.964,5659609
2005-12-06,24.002,24.077,23.896,23.896,1117518
2005-12-07,23.888,24.046,23.203,23.781,2062829
2005-12-08,23.637,24.109,23.637,24.031,1575029
2005-12-09,23.972,24.335,23.964,24.306,1769232
2005-12-12,24.281,24.396,24.069,24.077,3135447
2005-12-13,24.053,24.432,24.053,24.432,1539747
2005-12-14,24.457,24.747,24.432,24.708,2540090
2005-12-15,24.747,24.86,24.647,24.762,4132500
2005-12-16,24.724,24.874,24.526,24.539,1019034
2005-12-19,24.512,24.587,24.153,24.215,2994446
2005-12-20,24.174,24.319,24.124,24.253,1842164
2005-12-21,24.26,24.425,23.98,24.031,4111171
2005-12-22,24.002,24.167,23.896,24.14,1326723
2005-12-23,24.109,24.245,24.109,24.182,1184665
2005-12-27,24.019,24.182,24.019,24.14,2731915
2005-12-28,24.174,24.191,23.916,24.019,8314241
2005-12-29,24.069,24.101,23.94,23.972,1791217
2005-12-30,23.81,23.925,23.758,23.842,3024989
2006-01-03,23.993,24.367,23.758,24.306,5150747
2006-01-04,24.373,24.396,24.011,24.344,6164781
2006-01-05,24.281,24.457,24.153,24.182,2049925
2006-01-06,24.306,24.449,24.182,24.441,1236409
2006-01-09,24.389,24.432,24.207,24.288,2633434
2006-01-10,24.159,24.381,24.147,24.328,3265531
2006-01-11,24.239,24.373,24.222,24.288,3105696
2006-01-12,24.267,24.413,24.239,24.288,2664772
2006-01-13,23.544,24.473,23.544,24.457,2174341
2006-01-17,24.457,24.724,24.314,24.715,9520760
2006-01-18,24.533,24.869,24.533,24.768,11387809
2006-01-19,25.019,25.055,24.692,24.99,10263578
2006-01-20,25.064,25.155,24.684,24.846,5344153
2006-01-23,25.558,25.558,24.731,24.806,8115966
2006-01-24,24.89,25.041,24.821,25.028,2905444
2006-01-25,24.853,25.134,24.533,24.684,5486346
2006-01-26,24.784,24.874,24.352,24.465,4131838
2006-01-27,24.595,24.762,24.495,24.602,3008531
2006-01-30,24.512,24.632,24.425,24.432,1789897
2006-01-31,24.449,24.562,24.36,24.42,3524240
2006-02-01,24.526,24.578,24.306,24.488,3666169
2006-02-02,24.405,24.562,24.062,24.167,7282300
2006-02-03,24.174,24.182,23.873,24.046,3326353
2006-02-06,23.955,24.26,23.955,24.191,3237617
2006-02-07,24.092,24.457,23.972,24.046,2319959
2006-02-08,23.986,24.762,23.94,24.038,2704005
2006-02-09,23.986,24.267,23.98,24.124,4051401
2006-02-10,24.077,24.328,23.993,24.14,4961291
2006-02-13,24.046,24.222,24.046,24.109,2123128
2006-02-14,24.199,24.199,23.776,24.084,3559916
2006-02-15,24.046,24.306,23.986,24.124,3806643
2006-02-16,24.019,24.837,24.019,24.314,1572927
2006-02-17,24.647,24.647,24.038,24.533,5615636
2006-02-21,24.578,24.762,24.465,24.571,4348420
2006-02-22,24.715,24.768,24.571,24.662,2203702
2006-02-23,24.684,24.731,24.546,24.632,2562341
2006-02-24,25.353,25.353,24.602,24.708,1796482
2006-02-27,24.776,25.003,24.776,24.905,7294413
2006-02-28,24.935,25.041,24.632,24.74,1953156
2006-03-01,24.518,24.829,24.518,24.669,2180922
2006-03-02,24.314,24.701,24.314,24.654,3150328
2006-03-03,24.578,24.798,24.473,24.533,3057774
2006-03-06,24.571,24.609,24.002,24.14,5212100
2006-03-07,24.14,24.14,23.857,24.025,5495694
2006-03-08,23.896,24.207,23.637,24.002,5099138
2006-03-09,23.972,24.306,23.888,23.932,4008870
