Date,Open,High,Low,Close,Volume
2005-02-25,26.732,27.025,26.732,26.989,508003
2005-02-28,27.084,27.084,26.486,26.583,883845
2005-03-01,26.732,26.856,26.723,26.796,442943
2005-03-02,26.821,27.016,26.696,26.821,859704
2005-03-03,26.997,27.016,26.713,26.796,354649
2005-03-04,26.929,27.06,26.91,27.043,378338
2005-03-07,26.997,27.245,26.997,27.102,497121
2005-03-08,27.175,27.175,26.892,26.929,828762
2005-03-09,27.025,27.025,26.713,26.76,437501
2005-03-10,26.91,26.952,26.77,26.856,654671
2005-03-11,26.952,26.952,26.557,26.645,485901
2005-03-14,26.688,26.706,26.468,26.688,1355242
2005-03-15,26.751,26.77,26.361,26.379,779912
2005-03-16,26.318,26.388,26.079,26.125,2545567
2005-03-17,26.222,26.249,26.045,26.213,222376
2005-03-18,26.097,26.24,25.94,26.097,1456682
2005-03-21,26.168,26.186,25.877,25.992,756451
2005-03-22,26.158,26.213,25.947,26.001,264089
2005-03-23,26.001,26.336,26.001,26.284,311465
2005-03-24,26.424,26.486,26.266,26.292,693998
2005-03-28,26.424,26.424,26.275,26.275,275991
2005-03-29,26.292,26.379,26.168,26.186,595843
2005-03-30,26.222,26.6,26.222,26.6,345354
2005-03-31,26.6,26.6,26.31,26.344,1018498
2005-04-01,26.505,26.557,26.063,26.116,390693
2005-04-04,26.249,26.379,26.116,26.249,244593
2005-04-05,26.495,26.786,26.486,26.779,517749
2005-04-06,26.829,26.98,26.779,26.796,1383686
2005-04-07,26.779,27.078,26.608,27.069,1141930
2005-04-08,27.043,27.092,26.821,26.873,626673
2005-04-11,26.997,26.997,26.821,26.846,472868
2005-04-12,26.77,27.043,26.6,27.025,422885
2005-04-13,27.069,27.264,26.91,27.148,476722
2005-04-14,27.218,27.218,26.989,27.043,1301174
2005-04-15,27.13,27.439,27.13,27.175,4583919
2005-04-18,27.703,27.703,26.796,26.989,1307750
2005-04-19,27.034,27.111,26.796,26.971,1050574
2005-04-20,27.043,27.043,26.575,26.636,490887
2005-04-21,26.952,27.025,26.76,26.997,486807
2005-04-22,27.111,27.111,26.779,26.902,901302
2005-04-25,26.997,27.084,26.846,26.962,390464
2005-04-26,26.997,27.069,26.796,26.796,391259
2005-04-27,26.76,27.06,26.636,26.997,384348
2005-04-28,26.846,27.043,26.821,26.865,394206
2005-04-29,26.98,27.264,26.829,27.264,487148
2005-05-02,27.394,27.394,27.236,27.376,569780
2005-05-03,27.394,27.483,27.245,27.36,3328082
2005-05-04,27.483,27.642,27.35,27.633,603549
2005-05-05,27.703,27.703,27.509,27.624,721995
2005-05-06,27.836,27.836,27.5,27.5,1926487
2005-05-09,27.582,27.721,27.431,27.703,1174345
2005-05-10,27.747,27.747,27.475,27.527,623387
2005-05-11,27.483,27.677,27.367,27.642,650023
2005-05-12,27.703,27.792,27.545,27.607,812101
2005-05-13,27.597,27.66,27.218,27.421,2072477
2005-05-16,27.527,27.747,27.483,27.747,740695
2005-05-17,27.747,27.756,27.475,27.729,1619554
2005-05-18,27.845,27.907,27.721,27.792,712587
2005-05-19,27.836,27.88,27.633,27.783,555719
2005-05-20,26.971,27.836,26.971,27.765,352946
2005-05-23,27.756,27.907,27.668,27.818,576462
2005-05-24,27.88,27.926,27.792,27.853,612279
2005-05-25,27.88,27.88,27.572,27.677,848595
2005-05-26,27.703,27.836,27.703,27.783,930542
2005-05-27,27.926,27.926,27.651,27.695,896655
2005-05-31,27.792,27.792,27.545,27.607,1340279
2005-06-01,27.651,27.765,27.527,27.677,670878
2005-06-02,27.66,27.747,27.572,27.677,463456
2005-06-03,27.703,27.703,27.519,27.582,2125062
2005-06-06,27.563,27.668,27.509,27.589,608764
2005-06-07,27.668,27.836,27.572,27.597,514350
2005-06-08,27.677,27.677,27.36,27.402,560933
2005-06-09,27.412,27.607,27.367,27.519,422994
2005-06-10,27.483,27.597,27.36,27.456,1094893
2005-06-13,27.527,27.677,27.386,27.572,411776
2005-06-14,27.66,27.88,27.572,27.81,1178537
2005-06-15,27.926,27.926,27.582,27.703,1003990
2005-06-16,27.836,27.89,27.747,27.88,1110192
2005-06-17,27.703,28.03,27.703,27.932,607855
2005-06-20,28.012,28.012,27.792,27.899,549147
2005-06-21,27.968,27.968,27.801,27.853,454279
2005-06-22,27.792,27.932,27.729,27.756,574986
2005-06-23,27.792,27.818,27.563,27.572,636758
2005-06-24,27.66,27.66,27.439,27.439,405995
2005-06-27,27.439,27.448,27.264,27.325,985399
2005-06-28,27.527,27.607,27.431,27.597,599811
2005-06-29,27.703,27.703,27.527,27.563,456886
2005-06-30,27.589,27.616,27.325,27.376,709412
2005-07-01,27.439,27.439,27.236,27.341,548463
2005-07-05,27.245,27.519,27.218,27.439,503128
2005-07-06,27.341,27.483,27.218,27.264,1228635
2005-07-07,26.997,27.289,26.997,27.255,439091
2005-07-08,27.317,27.651,27.218,27.582,757015
2005-07-11,27.66,27.747,27.519,27.668,618625
2005-07-12,27.703,27.721,27.554,27.651,661469
2005-07-13,27.624,27.66,27.431,27.5,825475
2005-07-14,27.66,27.747,27.572,27.668,1267740
2005-07-15,27.703,27.836,27.668,27.801,515141
2005-07-18,27.836,27.836,27.616,27.633,710092
2005-07-19,27.747,27.765,27.545,27.642,365643
2005-07-20,27.792,28.065,27.792,28.038,1414968
2005-07-21,28.012,28.038,27.677,27.739,803602
2005-07-22,27.792,27.792,27.607,27.703,950606
2005-07-25,27.792,27.792,27.527,27.537,573968
2005-07-26,27.703,27.765,27.545,27.668,488961
2005-07-27,27.792,27.959,27.695,27.926,481254
2005-07-28,27.968,28.233,27.959,28.189,2078253
2005-07-29,28.233,28.233,27.995,27.995,1085826
2005-08-01,28.189,28.27,28.075,28.136,1156889
2005-08-02,28.206,28.295,28.1,28.242,822076
2005-08-03,28.189,28.312,28.145,28.312,820150
2005-08-04,28.242,28.286,28.03,28.03,787390
2005-08-05,28.005,28.005,27.81,27.836,678131
2005-08-08,27.926,27.941,27.668,27.729,472072
2005-08-09,27.792,28.047,27.792,28.047,447027
2005-08-10,28.065,28.27,27.959,28.005,2187971
2005-08-11,28.012,28.224,27.987,28.172,490320
2005-08-12,28.145,28.154,27.926,28.012,232014
2005-08-15,27.978,28.1,27.907,28.03,591081
2005-08-16,28.083,28.1,27.828,27.836,489416
2005-08-17,27.836,28.012,27.801,27.89,457337
2005-08-18,27.899,28.03,27.818,27.899,426167
2005-08-19,28.1,28.1,27.695,27.703,2113389
2005-08-22,27.713,27.845,27.582,27.703,1454189
2005-08-23,27.695,27.695,27.491,27.527,2857825
2005-08-24,27.616,27.739,27.431,27.439,1833662
2005-08-25,27.483,27.572,27.448,27.475,1095910
2005-08-26,27.527,27.527,27.341,27.376,814141
2005-08-29,27.341,27.677,27.13,27.651,1300495
2005-08-30,27.572,27.642,27.448,27.616,447363
2005-08-31,27.597,27.926,27.519,27.899,783767
2005-09-01,27.968,28.233,27.845,27.907,550054
2005-09-02,27.995,28.038,27.861,27.89,926009
2005-09-06,27.89,28.347,27.89,28.33,727548
2005-09-07,28.409,28.586,28.39,28.517,2055811
2005-09-08,28.533,28.63,28.365,28.499,2186266
2005-09-09,28.54,28.666,28.48,28.594,753727
2005-09-12,28.674,28.692,28.471,28.499,642087
2005-09-13,28.499,28.499,28.154,28.197,879995
2005-09-14,28.233,28.321,28.092,28.118,1741967
2005-09-15,28.1,28.27,28.075,28.1,737408
2005-09-16,28.145,28.252,28.021,28.233,577368
2005-09-19,28.189,28.224,27.949,28.03,780249
2005-09-20,28.03,28.118,27.765,27.818,696830
2005-09-21,27.651,27.871,27.651,27.685,1153148
2005-09-22,27.756,27.836,27.582,27.747,1955953
2005-09-23,27.572,27.899,27.563,27.765,1420527
2005-09-26,27.932,27.932,27.554,27.721,525119
2005-09-27,27.721,27.739,27.527,27.563,535208
2005-09-28,27.66,27.721,27.491,27.582,533277
2005-09-29,27.456,27.677,27.36,27.642,793513
2005-09-30,27.66,27.685,27.554,27.66,1084690
2005-10-03,27.747,27.783,27.572,27.685,1659452
2005-10-04,26.846,28.047,26.846,27.801,701252
2005-10-05,27.801,27.81,27.341,27.341,1265015
2005-10-06,27.35,27.448,26.946,27.157,2328511
2005-10-07,27.308,27.308,27.111,27.13,511065
2005-10-10,27.175,27.245,26.971,27.092,1446591
2005-10-11,27.13,27.264,26.829,26.865,807452
2005-10-12,26.821,27.175,26.821,26.929,1446818
2005-10-13,26.892,27.157,26.856,27.06,1456793
2005-10-14,27.13,27.289,26.336,27.183,1544071
2005-10-17,27.13,27.218,27.043,27.175,1014986
2005-10-18,27.218,27.289,27.111,27.138,1167313
2005-10-19,27.016,27.448,26.997,27.402,1192136
2005-10-20,27.483,27.483,26.779,26.838,1983609
2005-10-21,27.084,27.084,26.6,26.672,1543388
2005-10-24,26.645,26.892,26.627,26.892,1062815
2005-10-25,26.91,26.91,26.521,26.723,1378816
2005-10-26,26.654,26.742,26.388,26.388,1526614
2005-10-27,26.449,26.486,26.275,26.292,3254185
2005-10-28,26.336,26.696,26.336,26.688,1220247
2005-10-31,26.865,26.929,26.742,26.814,1404203
2005-11-01,26.865,26.865,26.645,26.732,1466201
2005-11-02,26.627,26.821,26.593,26.732,1347532
2005-11-03,26.028,27.084,26.028,26.902,2027476
2005-11-04,26.892,27.069,26.892,27.043,575669
2005-11-07,27.175,27.175,26.937,27.092,576801
2005-11-08,27.043,27.092,27.006,27.034,652854
2005-11-09,27.06,27.138,26.946,27.06,371878
2005-11-10,27.078,27.431,27.069,27.412,1670444
2005-11-11,27.431,27.465,27.227,27.421,1871855
2005-11-14,27.465,27.465,27.183,27.236,336514
2005-11-15,27.236,27.527,27.236,27.376,511856
2005-11-16,27.456,27.483,27.255,27.325,371989
2005-11-17,27.394,27.5,27.289,27.465,450197
2005-11-18,27.616,27.633,27.465,27.582,2219593
2005-11-21,27.66,27.66,27.475,27.633,583148
2005-11-22,27.616,27.66,26.786,27.475,775944
2005-11-23,27.527,27.582,27.431,27.545,814367
2005-11-25,27.554,27.616,27.527,27.582,130571
2005-11-28,27.607,27.607,27.255,27.289,976112
2005-11-29,27.412,27.491,27.299,27.317,556176
2005-11-30,27.331,27.402,27.138,27.138,619307
2005-12-01,27.35,27.456,27.289,27.412,553338
2005-12-02,27.35,27.527,27.28,27.509,664074
