Date,BIIB,CCL,CEIX,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2018-01-30,352.59,70.775,31.59,13.68,50.37,109.23,75.846,15.1,32.647,41.903999999999996,36.981,48.183,167.8,172.56,76.96600000000001,31.406,37.67,170.97,66.94,57.95399999999999,30.654,100.84,83.78,54.321999999999996,38.76,42.078,36.35,235.04,123.14,168.63,147.21,73.342,147.49,62.36600000000001,49.644,88.72399999999999
2018-01-31,347.81,70.597,32.43,14.01,49.57,107.8,76.666,15.08,32.726,41.62,36.398,47.542,167.2,173.74,76.858,31.268,37.54,168.11,67.825,58.082,30.449,100.96,85.32,54.263999999999996,38.281,41.97,36.413000000000004,235.17,123.81,168.05,146.59,73.391,147.78,62.415,50.193999999999996,87.464
2018-02-01,346.0,70.104,33.85,13.61,50.75,109.61,75.045,15.06,33.28,41.64,36.475,47.056999999999995,164.95,173.66,77.03399999999999,31.585,36.89,165.51,67.258,58.95,30.654,99.443,78.4,54.66,38.51,42.028999999999996,38.019,233.61,125.3,166.41,145.95,74.155,147.75,61.563,49.408,87.493
2018-02-02,343.83,68.961,30.98,12.97,46.75,107.83,74.743,14.68,32.756,40.236,36.0,45.576,162.73,168.57,75.681,31.168000000000003,35.45,158.49,66.83,56.986000000000004,30.214000000000002,95.646,76.57,52.543,38.137,41.45,36.961999999999996,230.3,120.51,164.69,143.07,72.678,144.54,59.946999999999996,49.053000000000004,86.262
2018-02-05,328.31,67.077,31.03,12.67,44.89,103.87,74.039,13.97,31.342,38.803000000000004,34.438,43.966,156.99,161.8,72.809,30.156999999999996,34.17,151.69,64.017,54.825,29.291999999999998,93.87200000000001,74.705,51.537,36.976,41.056999999999995,35.563,218.52,115.88,159.13,138.05,69.218,137.94,57.657,48.247,82.44
2018-02-06,332.86,68.29,31.68,12.8,43.4,105.32,72.75,14.33,31.659000000000002,41.081,34.923,44.652,160.2,166.43,72.857,30.177,34.97,151.82,64.842,55.674,29.646,95.51799999999999,75.68,53.373999999999995,36.866,42.137,35.757,223.65,119.57,162.72,139.45,70.249,140.33,59.54,47.53,83.353
2018-02-07,326.96,68.142,29.79,11.83,42.12,103.92,72.66199999999999,14.17,31.975,41.6,34.961999999999996,44.941,160.62,164.04,72.102,30.365,35.15,152.13,65.25,55.832,29.586,94.266,75.59,52.126999999999995,37.025999999999996,41.843,35.855,224.28,119.25,162.64,138.9,70.47800000000001,140.68,59.004,47.303000000000004,83.25399999999999
2018-02-08,311.79,65.815,28.25,11.7,40.27,100.54,72.584,14.12,30.748,39.991,35.097,42.505,152.1,157.31,70.18,29.315,34.1,149.55,62.128,53.681000000000004,29.256999999999998,91.14,72.32,50.55,36.558,40.311,34.534,214.99,113.48,156.25,135.98,67.50399999999999,135.35,56.933,46.773,80.365
2018-02-09,316.78,66.12100000000001,29.39,12.58,42.38,102.27,74.32300000000001,15.44,31.619,40.688,35.408,43.698,156.4,161.16,69.984,29.651,34.5,148.25,65.111,53.611999999999995,29.445999999999998,91.29799999999999,74.75,51.953,36.876,39.721,35.0,219.45,115.93,157.17,136.34,68.703,136.67,57.924,47.756,81.507
2018-02-12,316.63,67.797,31.35,13.03,42.57,102.57,75.015,15.89,31.895,41.217,35.195,44.583,158.77,164.26,70.406,29.849,35.52,148.34,65.598,55.802,29.741,92.274,75.28,53.373999999999995,37.106,40.33,35.311,224.16,118.07,159.31,137.6,69.575,138.74,59.093999999999994,48.12,82.271
2018-02-13,316.99,67.777,32.21,13.34,42.15,103.29,75.279,16.53,32.024,40.628,35.38,44.205,158.69,164.8,70.308,29.899,35.37,145.52,65.488,56.088,30.065,92.44200000000001,74.97,53.876999999999995,36.856,40.605,35.534,225.09,117.95,160.1,138.14,69.931,139.05,58.946000000000005,48.336000000000006,82.331
2018-02-14,295.9,68.931,32.99,14.56,42.29,103.77,73.717,16.58,32.874,41.031000000000006,35.728,45.12,163.2,168.23,70.514,30.544,36.2,148.09,67.566,56.71,30.651999999999997,92.01799999999999,77.27,56.13,37.484,39.869,35.35,227.23,120.43,162.62,138.25,71.518,140.9,59.739,47.794,83.264
2018-02-15,299.38,68.615,32.07,14.79,42.56,104.34,75.308,16.61,32.825,41.071000000000005,36.204,45.656000000000006,168.6,171.56,71.289,30.623,36.76,148.02,67.89399999999999,57.036,30.764,91.46600000000001,78.28,56.961999999999996,37.524,40.281,35.923,224.48,122.08,164.17,140.35,71.964,142.8,60.185,48.857,84.18700000000001
2018-02-16,291.87,68.517,32.57,14.76,41.78,105.68,75.80199999999999,16.33,32.756,40.324,36.583,45.299,170.97,171.02,69.415,30.791999999999998,36.26,149.82,67.904,56.158,30.754,91.38600000000001,78.37,55.918,37.345,39.86,36.059,227.8,121.65,163.42,141.13,72.003,142.96,59.967,49.29,84.79299999999999
2018-02-20,287.45,68.468,31.86,14.46,43.83,105.13,74.804,16.39,32.834,40.01,36.224000000000004,46.053999999999995,172.84,171.56,67.367,30.584,36.12,148.17,67.09899999999999,56.266000000000005,30.634,90.39299999999999,77.06,54.419,37.265,40.29,35.699,225.11,121.81,162.72,138.05,71.71600000000001,141.52,59.699,48.651,83.859
2018-02-21,286.1,68.596,32.62,14.25,42.9,104.21,74.44800000000001,16.5,33.062,39.805,36.097,45.676,172.6,170.73,66.15100000000001,30.613000000000003,35.97,148.91,66.66199999999999,55.358000000000004,30.682,88.992,76.51,54.129,37.335,39.67,35.251999999999995,223.6,120.24,162.56,136.35,71.77600000000001,141.66,59.49100000000001,48.012,83.512
2018-02-22,284.81,67.673,32.73,14.54,42.69,104.4,74.656,16.34,32.503,40.148,36.097,45.537,171.38,170.81,66.317,30.305999999999997,36.43,149.41,66.742,56.424,30.494,89.538,77.7,54.747,37.125,39.09,35.408,225.54,120.19,162.77,136.65,71.111,142.37,59.887,48.257,83.383
2018-02-23,292.78,68.22800000000001,32.98,14.97,43.3,106.39,76.316,16.46,33.071999999999996,40.148,36.364000000000004,47.456,171.06,174.37,67.671,30.613000000000003,37.23,151.95,67.765,57.253,30.884,91.227,79.69,55.192,37.434,39.32,35.650999999999996,228.59,122.73,164.92,137.99,72.133,143.56,60.77,49.516000000000005,84.713
