Date,BIIB,CCL,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2017-06-05,258.5,63.336999999999996,11.792,68.17,104.05,82.15100000000001,15.47,23.046999999999997,32.809,41.757,35.416,140.96,144.74,90.242,28.29,28.973000000000003,164.38,52.348,46.74100000000001,27.334,74.577,53.8,38.171,42.003,40.153,36.254,176.14,95.89399999999999,142.36,142.32,58.33,125.54,52.435,51.901,75.763
2017-06-06,257.16,62.623999999999995,12.042,68.85,103.05,82.132,15.79,22.967,32.781,41.61600000000001,35.211999999999996,139.96,144.55,90.021,28.011999999999997,28.964000000000002,160.46,51.825,47.385,27.079,74.752,53.4,38.691,41.126000000000005,40.428000000000004,36.179,177.58,95.139,141.24,141.81,58.037,124.68,52.464,51.786,75.575
2017-06-07,255.43,62.595,11.842,69.57,103.47,82.4,15.54,23.217,33.061,41.577,35.338,140.28,144.91,90.561,28.048000000000002,28.944000000000003,160.11,52.566,46.31399999999999,27.229,74.675,53.85,38.955999999999996,42.062,40.323,36.207,179.92,95.43799999999999,141.61,141.79,58.525,124.44,52.532,51.957,75.783
2017-06-08,257.17,62.623999999999995,12.05,71.16,101.9,81.72,15.82,23.658,32.838,41.398,35.552,141.02,145.51,89.402,28.315,29.041,160.67,52.537,45.953,27.448,75.102,54.39,39.777,43.155,39.924,35.964,178.43,95.43799999999999,140.94,140.84,59.316,125.11,52.68899999999999,51.527,75.566
2017-06-09,259.89,61.661,12.308,67.3,103.17,82.045,15.26,24.368000000000002,33.061,41.133,34.802,138.56,141.05,87.72200000000001,28.625999999999998,28.944000000000003,161.9,52.794,46.865,27.448,77.206,53.4,39.418,43.843999999999994,40.21,36.235,178.2,93.917,140.35,140.78,60.45,125.65,53.364,51.478,76.077
2017-06-12,262.11,61.905,12.467,64.6,104.56,81.95,14.99,24.495,33.387,41.001000000000005,34.821,138.09,140.13,88.12799999999999,28.71,28.663,160.29,53.356,47.375,27.596999999999998,77.828,52.16,38.766,44.178999999999995,40.123000000000005,36.497,176.04,92.865,140.25,140.66,60.588,126.15,53.158,51.382,75.97800000000001
2017-06-13,261.42,62.361999999999995,12.908,65.02,104.09,82.26700000000001,15.13,24.631,33.223,40.936,34.967,138.23,141.3,88.455,28.793000000000003,29.128,160.67,53.632,47.583,27.715999999999998,78.235,52.06,38.88,44.888000000000005,39.961999999999996,36.133,177.81,94.434,141.27,140.9,60.831,126.66,53.821999999999996,51.507,76.134
2017-06-14,253.37,63.044,12.475,64.1,103.69,82.62,15.17,24.874000000000002,33.319,41.236999999999995,34.626999999999995,138.54,140.31,88.33,28.906,28.875999999999998,161.88,53.978,47.18600000000001,27.518,76.44,51.9,37.68,44.82899999999999,39.743,36.17,179.08,94.67200000000001,141.24,141.78,60.92100000000001,126.39,53.255,51.786,76.498
2017-06-15,255.02,63.763999999999996,12.342,62.97,103.53,83.22200000000001,14.99,24.778000000000002,33.309,41.056999999999995,34.412,138.35,139.61,88.514,28.975,28.373,162.41,52.24,46.418,27.568,76.73100000000001,52.29,37.17,44.917,39.031,36.282,177.88,93.53,140.6,141.36,60.695,126.95,52.787,52.082,76.419
2017-06-16,251.74,63.901,12.075,62.61,103.06,83.405,15.13,24.768,33.010999999999996,41.426,34.315,137.84,139.33,86.35,29.078000000000003,28.479,158.37,50.461999999999996,48.305,27.531,78.536,51.82,37.123000000000005,44.701,39.515,36.395,179.1,93.53,140.37,139.88,60.626000000000005,127.24,53.015,52.321000000000005,76.546
