Date,BIIB,CCL,CEIX,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2018-03-02,286.96,64.468,31.69,16.72,43.6,102.17,74.468,17.25,32.538000000000004,36.732,35.751999999999995,48.699,168.13,173.56,65.857,29.899,33.62,149.55,65.706,56.325,30.590999999999998,90.77,78.87,51.48,36.039,39.0,35.292,223.66,120.58,160.53,136.56,70.685,139.05,58.46,48.129,83.035
2018-03-05,286.95,64.686,31.18,17.45,43.76,102.59,76.583,17.63,32.983000000000004,37.037,36.304,49.465,169.46,175.33,66.111,30.752,33.61,150.95,64.869,56.158,30.982,92.449,79.07,52.25,36.657,38.82,35.631,226.83,121.68,162.19,137.91,71.676,140.66,59.233000000000004,49.113,83.791
2018-03-06,285.98,65.639,32.08,17.31,44.17,104.1,74.972,17.74,33.28,37.223,36.453,50.419,168.75,176.04,66.445,30.98,34.41,150.81,65.058,56.266000000000005,31.212,93.31299999999999,79.23,53.22,37.116,38.51,35.797,224.64,120.87,163.52,138.01,72.063,141.49,59.887,48.45399999999999,83.671
2018-03-07,284.54,65.5,31.9,17.48,43.76,102.76,74.369,18.14,33.3,37.037,36.778,51.026,169.94,177.17,66.141,31.02,34.37,151.39,63.99100000000001,55.96,31.252,93.602,79.52,52.61,37.205,38.44,35.835,225.72,121.65,162.54,136.88,72.023,141.52,59.669,48.09,84.09700000000001
2018-03-08,284.69,66.214,31.46,17.9,44.63,103.2,75.1,17.76,33.29,37.513000000000005,37.035,50.449,170.75,177.85,66.289,31.03,34.64,153.62,64.929,55.852,31.171999999999997,94.565,79.87,51.91,37.076,38.59,36.029,223.94,122.02,163.03,137.97,72.133,142.27,59.718999999999994,48.443999999999996,84.663
2018-03-09,286.1,66.94800000000001,28.69,17.55,45.63,103.89,75.23899999999999,17.98,33.823,37.513000000000005,36.876999999999995,51.891000000000005,176.43,181.24,66.527,31.714000000000002,35.5,155.42,66.115,56.552,31.622,95.28,80.71,52.07,37.305,38.95,35.971,224.64,124.31,165.42,138.88,73.768,145.33,60.799,48.581,85.885
2018-03-12,279.9,66.839,29.83,17.12,45.14,104.33,75.654,17.81,33.873000000000005,37.503,37.163000000000004,51.224,176.59,182.17,66.992,31.496,35.76,157.43,66.634,56.82899999999999,31.691999999999997,94.366,80.6,52.22,37.654,39.85,36.272,221.98,124.04,165.89,138.73,73.56,143.95,60.651,48.788999999999994,85.51700000000001
2018-03-13,283.24,67.048,29.47,16.25,44.52,102.9,75.575,17.62,33.675,37.681,36.65,51.483000000000004,176.94,179.69,66.666,31.476,35.67,157.32,65.986,56.996,31.259,93.929,80.2,52.04,37.743,40.65,36.301,226.14,123.0,164.82,138.56,72.85600000000001,143.36,60.403,48.897,85.62700000000001
2018-03-14,285.72,66.442,29.97,15.54,43.35,103.07,76.09899999999999,17.45,33.24,37.364000000000004,36.63,51.562,176.55,179.69,65.884,31.238000000000003,35.71,155.07,66.016,56.403999999999996,31.561999999999998,93.59200000000001,83.31,52.2,37.395,39.8,35.951,224.59,122.38,164.29,137.18,72.013,141.81,59.659,49.398,85.21
2018-03-15,286.7,66.214,29.83,15.27,43.06,102.42,75.842,18.12,33.191,37.523,36.443000000000005,50.588,177.19,179.74,64.775,31.248,35.59,153.6,66.205,55.891000000000005,31.405,93.84,82.57,52.6,37.414,35.49,35.961,228.67,123.21,164.1,136.14,72.063,142.01,58.876000000000005,49.368,85.071
