Date,BIIB,CCL,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2017-08-03,286.09,65.633,12.458,59.0,107.39,82.802,14.52,26.304000000000002,33.474000000000004,38.467,35.826,135.87,144.25,83.55,30.025,30.91,153.92,59.39,51.73,28.386999999999997,83.10700000000001,58.42,43.622,39.816,43.419,36.224000000000004,192.06,99.91,141.91,137.73,62.563,127.1,53.31,52.233999999999995,78.487
2017-08-04,288.27,66.013,12.95,57.43,105.98,82.774,14.36,26.569000000000003,33.955,38.315,35.639,135.64,144.73,83.695,30.116,31.414,153.28,59.013999999999996,51.422,28.185,83.057,58.86,44.236000000000004,39.974000000000004,43.693999999999996,36.366,192.17,100.21,142.08,137.35,62.946000000000005,127.5,53.565,52.001999999999995,78.309
2017-08-07,291.01,66.19800000000001,12.833,57.55,104.66,82.56200000000001,14.39,26.433000000000003,33.983000000000004,38.098,35.768,135.39,145.68,84.042,30.061999999999998,31.578000000000003,154.26,59.044,50.981,28.206999999999997,82.54299999999999,59.62,45.199,39.728,43.4,36.452,192.07,100.8,142.35,138.33,62.896,127.46,53.593999999999994,52.167,78.477
2017-08-08,289.26,66.22800000000001,12.792,56.76,105.28,82.88799999999999,14.14,26.842,34.07,37.957,35.748000000000005,134.92,145.51,83.212,30.058000000000003,31.433000000000003,155.82,58.718,50.481,27.968000000000004,82.495,59.48,44.67,39.314,42.526,36.3,192.19,100.59,142.24,137.81,62.788000000000004,127.14,53.17100000000001,52.378,78.112
2017-08-09,288.74,66.354,12.875,56.9,101.2,82.506,14.21,26.539,33.965,37.832,35.925,135.56,145.48,83.50200000000001,29.97,31.142,152.86,59.153,50.683,27.833000000000002,81.98,59.67,44.641000000000005,39.265,42.782,36.3,192.12,100.29,141.68,137.95,62.67100000000001,126.99,53.22,52.108000000000004,78.20100000000001
2017-08-10,281.15,65.594,12.592,55.46,99.74,82.68799999999999,13.89,25.796,33.579,37.229,35.482,133.91,142.27,82.95,29.724,30.397,149.69,58.333,50.155,27.471,81.156,58.02,43.876999999999995,39.402,42.621,36.139,189.89,98.814,139.43,137.38,61.551,125.23,52.611999999999995,52.273,77.225
2017-08-11,283.68,65.691,12.5,55.13,100.37,82.027,14.01,25.531999999999996,33.628,37.124,35.218,135.34,143.47,83.51,29.635,30.397,148.62,58.233000000000004,50.346000000000004,27.709,80.961,58.04,43.141999999999996,39.166,42.913999999999994,36.054,190.34,99.41,140.19,137.52,61.208,125.38,52.485,51.963,77.441
2017-08-14,286.05,66.22800000000001,12.017000000000001,56.75,99.79,82.429,14.2,26.09,34.147,37.334,35.679,137.6,145.8,84.042,29.864,30.862,147.72,59.034,50.26,27.704,81.388,59.06,43.287,39.372,42.827,36.433,191.02,101.18,141.13,138.2,62.092,126.73,52.975,52.263999999999996,77.964
2017-08-15,287.92,66.889,12.1,55.76,99.9,83.166,13.91,26.423000000000002,34.214,37.277,35.345,136.18,146.08,83.772,29.822,31.016,147.9,57.82899999999999,48.943999999999996,27.594,81.195,59.69,42.755,38.791,42.268,36.111,191.79,101.93,139.92,138.84,62.208999999999996,126.38,52.985,52.553999999999995,77.964
2017-08-16,294.08,67.045,11.908,56.07,100.57,83.465,14.06,26.237,34.417,37.555,35.158,136.63,146.5,84.141,29.805999999999997,31.259,146.28,57.81100000000001,48.618,27.575,81.243,60.29,43.751999999999995,38.704,41.861999999999995,36.177,191.08,102.78,140.44,139.25,62.071999999999996,126.54,53.506,52.766000000000005,78.181
2017-08-17,284.371,65.721,11.725,54.75,99.77,83.039,13.99,25.678,33.695,37.373000000000005,34.53,133.21,143.5,82.789,29.319000000000003,30.833000000000002,145.49,56.743,48.378,27.191,79.149,59.29,42.861999999999995,38.083,41.998000000000005,35.582,190.02,101.63,138.23,137.98,60.943999999999996,124.33,52.691,52.388000000000005,77.205
2017-08-18,281.77,65.672,11.875,54.63,99.103,83.53299999999999,13.98,25.747,33.531,37.086,34.373000000000005,132.86,143.35,82.186,29.255,30.997,144.67,54.263999999999996,48.925,27.151,79.805,59.44,43.17100000000001,38.053000000000004,41.92,35.365,188.16,101.98,137.55,137.52,60.903999999999996,123.88,52.71,52.698,76.851
2017-08-21,283.15,66.685,11.9,54.25,99.56,83.726,13.77,25.63,33.608000000000004,37.019,34.285,134.66,143.13,82.245,29.186,31.104,144.81,52.94,48.963,27.151,80.138,59.4,43.713,38.398,41.071000000000005,35.562,189.36,102.68,137.79,138.05,60.717,123.95,52.75899999999999,52.891999999999996,77.195
2017-08-22,286.72,66.48,11.975,54.93,101.14,83.698,14.27,26.031,33.983000000000004,37.449,34.02,136.86,145.41,82.73100000000001,29.359,31.500999999999998,146.92,53.455,50.806999999999995,27.480999999999998,80.46,60.84,44.632,38.378,41.602,35.942,192.08,103.53,139.19,138.3,61.336000000000006,125.3,53.446000000000005,53.008,78.131
2017-08-23,282.64,66.313,12.017000000000001,55.73,99.89,84.01700000000001,14.4,26.011,34.166,37.631,34.03,134.27,145.17,82.439,29.281999999999996,31.598000000000003,145.85,52.94,51.239,27.221,80.587,60.05,45.753,37.757,42.016999999999996,35.883,191.54,102.65,138.19,137.8,61.208,124.25,53.349,53.181999999999995,77.541
2017-08-24,285.45,66.764,12.083,55.34,99.91,83.91,14.48,26.256,34.196,37.765,34.078,134.06,145.04,80.542,29.166999999999998,31.859,145.53,53.168,51.365,27.271,82.066,60.0,46.023999999999994,37.787,41.93,35.658,192.04,102.68,137.93,135.99,61.247,123.89,53.25,53.143,77.767
2017-08-25,285.06,66.75399999999999,12.2,55.33,100.78,84.35600000000001,14.5,26.08,34.272,37.775,34.04,136.07,144.91,80.348,29.331,32.159,146.23,53.227,51.547,27.351,81.625,59.97,46.121,38.181999999999995,42.056000000000004,35.95,191.66,102.81,138.3,136.31,61.403999999999996,124.47,53.416000000000004,53.318000000000005,77.78699999999999
2017-08-28,292.3,67.127,12.075,55.68,100.93,84.539,14.46,26.000999999999998,34.186,37.765,34.01,136.61,145.25,79.90100000000001,29.033,32.053000000000004,146.97,53.06,50.865,27.361,81.85,60.53,46.45,38.222,42.093999999999994,35.902,192.38,103.24,138.4,135.91,61.09,124.53,53.496,53.413999999999994,78.20100000000001
2017-08-29,293.58,66.695,12.075,56.05,100.94,84.616,14.52,25.678,34.196,37.631,34.098,136.72,145.87,79.219,28.888,31.965,145.87,52.071999999999996,51.125,27.371,81.704,61.01,46.527,38.299,42.354,35.817,194.0,103.23,138.13,136.35,60.787,125.41,53.24,53.298,78.348
2017-08-30,303.75,67.117,11.95,57.69,101.24,84.40299999999999,14.71,25.718000000000004,34.484,38.033,34.255,138.68,147.26,79.696,28.898000000000003,32.071999999999996,145.7,51.905,51.88399999999999,27.575,81.801,61.77,46.333999999999996,38.863,42.172,35.648,193.16,103.19,139.05,136.5,61.06,125.93,53.632,53.143,78.753
2017-08-31,316.56,68.03699999999999,12.125,57.98,99.59,84.42299999999999,14.77,25.551,35.177,38.503,34.431999999999995,140.13,148.53,78.54899999999999,28.96,32.653,148.29,52.33,52.028,27.633000000000003,82.006,61.68,47.465,38.992,42.778999999999996,35.448,196.14,102.98,139.93,136.59,61.12,126.58,54.045,53.153,80.093
2017-09-01,321.01,67.695,12.317,58.83,99.89,84.219,14.89,25.825,35.967,38.474000000000004,34.452,140.58,148.47,78.646,29.013,33.098,148.39,52.875,52.479,27.868000000000002,82.61399999999999,61.46,47.9,39.367,42.778999999999996,35.467,196.97,103.36,140.66,137.11,61.385,126.91,54.398,52.988,80.03399999999999
2017-09-05,315.83,65.579,11.917,57.9,99.99,84.529,14.77,25.219,35.841,38.177,34.383,140.22,147.04,78.937,28.059,32.566,146.8,52.528999999999996,52.691,27.531,81.45,61.27,47.233000000000004,38.626,42.721000000000004,35.099000000000004,196.54,102.48,140.0,137.3,59.942,125.6,53.78,53.123000000000005,79.688
2017-09-06,317.36,65.569,11.992,56.93,99.89,84.12299999999999,14.78,25.199,36.266,38.283,35.109,139.83,147.34,79.112,28.131,32.944,151.04,52.28,54.122,27.719,81.567,61.24,47.533,38.726,43.03,34.606,195.62,102.65,140.72,137.74,60.068999999999996,125.74,53.917,52.882,80.074
2017-09-07,323.9,64.296,12.0,56.5,95.51700000000001,84.462,15.77,24.416999999999998,35.896,38.426,34.894,139.72,147.8,79.23899999999999,27.45,33.476,154.77,51.915,54.246,27.361,82.23299999999999,62.0,47.9,38.359,42.77,33.688,196.16,104.02,139.66,138.06,59.048,125.7,54.006,53.278,80.959
2017-09-08,326.53,64.209,11.842,55.92,95.527,84.88799999999999,16.01,24.544,35.983000000000004,38.33,34.54,140.24,146.43,79.492,28.214000000000002,33.244,155.86,51.726000000000006,54.006,27.141,82.87799999999999,61.13,46.681999999999995,38.399,42.364,33.68,195.74,103.89,139.25,137.24,59.626999999999995,126.31,53.986000000000004,53.53,81.324
2017-09-11,326.54,66.245,12.2,57.33,95.54700000000001,85.429,16.41,25.131,36.323,38.54,35.119,141.31,148.43,80.298,28.826,34.821999999999996,158.15,52.548,54.29600000000001,27.226,83.35700000000001,62.64,47.62,38.531,42.606,33.821,197.55,105.61,140.04,138.09,60.687,127.3,54.692,53.983999999999995,81.955
2017-09-12,329.69,66.764,12.792,57.01,96.335,84.40299999999999,16.51,25.601,36.848,38.637,35.433,141.06,148.64,79.939,29.115,35.277,155.28,52.913999999999994,53.882,27.311,83.88600000000001,62.56,48.026,38.774,42.827,34.313,195.47,105.67,140.85,138.32,61.473,128.11,55.153999999999996,53.085,82.131
2017-09-13,324.03,66.998,12.917,56.82,97.249,83.91,16.89,25.747,37.161,38.376999999999995,35.669000000000004,140.74,148.53,79.676,29.095,35.839,156.6,53.034,54.256,27.311,84.492,62.04,47.233000000000004,39.041,42.895,34.588,196.32,105.29,141.78,138.41,61.581,127.92,55.13399999999999,52.824,81.82600000000001
2017-09-14,323.66,67.312,13.05,57.2,96.345,84.616,17.03,25.726999999999997,37.724000000000004,38.617,35.816,140.76,148.0,79.063,28.898000000000003,36.139,150.64,53.242,54.641000000000005,27.101,84.384,62.24,46.382,38.606,42.943000000000005,34.37,195.72,105.54,141.28,138.11,61.356,128.37,55.32,53.269,81.935
2017-09-15,321.26,64.57,13.067,57.85,96.955,84.42299999999999,17.34,25.933000000000003,37.811,38.512,36.326,140.81,148.48,79.209,29.075,36.652,148.86,53.381,53.988,27.230999999999998,85.78299999999999,62.5,46.063,38.783,42.847,35.108000000000004,196.17,104.76,141.05,138.48,61.59,128.94,55.32,53.347,81.668
2017-09-18,318.18,63.836000000000006,13.217,55.71,96.541,83.223,17.18,26.275,37.53,38.33,36.326,142.47,148.47,79.18,29.05,37.446,147.4,53.013999999999996,53.891999999999996,27.241,86.41,62.92,46.653,38.259,42.86600000000001,35.411,196.18,104.29,140.66,138.64,62.239,129.76,55.626999999999995,52.802,81.648
2017-09-19,317.93,63.865,13.3,56.82,96.866,83.146,17.14,26.579,37.637,38.205999999999996,36.553000000000004,143.99,148.96,78.626,29.109,38.037,147.35,52.845,53.901,27.291,87.17299999999999,63.83,46.856,38.102,42.75,36.158,192.67,104.87,140.53,138.25,62.652,129.99,55.913999999999994,52.695,81.005
2017-09-20,319.0,63.141000000000005,13.6,55.12,97.633,82.39200000000001,16.98,26.804000000000002,37.811,38.454,36.396,143.62,148.05,77.693,29.244,37.204,149.16,53.074,53.882,27.401,87.15299999999999,64.74,46.247,38.071999999999996,42.248000000000005,36.366,193.76,104.43,141.0,137.09,63.063,130.9,56.111000000000004,52.303999999999995,81.084
2017-09-21,315.03,63.111000000000004,13.375,54.15,97.319,82.354,16.84,26.93,38.025,38.597,36.523,143.16,147.23,76.846,29.243000000000002,36.749,151.52,52.707,52.891999999999996,27.340999999999998,87.22200000000001,64.63,46.276,35.364000000000004,42.026,36.168,193.23,104.77,140.67,135.74,63.24,131.27,55.99100000000001,52.294,80.669
2017-09-22,318.46,62.994,13.558,53.44,97.03299999999999,81.473,16.88,26.705,38.336999999999996,38.836999999999996,36.503,144.96,147.18,75.406,29.326,35.916,152.96,52.757,52.54600000000001,27.461,87.956,65.08,46.247,35.818000000000005,42.297,36.518,191.07,105.02,140.92,135.41,63.278999999999996,131.68,55.794,51.865,80.669
2017-09-25,317.51,62.181999999999995,13.933,51.06,97.98700000000001,82.334,16.73,26.539,39.193000000000005,38.904,36.483000000000004,143.4,145.21,76.282,29.349,34.861,153.46,52.747,53.315,27.430999999999997,89.052,63.5,45.531000000000006,36.283,43.271,37.02,189.8,102.49,140.63,136.36,63.221000000000004,131.85,55.894,52.343,80.431
2017-09-26,317.06,63.963,14.1,51.34,97.06299999999999,82.025,16.78,26.784000000000002,39.153,38.674,36.789,143.43,146.03,76.447,29.339000000000002,35.093,153.82,53.211999999999996,53.04600000000001,27.361,89.384,62.94,45.076,35.828,42.972,36.641,190.75,102.41,140.78,136.67,63.211000000000006,131.87,55.647,52.246,80.304
2017-09-27,312.8,62.357,14.117,53.05,97.663,81.17399999999999,16.89,27.066999999999997,39.465,38.655,36.857,143.03,147.78,76.097,29.506999999999998,35.760999999999996,154.88,52.192,53.363,27.660999999999998,89.825,63.33,45.405,36.689,42.577,36.688,192.52,103.35,141.61,135.79,64.12899999999999,132.38,55.647,51.544,80.274
2017-09-28,310.0,63.033,13.725,53.43,96.492,81.483,16.82,27.136,39.465,38.647,37.143,140.99,147.88,75.844,29.573,35.79,152.67,52.152,53.238,27.581,89.816,63.93,45.405,36.619,42.316,36.944,194.11,104.04,141.51,135.85,64.266,132.33,56.041000000000004,51.729,80.343
2017-09-29,313.12,63.228,14.117,53.32,97.00299999999999,81.154,16.77,27.52,39.27,38.857,37.387,140.82,149.0,75.416,29.581,36.226,152.56,51.378,53.229,27.769000000000002,89.639,64.02,45.637,36.777,42.827,37.066,193.86,104.7,142.08,135.77,64.46300000000001,132.65,56.041000000000004,51.691,80.818
2017-10-02,316.17,63.091,14.092,55.03,98.273,81.58,17.28,27.410999999999998,40.99100000000001,39.153,38.359,140.42,149.19,75.727,29.78,36.488,154.2,51.398,53.641000000000005,27.789,90.39200000000001,64.18,46.353,36.876,43.088,37.01,195.44,104.9,142.51,135.63,64.99600000000001,133.65,56.653,51.778,81.638
2017-10-03,317.39,62.768,13.982999999999999,54.47,99.193,81.087,17.52,27.44,42.255,39.181999999999995,38.664,140.53,149.59,75.69800000000001,29.848000000000003,37.059,152.94,51.003,53.978,27.999000000000002,91.616,64.22,46.798,37.311,43.213,37.36,196.61,105.05,143.01,135.66,65.203,134.3,56.89,51.632,81.618
2017-10-04,314.92,63.836000000000006,13.85,54.77,98.955,81.686,17.49,27.353,42.576,39.048,38.624,141.34,149.37,75.65,29.743000000000002,37.902,152.56,51.607,54.083,28.239,91.419,64.01,46.924,37.341,43.20399999999999,37.379,198.45,104.77,143.64,136.2,64.917,134.19,56.91,52.148999999999994,82.014
2017-10-05,326.74,64.541,14.075,54.04,98.51899999999999,81.513,17.83,27.756,42.645,38.914,38.811,141.53,150.88,76.116,29.874000000000002,38.366,152.67,51.706,54.467,28.369,91.322,65.82,47.126999999999995,36.936,43.869,37.389,195.89,105.7,144.42,136.7,65.529,134.42,57.254,52.099,82.074
