Date,BIIB,CCL,CEIX,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2017-11-28,317.14,65.569,,13.467,55.34,101.76,86.902,14.19,28.759,43.68600000000001,34.855,44.174,154.77,165.05,77.436,30.529,38.946999999999996,146.73,59.038999999999994,48.771,27.959,92.727,77.79,47.107,39.701,38.641,33.939,213.94,112.98,150.06,139.09,66.958,135.5,58.349,54.935,81.52
2017-11-29,319.96,64.77,23.22,13.5,55.05,103.57,86.921,13.82,29.958000000000002,42.606,34.418,43.403,153.2,160.8,79.505,30.845,38.366,147.1,59.812,49.131,27.784000000000002,93.57600000000001,73.25,46.31399999999999,40.574,38.14,34.955,220.62,109.49,150.89,139.95,68.16199999999999,136.59,58.43899999999999,54.964,81.925
2017-11-30,322.12,64.711,22.0,13.95,55.21,103.15,87.096,14.14,30.008000000000003,41.906000000000006,34.02,44.282,156.2,162.02,79.779,30.739,38.628,147.06,59.871,50.563,27.631,96.18799999999999,75.73,46.324,40.812,40.183,34.858000000000004,226.62,112.21,151.61,141.22,68.429,138.68,58.763000000000005,55.148999999999994,82.538
2017-12-01,319.35,65.066,21.3,14.91,53.16,103.58,86.65799999999999,14.1,30.185,41.614,34.273,44.123999999999995,155.42,161.22,79.623,30.709,38.299,145.73,59.533,50.768,27.7,96.198,75.3,46.711000000000006,41.001000000000005,40.36,34.974000000000004,225.23,110.36,151.57,141.44,68.546,137.19,58.281000000000006,54.964,82.37
2017-12-04,317.4,66.298,19.61,15.13,51.13,108.47,86.55,13.72,30.844,41.867,33.961999999999996,43.93600000000001,153.52,158.25,80.318,30.739,37.747,152.39,59.751999999999995,50.942,27.859,96.15899999999999,70.97,46.701,41.488,39.681999999999995,35.711999999999996,219.91,107.07,153.15,142.86,69.543,138.23,58.883,54.652,81.361
2017-12-05,319.87,65.008,21.05,14.65,50.4,105.51,85.905,13.76,30.273000000000003,41.623999999999995,33.827,42.898999999999994,153.45,158.46,79.063,30.482,36.894,150.01,60.07,50.992,27.819000000000003,96.88799999999999,71.2,45.647,41.288999999999994,39.437,35.022,218.59,108.22,152.21,142.49,69.03,136.98,58.586000000000006,53.961000000000006,81.223
2017-12-06,314.66,65.126,21.2,14.58,49.71,103.79,86.24700000000001,13.67,30.076999999999998,40.99100000000001,33.632,42.919,155.17,159.44,78.916,30.482,36.139,149.79,59.373999999999995,50.466,27.73,96.21799999999999,73.14,45.888999999999996,41.666000000000004,39.446999999999996,34.6,218.44,109.37,151.36,143.27,68.803,137.0,58.24100000000001,54.165,81.154
2017-12-07,319.57,65.244,23.85,14.54,49.84,103.59,85.84700000000001,13.8,29.9,41.236999999999995,33.806999999999995,42.535,154.54,160.51,77.809,30.433000000000003,36.361999999999995,149.33,60.248999999999995,51.06,27.799,96.484,73.69,45.512,41.706,40.095,34.658,218.65,111.03,151.81,142.04,69.0,138.16,58.636,54.263000000000005,81.173
2017-12-08,325.87,65.96300000000001,25.37,14.39,49.98,103.4,85.993,13.9,29.871,41.236999999999995,34.126999999999995,42.81100000000001,154.21,161.15,76.946,30.64,36.701,151.87,60.945,51.644,27.769000000000002,98.15,72.84,45.618,41.676,40.262,35.194,222.38,112.22,152.51,142.42,69.335,138.69,58.636,54.438,82.083
2017-12-11,328.03,66.081,29.5,14.63,50.2,105.98,86.306,14.09,29.801,40.893,34.263000000000005,43.117,154.66,162.56,76.83800000000001,30.68,37.069,153.11,61.551,52.023999999999994,27.928,98.318,73.29,46.372,41.398,41.45,35.358000000000004,221.25,111.99,152.9,142.3,69.148,138.25,58.716,54.769,82.429
2017-12-12,327.75,65.609,29.82,14.59,50.39,106.57,85.095,14.02,29.948,40.756,34.467,42.791000000000004,154.83,161.94,77.406,30.719,37.098,153.85,61.81,52.023999999999994,27.75,97.677,73.62,46.131,41.398,41.607,36.507,220.98,113.08,152.91,142.16,69.749,138.42,58.726000000000006,53.833999999999996,82.756
