Date,BIIB,CCL,CNX,CRUS,DIS,DUK,FEYE,FITB,GM,GSK,INTC,INTU,IYW,KHC,KIE,LIT,MCK,NKE,OKE,PBS,PSX,PYPL,RIO,SCHL,SEP,T,UNH,V,VCR,VDC,VFH,VIS,XLB,XLU,XLV
2017-07-03,272.52,63.52,12.842,63.22,104.98,79.74,14.985,25.894000000000002,34.244,40.433,32.609,130.09,137.16,81.579,29.177,28.179000000000002,163.05,57.918,49.309,27.878,80.865,52.83,41.185,43.175,41.49100000000001,35.599000000000004,184.05,92.715,139.93,137.32,62.229,127.08,53.27,50.011,78.211
2017-07-05,277.71,64.77600000000001,12.425,63.32,103.18,79.721,14.96,25.991,33.705,40.329,33.467,130.43,138.68,80.922,29.059,28.266,163.76,56.842,48.097,27.699,79.885,54.61,40.891999999999996,42.849,41.397,35.609,185.63,93.37100000000001,139.39,137.01,62.367,127.34,53.093999999999994,49.769,78.67399999999999
2017-07-06,271.96,63.744,12.275,62.59,101.71,79.64399999999999,14.72,25.874000000000002,33.57,39.952,32.774,129.89,137.49,79.986,28.954,28.101999999999997,161.59,56.446000000000005,49.849,27.531,79.458,53.47,40.751,42.288000000000004,41.568000000000005,35.183,184.34,92.616,137.82,136.24,61.855,126.11,52.858000000000004,49.748999999999995,77.65899999999999
2017-07-07,273.93,64.085,12.125,63.7,101.68,79.845,15.38,25.894000000000002,33.637,39.952,33.018,130.67,139.3,80.19800000000001,29.18,28.489,163.17,57.256,48.986999999999995,27.62,80.14699999999999,53.97,41.09,42.14,42.203,34.994,185.34,93.281,138.98,136.28,62.199,127.03,53.132,49.788000000000004,78.053
2017-07-10,273.58,64.095,12.442,63.95,101.94,79.625,15.43,25.756999999999998,33.876999999999995,39.905,32.789,130.64,140.45,79.937,29.108,28.721,163.2,57.997,48.332,27.768,80.01100000000001,54.94,41.77,41.894,41.738,34.852,184.35,94.443,139.15,135.32,62.14,127.25,53.466,49.748999999999995,77.905
2017-07-11,271.76,64.007,13.175,64.3,102.19,79.615,15.36,25.611,34.08,39.715,33.056999999999995,131.13,141.08,80.884,28.954,28.712,163.69,57.455,48.218999999999994,27.759,79.913,54.76,42.243,41.598,41.558,34.635,183.37,94.762,139.04,134.87,61.758,127.23,53.386,49.72,77.817
2017-07-12,275.08,64.223,12.992,64.63,102.72,80.381,15.49,25.531999999999996,34.176,40.196,33.379,132.24,142.86,81.80199999999999,29.068,29.138,164.82,57.494,49.328,27.838,79.797,56.55,42.214,41.342,42.156000000000006,34.852,184.09,95.52600000000001,140.0,135.65,61.855,128.03,54.006,50.146,78.348
2017-07-13,278.36,64.415,13.117,64.92,102.63,79.797,15.5,25.708000000000002,34.523,40.179,33.369,131.17,143.28,81.947,29.182,29.39,164.81,57.217,49.716,27.828000000000003,79.292,57.9,42.092,41.815,42.193000000000005,34.266999999999996,182.9,95.288,140.15,135.77,62.17,127.96,53.946000000000005,49.971000000000004,78.417
2017-07-14,280.81,64.007,13.142000000000001,65.53,103.42,80.247,15.49,25.502,34.995,40.415,33.797,131.65,144.59,82.72,29.249000000000002,29.574,165.97,57.276,50.381,28.028000000000002,79.759,57.16,42.667,42.229,43.021,34.35,184.3,96.27,140.59,136.71,61.905,128.44,54.222,50.203,78.95
2017-07-17,282.65,65.244,13.042,65.3,103.12,80.428,15.5,25.581,35.023,39.952,33.594,131.83,144.58,82.67,29.295,29.593000000000004,166.58,57.068999999999996,50.769,28.158,79.38,57.58,42.931999999999995,42.505,43.343,34.436,183.77,96.17200000000001,140.85,136.88,61.817,128.46,54.32899999999999,50.43600000000001,78.664
